"","NUTS2","NUTS2 Name","Bevölkerung","GISD_Score","GISD_5","GISD_10","GISD_k"
"1","DE11","Stuttgart",4008288,0.178128,1,2,1
"2","DE12","Karlsruhe",2721266,0.299795,4,7,2
"3","DE13","Freiburg",2191622,0.456609,5,10,3
"4","DE14","Tübingen",1795468,0.28405,2,4,2
