"","Kreiskennziffer","Name des Kreises","Bevölkerung","GISD_Score","GISD_5","GISD_10","GISD_k"
"1",12051,"Brandenburg an der Havel, Stadt",71032,0.833107,5,10,3
"2",12052,"Cottbus, Stadt",99491,0.64154,1,2,1
"3",12053,"Frankfurt (Oder), Stadt",57649,0.779542,4,7,2
"4",12054,"Potsdam, Stadt",164042,0.456681,1,1,1
"5",12060,"Barnim",174981,0.736232,3,6,2
"6",12061,"Dahme-Spreewald",161952,0.605705,1,2,1
"7",12062,"Elbe-Elster",104997,0.75013,4,7,2
"8",12063,"Havelland",155408,0.734424,3,5,2
"9",12064,"Märkisch-Oderland",188422,0.748582,3,6,2
"10",12065,"Oberhavel",204898,0.676216,2,3,2
"11",12066,"Oberspreewald-Lausitz",112896,0.785737,4,8,2
"12",12067,"Oder-Spree",177823,0.698984,2,4,2
"13",12068,"Ostprignitz-Ruppin",98886,0.830856,5,9,3
"14",12069,"Potsdam-Mittelmark",207498,0.551806,1,1,1
"15",12070,"Prignitz",77550,0.846019,5,10,3
"16",12071,"Spree-Neiße",118030,0.706892,2,4,2
"17",12072,"Teltow-Fläming",161488,0.729615,3,5,2
"18",12073,"Uckermark",120829,0.832162,5,9,3
