"","Kreiskennziffer","Name des Kreises","Bevölkerung","GISD_Score","GISD_5","GISD_10","GISD_k"
"1",7111,"Koblenz, kreisfreie Stadt",111434,0.487725,1,2,1
"2",7131,"Ahrweiler",126643,0.511968,2,3,2
"3",7132,"Altenkirchen (Westerwald)",128228,0.618643,4,8,2
"4",7133,"Bad Kreuznach",155944,0.612824,4,8,2
"5",7134,"Birkenfeld",80591,0.731672,5,10,3
"6",7135,"Cochem-Zell",62041,0.597843,4,7,2
"7",7137,"Mayen-Koblenz",210441,0.595229,4,7,2
"8",7138,"Neuwied",179317,0.571784,3,5,2
"9",7140,"Rhein-Hunsrück-Kreis",101945,0.557593,2,4,2
"10",7141,"Rhein-Lahn-Kreis",121487,0.583582,3,6,2
"11",7143,"Westerwaldkreis",199131,0.588595,3,6,2
"12",7211,"Trier, kreisfreie Stadt",108472,0.569155,2,4,2
"13",7231,"Bernkastel-Wittlich",110981,0.579956,3,5,2
"14",7232,"Eifelkreis Bitburg-Prüm",96408,0.610689,4,8,2
"15",7233,"Vulkaneifel",60775,0.581539,3,5,2
"16",7235,"Trier-Saarburg",145227,0.603202,4,7,2
"17",7311,"Frankenthal (Pfalz), kreisfreie Stadt",47724,0.573466,3,5,2
"18",7312,"Kaiserslautern, kreisfreie Stadt",97382,0.652599,5,10,3
"19",7313,"Landau in der Pfalz, kreisfreie Stadt",44465,0.501051,2,3,2
"20",7314,"Ludwigshafen am Rhein, kreisfreie Stadt",163832,0.633313,5,9,3
"21",7315,"Mainz, kreisfreie Stadt",206991,0.218885,1,1,1
"22",7316,"Neustadt an der Weinstraße, kreisfreie Stadt",52564,0.492533,1,2,1
"23",7317,"Pirmasens, kreisfreie Stadt",40046,0.887958,5,10,3
"24",7318,"Speyer, kreisfreie Stadt",49855,0.491103,1,2,1
"25",7319,"Worms, kreisfreie Stadt",81010,0.68032,5,10,3
"26",7320,"Zweibrücken, kreisfreie Stadt",34011,0.592699,3,6,2
"27",7331,"Alzey-Worms",125998,0.538891,2,4,2
"28",7332,"Bad Dürkheim",131530,0.473229,1,2,1
"29",7333,"Donnersbergkreis",74962,0.612604,4,8,2
"30",7334,"Germersheim",126266,0.521316,2,3,2
"31",7335,"Kaiserslautern",104288,0.636537,5,9,3
"32",7336,"Kusel",70883,0.630762,5,9,3
"33",7337,"Südliche Weinstraße",109735,0.538846,2,3,2
"34",7338,"Rhein-Pfalz-Kreis",150051,0.385531,1,1,1
"35",7339,"Mainz-Bingen",204514,0.309135,1,1,1
"36",7340,"Südwestpfalz",96410,0.593472,3,6,2
