"","Kreiskennziffer","Name des Kreises","Bevölkerung","GISD_Score","GISD_5","GISD_10","GISD_k"
"1",1001,"Flensburg, Stadt",84694,0.811459,5,9,3
"2",1002,"Kiel, Landeshauptstadt",243148,0.677639,4,7,2
"3",1003,"Lübeck, Hansestadt",214420,0.827069,5,10,3
"4",1004,"Neumünster, Stadt",77588,0.867503,5,10,3
"5",1051,"Dithmarschen",132685,0.842086,5,10,3
"6",1053,"Herzogtum Lauenburg",190703,0.637635,3,6,2
"7",1054,"Nordfriesland",162203,0.74584,4,8,2
"8",1055,"Ostholstein",198355,0.759482,5,9,3
"9",1056,"Pinneberg",304087,0.537103,2,4,2
"10",1057,"Plön",126865,0.702702,4,8,2
"11",1058,"Rendsburg-Eckernförde",268628,0.652119,3,6,2
"12",1059,"Schleswig-Flensburg",195593,0.799847,5,9,3
"13",1060,"Segeberg",264972,0.602854,3,5,2
"14",1061,"Steinburg",130218,0.751285,4,8,2
"15",1062,"Stormarn",236705,0.464898,2,3,2
"16",2000,"Hamburg, Freie und Hansestadt",1762791,0.373771,1,1,1
"17",3101,"Braunschweig, Stadt",248502,0.413455,1,2,1
"18",3102,"Salzgitter, Stadt",98966,0.672209,4,7,2
"19",3103,"Wolfsburg, Stadt",123027,0.275773,1,1,1
"20",3151,"Gifhorn",172541,0.539907,2,4,2
"21",3152,"Göttingen",250220,0.534573,2,4,2
"22",3153,"Goslar",137256,0.772324,5,9,3
"23",3154,"Helmstedt",90908,0.667761,4,7,2
"24",3155,"Northeim",133905,0.72166,4,8,2
"25",3156,"Osterode am Harz",73793,0.764729,5,9,3
"26",3157,"Peine",130601,0.626269,3,6,2
"27",3158,"Wolfenbüttel",120035,0.583468,3,5,2
"28",3241,"Region Hannover",1128037,0.551246,2,4,2
"29",3251,"Diepholz",211093,0.611509,3,6,2
"30",3252,"Hameln-Pyrmont",147813,0.705639,4,8,2
"31",3254,"Hildesheim",274554,0.673337,4,7,2
"32",3255,"Holzminden",71438,0.773097,5,9,3
"33",3256,"Nienburg (Weser)",119631,0.771231,5,9,3
"34",3257,"Schaumburg",155847,0.661585,4,7,2
"35",3351,"Celle",176157,0.696811,4,7,2
"36",3352,"Cuxhaven",196787,0.760784,5,9,3
"37",3353,"Harburg",245199,0.488026,2,3,2
"38",3354,"Lüchow-Dannenberg",48728,0.849335,5,10,3
"39",3355,"Lüneburg",178122,0.594227,3,5,2
"40",3356,"Osterholz",111484,0.620635,3,6,2
"41",3357,"Rotenburg (Wümme)",161842,0.673823,4,7,2
"42",3358,"Heidekreis",136200,0.73433,4,8,2
"43",3359,"Stade",197448,0.573206,3,5,2
"44",3360,"Uelzen",92533,0.750586,4,8,2
"45",3361,"Verden",133215,0.562619,2,4,2
"46",3401,"Delmenhorst, Stadt",74804,0.874699,5,10,3
"47",3402,"Emden, Stadt",50016,0.789367,5,9,3
"48",3403,"Oldenburg (Oldenburg), Stadt",160907,0.564476,2,4,2
"49",3404,"Osnabrück, Stadt",156897,0.593555,3,5,2
"50",3405,"Wilhelmshaven, Stadt",75534,0.850741,5,10,3
"51",3451,"Ammerland",119917,0.609461,3,5,2
"52",3452,"Aurich",187998,0.824567,5,10,3
"53",3453,"Cloppenburg",162350,0.737571,4,8,2
"54",3454,"Emsland",315757,0.668709,4,7,2
"55",3455,"Friesland",96937,0.703673,4,8,2
"56",3456,"Grafschaft Bentheim",134329,0.726896,4,8,2
"57",3457,"Leer",165809,0.809108,5,9,3
"58",3458,"Oldenburg",126798,0.629969,3,6,2
"59",3459,"Osnabrück",351316,0.644069,3,6,2
"60",3460,"Vechta",136184,0.631687,3,6,2
"61",3461,"Wesermarsch",88765,0.694358,4,7,2
"62",3462,"Wittmund",56539,0.794575,5,9,3
"63",4011,"Bremen, Stadt",551767,0.606084,3,5,2
"64",4012,"Bremerhaven, Stadt",110121,0.902771,5,10,3
"65",5111,"Düsseldorf, Stadt",604527,0.362696,1,1,1
"66",5112,"Duisburg, Stadt",485465,0.812537,5,9,3
"67",5113,"Essen, Stadt",573784,0.660285,4,7,2
"68",5114,"Krefeld, Stadt",222500,0.682101,4,7,2
"69",5116,"Mönchengladbach, Stadt",256853,0.761573,5,9,3
"70",5117,"Mülheim an der Ruhr, Stadt",167108,0.502814,2,3,2
"71",5119,"Oberhausen, Stadt",209292,0.768261,5,9,3
"72",5120,"Remscheid, Stadt",109009,0.701944,4,7,2
"73",5122,"Solingen, Klingenstadt",156771,0.69839,4,7,2
"74",5124,"Wuppertal, Stadt",345425,0.742135,4,8,2
"75",5154,"Kleve",304963,0.740018,4,8,2
"76",5158,"Mettmann",477760,0.454881,1,2,1
"77",5162,"Rhein-Kreis Neuss",442522,0.473989,2,3,2
"78",5166,"Viersen",295067,0.602381,3,5,2
"79",5170,"Wesel",457244,0.649684,3,6,2
"80",5314,"Bonn, Stadt",313958,0.301204,1,1,1
"81",5315,"Köln, Stadt",1046680,0.453387,1,2,1
"82",5316,"Leverkusen, Stadt",161540,0.519705,2,3,2
"83",5334,"Städteregion Aachen",547661,0.563535,2,4,2
"84",5358,"Düren",259073,0.675357,4,7,2
