"","Kreiskennziffer","Name des Kreises","Bevölkerung","GISD_Score","GISD_5","GISD_10","GISD_k"
"354",14521,"Erzgebirgskreis",349582,0.778168,5,9,3
"355",14522,"Mittelsachsen",312711,0.771299,4,8,2
"356",14523,"Vogtlandkreis",232390,0.784225,5,9,3
"357",14524,"Zwickau",325137,0.777442,4,8,2
"358",14612,"Dresden, Stadt",536308,0.545751,2,3,2
"359",14625,"Bautzen",306570,0.767626,4,8,2
"360",14626,"Görlitz",260188,0.852568,5,10,3
"361",14627,"Meißen",243745,0.73988,4,8,2
"362",14628,"Sächsische Schweiz-Osterzgebirge",245954,0.788714,5,9,3
"363",14713,"Leipzig, Stadt",544479,0.782376,5,9,3
"364",14729,"Leipzig",257647,0.775361,4,8,2
"365",14730,"Nordsachsen",197042,0.883321,5,10,3
"366",15001,"Dessau-Roßlau, Stadt",83061,0.813748,5,9,3
"367",15002,"Halle (Saale), Stadt",232470,0.892777,5,10,3
"368",15003,"Magdeburg, Landeshauptstadt",232306,0.817685,5,9,3
"369",15081,"Altmarkkreis Salzwedel",86071,0.909513,5,10,3
"370",15082,"Anhalt-Bitterfeld",165076,0.938444,5,10,3
"371",15083,"Börde",172829,0.785424,5,9,3
"372",15084,"Burgenlandkreis",184055,0.937422,5,10,3
"373",15085,"Harz",219618,0.882389,5,10,3
"374",15086,"Jerichower Land",91359,0.88778,5,10,3
"375",15087,"Mansfeld-Südharz",142054,0.963478,5,10,3
"376",15088,"Saalekreis",186510,0.839372,5,9,3
"377",15089,"Salzlandkreis",196750,1,5,10,3
"378",15090,"Stendal",114668,0.993646,5,10,3
"379",15091,"Wittenberg",128721,0.850349,5,9,3
"380",16051,"Erfurt, Stadt",206219,0.744379,4,8,2
"381",16052,"Gera, Stadt",94492,0.876625,5,10,3
"382",16053,"Jena, Stadt",108207,0.384337,1,1,1
"383",16054,"Suhl, Stadt",36208,0.761448,4,8,2
"384",16055,"Weimar, Stadt",63477,0.711684,4,7,2
"385",16056,"Eisenach, Stadt",41884,0.830355,5,9,3
"386",16061,"Eichsfeld",100730,0.740128,4,8,2
"387",16062,"Nordhausen",85055,0.897172,5,10,3
"388",16063,"Wartburgkreis",125835,0.713917,4,7,2
"389",16064,"Unstrut-Hainich-Kreis",103922,0.901383,5,10,3
"390",16065,"Kyffhäuserkreis",77148,0.922874,5,10,3
"391",16066,"Schmalkalden-Meiningen",125056,0.783426,5,9,3
"392",16067,"Gotha",135381,0.777905,4,8,2
"393",16068,"Sömmerda",70537,0.850355,5,9,3
"394",16069,"Hildburghausen",64673,0.754812,4,8,2
"395",16070,"Ilm-Kreis",108899,0.746671,4,8,2
"396",16071,"Weimarer Land",81641,0.783709,5,9,3
"397",16072,"Sonneberg",56809,0.735168,4,7,2
"398",16073,"Saalfeld-Rudolstadt",109646,0.780971,5,9,3
"399",16074,"Saale-Holzland-Kreis",83966,0.704925,4,7,2
"400",16075,"Saale-Orla-Kreis",82887,0.789162,5,9,3
"401",16076,"Greiz",101382,0.775949,4,8,2
"402",16077,"Altenburger Land",92705,0.856087,5,10,3
