PLZ4;Raumtyp_Lage_bez
5733;peripher
5736;peripher
5739;peripher
5741;zentral
5743;zentral
5746;zentral
5748;zentral
5751;peripher
5752;peripher
5753;peripher
5754;zentral
5755;zentral
5756;peripher
5757;peripher
5758;peripher
5761;zentral
5762;peripher
5763;zentral
5764;peripher
5808;sehr zentral
5809;sehr zentral
5811;sehr zentral
5813;sehr zentral
5823;sehr zentral
5825;sehr zentral
5828;sehr zentral
5830;sehr zentral
5831;sehr zentral
5833;sehr zentral
5845;sehr zentral
5850;sehr zentral
5851;sehr zentral
5854;sehr zentral
5855;sehr zentral
5856;sehr zentral
5857;sehr zentral
5863;sehr zentral
5864;sehr zentral
5867;sehr zentral
5870;sehr zentral
5871;sehr zentral
5873;sehr zentral
5876;sehr zentral
5879;zentral
5880;zentral
5884;zentral
5906;sehr zentral
5907;sehr zentral
5917;sehr zentral
5919;sehr zentral
5922;sehr zentral
5926;sehr zentral
5930;sehr zentral
5932;zentral
5934;sehr zentral
5936;sehr zentral
5937;sehr zentral
5938;sehr zentral
5939;sehr zentral
5942;sehr zentral
5943;sehr zentral
5945;sehr zentral
5946;sehr zentral
5949;sehr zentral
5950;zentral
5951;sehr zentral
5955;zentral
5958;zentral
5959;zentral
5960;zentral
5975;zentral
5982;zentral
5984;zentral
5987;zentral
5988;zentral
5990;zentral
5992;peripher
5993;peripher
5995;peripher
5996;peripher
6030;sehr zentral
6031;sehr zentral
6032;sehr zentral
6038;sehr zentral
6043;sehr zentral
6048;sehr zentral
6052;sehr zentral
6054;sehr zentral
6059;sehr zentral
6111;sehr zentral
6113;sehr zentral
6116;sehr zentral
6118;sehr zentral
6119;sehr zentral
6120;sehr zentral
6123;sehr zentral
6125;sehr zentral
6126;sehr zentral
6127;sehr zentral
6134;sehr zentral
6135;sehr zentral
6138;sehr zentral
6144;sehr zentral
6146;sehr zentral
6147;sehr zentral
6306;sehr zentral
6307;sehr zentral
6311;sehr zentral
6312;sehr zentral
6315;sehr zentral
6316;sehr zentral
6317;sehr zentral
6322;sehr zentral
6326;sehr zentral
6330;sehr zentral
6332;sehr zentral
6345;sehr zentral
6347;sehr zentral
6348;sehr zentral
6350;sehr zentral
6351;sehr zentral
6352;sehr zentral
6353;sehr zentral
6354;sehr zentral
6357;sehr zentral
6358;sehr zentral
6359;sehr zentral
6360;zentral
6361;zentral
6362;zentral
6363;zentral
6365;sehr zentral
6366;zentral
6367;peripher
6368;zentral
6369;zentral
6373;sehr zentral
6374;sehr zentral
6375;sehr zentral
6376;zentral
6377;sehr zentral
6378;zentral
6379;sehr zentral
6380;sehr zentral
6381;sehr zentral
6382;zentral
6383;zentral
6384;zentral
6385;zentral
6386;zentral
6387;zentral
6389;peripher
6390;zentral
6391;peripher
6392;peripher
6393;peripher
6428;sehr zentral
6429;sehr zentral
6431;sehr zentral
6433;sehr zentral
6434;sehr zentral
6435;sehr zentral
6436;sehr zentral
6437;sehr zentral
6438;zentral
6439;sehr zentral
6440;sehr zentral
6452;sehr zentral
6454;sehr zentral
6456;sehr zentral
6457;sehr zentral
6458;sehr zentral
6462;sehr zentral
6464;sehr zentral
6465;sehr zentral
6466;sehr zentral
6467;zentral
6468;sehr zentral
6471;peripher
6472;peripher
6473;zentral
6474;zentral
6475;zentral
6476;peripher
6480;sehr zentral
6482;sehr zentral
6483;sehr zentral
6484;sehr zentral
6485;sehr zentral
6518;sehr zentral
6519;sehr zentral
6520;sehr zentral
6523;sehr zentral
6530;zentral
6532;zentral
6534;sehr zentral
6536;zentral
6537;zentral
6538;zentral
6539;peripher
6542;sehr zentral
6543;sehr zentral
6545;sehr zentral
6546;sehr zentral
6547;sehr zentral
6551;sehr zentral
6552;sehr zentral
6554;zentral
6555;zentral
6558;zentral
6559;zentral
6560;zentral
6561;zentral
6562;zentral
6571;sehr zentral
6576;sehr zentral
6577;sehr zentral
6579;sehr zentral
6581;sehr zentral
6582;sehr zentral
6583;sehr zentral
6584;sehr zentral
6592;sehr zentral
6593;sehr zentral
6611;sehr zentral
6612;sehr zentral
6613;sehr zentral
6626;zentral
6627;zentral
6628;sehr zentral
6629;sehr zentral
6633;zentral
6634;sehr zentral
6635;zentral
6638;sehr zentral
6639;zentral
6642;zentral
6644;zentral
6645;zentral
6648;zentral
6649;zentral
6650;zentral
6653;sehr zentral
6654;sehr zentral
6655;zentral
6656;zentral
6657;zentral
6658;sehr zentral
6660;zentral
6662;zentral
6663;zentral
6664;zentral
6666;zentral
6667;zentral
6668;zentral
6669;zentral
6670;zentral
6674;zentral
6676;zentral
6677;zentral
6678;zentral
6679;zentral
6680;zentral
6682;zentral
6683;zentral
6684;zentral
6685;zentral
6686;zentral
6687;zentral
6688;peripher
6689;zentral
6690;zentral
6691;zentral
6695;peripher
6696;peripher
6697;zentral
6698;zentral
6699;peripher
6705;sehr zentral
6706;sehr zentral
6707;sehr zentral
6709;sehr zentral
6710;sehr zentral
6711;sehr zentral
6712;sehr zentral
6713;sehr zentral
6714;sehr zentral
6715;sehr zentral
6716;sehr zentral
6722;sehr zentral
6724;sehr zentral
6725;sehr zentral
6726;sehr zentral
6727;sehr zentral
6728;sehr zentral
6729;zentral
6730;zentral
6731;sehr zentral
6734;sehr zentral
6735;sehr zentral
6736;sehr zentral
6737;sehr zentral
6743;sehr zentral
6745;sehr zentral
6746;zentral
6747;zentral
6748;zentral
6754;sehr zentral
6755;sehr zentral
6757;zentral
6758;zentral
6759;sehr zentral
6765;zentral
6766;zentral
6767;zentral
6768;zentral
6769;zentral
6770;zentral
6771;zentral
6772;zentral
6773;zentral
6774;peripher
6775;peripher
6780;peripher
6781;zentral
6782;peripher
6815;sehr zentral
6816;sehr zentral
6819;sehr zentral
6821;sehr zentral
6822;sehr zentral
6823;sehr zentral
6825;sehr zentral
6830;sehr zentral
6851;sehr zentral
6852;sehr zentral
6853;sehr zentral
6854;sehr zentral
6862;sehr zentral
6864;sehr zentral
6872;sehr zentral
6875;sehr zentral
6876;sehr zentral
6877;sehr zentral
6878;sehr zentral
6879;sehr zentral
6880;sehr zentral
6911;sehr zentral
6912;sehr zentral
6915;sehr zentral
6916;sehr zentral
6918;sehr zentral
6919;sehr zentral
6920;sehr zentral
6921;sehr zentral
6922;sehr zentral
6923;sehr zentral
6924;sehr zentral
6925;sehr zentral
6941;peripher
6942;peripher
6943;zentral
6946;sehr zentral
6948;zentral
6949;sehr zentral
6950;sehr zentral
6951;sehr zentral
7017;sehr zentral
7018;sehr zentral
7019;sehr zentral
7032;sehr zentral
7037;sehr zentral
7043;sehr zentral
7046;sehr zentral
7049;sehr zentral
7056;sehr zentral
7059;sehr zentral
7061;sehr zentral
7062;sehr zentral
7073;sehr zentral
7077;sehr zentral
7079;sehr zentral
7080;sehr zentral
7082;sehr zentral
7083;sehr zentral
7103;sehr zentral
7106;sehr zentral
7108;sehr zentral
7109;sehr zentral
7110;sehr zentral
7111;sehr zentral
7112;sehr zentral
7113;sehr zentral
7114;zentral
7115;sehr zentral
7122;sehr zentral
7125;sehr zentral
7126;sehr zentral
7127;sehr zentral
7128;sehr zentral
7129;sehr zentral
7133;sehr zentral
7136;sehr zentral
7138;sehr zentral
7139;sehr zentral
7140;sehr zentral
7152;zentral
7154;zentral
7155;zentral
7156;zentral
7157;zentral
7163;sehr zentral
7164;sehr zentral
7166;sehr zentral
7167;sehr zentral
7168;sehr zentral
7169;sehr zentral
7170;sehr zentral
7171;sehr zentral
7172;sehr zentral
7173;sehr zentral
7207;zentral
7210;zentral
7211;zentral
7212;zentral
7213;zentral
7214;zentral
7216;zentral
7217;peripher
7218;zentral
7220;zentral
7221;zentral
7222;peripher
7225;peripher
7227;peripher
7228;peripher
7229;peripher
7233;peripher
7234;zentral
7235;peripher
7236;peripher
7237;zentral
7239;peripher
7240;peripher
7241;zentral
7245;peripher
7246;peripher
7247;peripher
7248;peripher
7250;peripher
7251;peripher
7252;peripher
7253;peripher
7255;zentral
7257;zentral
7258;zentral
7262;sehr zentral
7263;sehr zentral
7264;sehr zentral
7265;sehr zentral
7266;sehr zentral
7276;sehr zentral
7277;zentral
7279;zentral
7280;zentral
7281;peripher
7282;peripher
7303;zentral
7305;zentral
7306;sehr zentral
7307;zentral
7308;zentral
7309;zentral
7310;zentral
7311;zentral
7320;sehr zentral
7323;zentral
7324;sehr zentral
7325;zentral
7326;sehr zentral
7327;zentral
7331;zentral
7332;zentral
7333;zentral
7334;zentral
7343;zentral
7344;peripher
7345;peripher
7346;peripher
7347;peripher
7348;peripher
7349;peripher
7352;zentral
7354;zentral
7355;zentral
7356;zentral
7357;peripher
7361;zentral
7363;zentral
7364;zentral
7365;sehr zentral
7366;sehr zentral
7372;sehr zentral
7373;sehr zentral
7376;sehr zentral
7377;sehr zentral
7407;sehr zentral
7408;sehr zentral
7417;zentral
7418;sehr zentral
7419;zentral
7420;zentral
7421;zentral
7422;zentral
7423;zentral
7424;zentral
7425;zentral
7432;sehr zentral
7433;zentral
7434;zentral
7435;sehr zentral
7436;sehr zentral
7437;sehr zentral
7438;sehr zentral
7439;sehr zentral
7440;peripher
7441;peripher
7442;peripher
7452;zentral
7453;zentral
7454;peripher
7456;peripher
7457;peripher
7458;peripher
7459;peripher
7461;zentral
7462;zentral
7463;zentral
7465;peripher
7467;peripher
7470;peripher
7472;peripher
7473;peripher
7474;peripher
7482;peripher
7483;peripher
7484;zentral
7485;zentral
7486;zentral
7488;sehr zentral
7490;zentral
7491;zentral
7492;zentral
7493;zentral
7501;zentral
7503;zentral
7504;sehr zentral
7505;zentral
7517;sehr zentral
7518;zentral
7519;sehr zentral
7520;zentral
7521;zentral
7522;sehr zentral
7523;sehr zentral
7524;zentral
7530;zentral
7532;zentral
7533;zentral
7536;zentral
7537;zentral
7538;zentral
7539;zentral
7541;sehr zentral
7542;zentral
7543;zentral
7544;sehr zentral
7613;sehr zentral
7614;sehr zentral
7618;sehr zentral
7619;sehr zentral
7622;sehr zentral
7627;sehr zentral
7628;sehr zentral
7629;sehr zentral
7630;sehr zentral
7631;sehr zentral
7632;sehr zentral
7633;zentral
7634;zentral
7635;sehr zentral
7643;sehr zentral
7644;sehr zentral
7645;sehr zentral
7646;sehr zentral
7647;sehr zentral
7653;zentral
7654;zentral
7657;zentral
7659;zentral
7664;sehr zentral
7666;sehr zentral
7667;sehr zentral
7668;sehr zentral
7669;sehr zentral
7670;sehr zentral
7672;sehr zentral
7674;zentral
7675;zentral
7676;zentral
7677;zentral
7682;zentral
7683;zentral
7684;zentral
7685;zentral
7686;zentral
7687;zentral
7688;zentral
7689;peripher
7765;zentral
7769;zentral
7770;peripher
7771;peripher
7772;peripher
7773;peripher
7774;zentral
7775;peripher
7776;zentral
7777;peripher
7778;peripher
7779;peripher
7781;zentral
7783;zentral
7785;zentral
7786;zentral
7787;zentral
7788;zentral
7793;zentral
7794;zentral
7795;zentral
7796;zentral
7797;zentral
7804;zentral
7805;zentral
7807;zentral
7808;zentral
7809;peripher
7811;peripher
7812;peripher
7813;peripher
7814;peripher
7816;zentral
7817;peripher
7818;zentral
7819;zentral
7822;zentral
7823;zentral
7824;zentral
7825;zentral
7826;zentral
7831;zentral
7833;zentral
7834;zentral
7835;zentral
7846;zentral
7847;zentral
7853;peripher
7854;peripher
7855;peripher
7856;peripher
7857;peripher
7858;peripher
7859;peripher
7860;peripher
7862;zentral
7864;zentral
7865;zentral
7866;zentral
7871;peripher
7872;zentral
7873;peripher
7909;sehr zentral
7910;zentral
7911;zentral
7918;zentral
7919;zentral
7920;zentral
7921;zentral
7922;zentral
7923;zentral
7924;zentral
7925;zentral
7926;zentral
7927;zentral
7928;zentral
7929;zentral
7931;zentral
7933;zentral
7934;zentral
7935;zentral
7936;zentral
7937;zentral
7939;zentral
7940;zentral
7941;zentral
7942;zentral
7953;sehr zentral
7954;sehr zentral
7957;sehr zentral
7958;sehr zentral
7959;sehr zentral
7961;sehr zentral
7963;sehr zentral
7965;zentral
7966;zentral
7967;peripher
7968;zentral
7969;peripher
7971;zentral
7972;zentral
7973;zentral
7976;zentral
7977;zentral
7978;peripher
7979;zentral
7980;zentral
7982;peripher
7983;sehr peripher
7984;peripher
7985;sehr peripher
7986;sehr peripher
7987;peripher
8033;sehr zentral
8046;sehr zentral
8053;sehr zentral
8063;sehr zentral
8068;sehr zentral
8079;sehr zentral
8080;sehr zentral
8093;sehr zentral
8099;sehr zentral
8124;sehr zentral
8136;sehr zentral
8137;sehr zentral
8147;sehr zentral
8153;sehr zentral
8154;sehr zentral
8166;sehr zentral
8167;sehr zentral
8173;sehr zentral
8182;sehr zentral
8192;sehr zentral
8200;sehr zentral
8202;sehr zentral
8203;sehr zentral
8204;sehr zentral
8205;zentral
8206;sehr zentral
8211;sehr zentral
8213;sehr zentral
8214;sehr zentral
8215;sehr zentral
8216;sehr zentral
8217;sehr zentral
8219;sehr zentral
8220;sehr zentral
8221;sehr zentral
8222;sehr zentral
8223;sehr zentral
8225;sehr zentral
8226;zentral
8227;zentral
8228;zentral
8229;zentral
8231;sehr zentral
8232;zentral
8233;sehr zentral
8234;zentral
8236;peripher
8237;zentral
8238;peripher
8239;zentral
8240;peripher
8241;peripher
8243;peripher
8244;peripher
8246;sehr peripher
8247;peripher
8248;sehr peripher
8249;peripher
8251;zentral
8253;zentral
8254;zentral
8302;zentral
8304;zentral
8305;zentral
8306;zentral
8307;zentral
8308;zentral
8309;zentral
8310;zentral
8311;zentral
8312;peripher
8313;peripher
8320;zentral
8322;peripher
8323;zentral
8324;peripher
8325;peripher
8327;peripher
8330;peripher
8331;peripher
8332;peripher
8333;peripher
8334;peripher
8335;peripher
8336;peripher
8337;peripher
8339;zentral
8340;peripher
8341;peripher
8343;peripher
8345;peripher
8347;peripher
8348;peripher
8351;peripher
8352;peripher
8353;peripher
8354;peripher
8355;peripher
8356;peripher
8360;zentral
8362;zentral
8364;peripher
8366;peripher
8367;peripher
8368;peripher
8370;peripher
8371;zentral
8372;peripher
8373;zentral
8402;zentral
8403;zentral
8404;zentral
8405;peripher
8406;peripher
8407;zentral
8408;peripher
8409;zentral
8410;zentral
8413;peripher
8414;peripher
8415;peripher
8416;peripher
8417;peripher
8418;peripher
8430;peripher
8432;peripher
8433;peripher
8434;sehr peripher
8435;sehr peripher
8436;peripher
8437;sehr peripher
8438;sehr peripher
8440;peripher
8441;peripher
8442;peripher
8443;peripher
8445;peripher
8447;peripher
8448;peripher
8449;peripher
8450;peripher
8451;peripher
8452;peripher
8453;peripher
8454;peripher
8455;peripher
8456;peripher
8457;peripher
8504;peripher
8505;zentral
8507;zentral
8508;zentral
8509;zentral
8510;zentral
8511;peripher
8512;peripher
8513;peripher
8522;zentral
8523;zentral
8524;sehr zentral
8525;zentral
8527;zentral
8528;zentral
8529;zentral
8530;zentral
8535;zentral
8536;zentral
8537;sehr zentral
8538;sehr zentral
8539;zentral
8540;zentral
8541;zentral
8543;zentral
8544;zentral
8545;zentral
8546;zentral
8552;sehr zentral
8554;sehr zentral
8555;sehr zentral
8556;zentral
8557;sehr zentral
8558;sehr zentral
8559;sehr zentral
8560;sehr zentral
8561;zentral
8562;zentral
8563;sehr zentral
8564;sehr zentral
8565;zentral
8566;zentral
8571;sehr zentral
8573;sehr zentral
8574;sehr zentral
8575;sehr zentral
8576;sehr zentral
8577;sehr zentral
8615;sehr zentral
8616;zentral
8617;zentral
8619;zentral
8631;zentral
8634;zentral
8635;zentral
8636;zentral
8638;peripher
8639;zentral
8640;peripher
8641;zentral
8642;zentral
8643;zentral
8644;zentral
8645;zentral
8646;zentral
8647;peripher
8648;peripher
8649;zentral
8650;zentral
8651;peripher
8652;peripher
8655;zentral
8656;peripher
8657;zentral
8660;peripher
8663;peripher
8664;peripher
8665;peripher
8666;peripher
8667;peripher
8668;peripher
8669;peripher
8670;peripher
8672;peripher
8673;peripher
8674;peripher
8675;peripher
8680;zentral
8682;peripher
8683;peripher
8684;peripher
8685;zentral
8686;peripher
8687;peripher
8689;zentral
8691;zentral
8692;zentral
8693;zentral
8694;zentral
8695;peripher
8697;peripher
8698;peripher
8743;peripher
8744;peripher
8745;peripher
8746;peripher
8747;peripher
8748;peripher
8749;peripher
8750;peripher
8752;peripher
8753;peripher
8754;peripher
8756;sehr peripher
8760;peripher
8761;peripher
8762;peripher
8763;peripher
8764;peripher
8765;peripher
8766;peripher
8767;peripher
8770;peripher
8771;peripher
8772;peripher
8773;peripher
8774;peripher
8775;peripher
8776;peripher
8777;peripher
8778;peripher
8804;zentral
8806;zentral
8807;zentral
8808;zentral
8809;zentral
8813;zentral
8814;zentral
8816;peripher
8817;peripher
8821;zentral
8823;zentral
8825;zentral
8826;peripher
8827;peripher
8828;peripher
8829;peripher
8831;peripher
8832;peripher
8833;peripher
8834;peripher
8835;peripher
8836;peripher
8837;peripher
8840;peripher
8841;peripher
8842;peripher
8843;peripher
8844;peripher
8845;peripher
8847;peripher
8848;peripher
8849;peripher
8851;peripher
8852;peripher
8860;peripher
8863;peripher
8866;peripher
8867;peripher
8868;peripher
8869;peripher
8870;peripher
8871;peripher
8907;zentral
8908;zentral
8912;zentral
8913;zentral
8914;zentral
8915;peripher
8916;zentral
8917;zentral
8918;zentral
8919;zentral
8923;zentral
8925;zentral
8926;zentral
8927;zentral
8928;zentral
8929;zentral
8931;zentral
8933;zentral
8934;zentral
8935;zentral
8936;zentral
8940;peripher
8941;peripher
8942;peripher
8943;peripher
8944;peripher
8951;peripher
8952;zentral
8953;zentral
8954;zentral
8955;zentral
8956;peripher
8958;peripher
8959;peripher
8960;peripher
8961;peripher
9040;sehr zentral
9041;sehr zentral
9042;sehr zentral
9043;sehr zentral
9044;sehr zentral
9045;sehr zentral
9046;sehr zentral
9047;sehr zentral
9048;sehr zentral
9049;sehr zentral
9051;zentral
9052;sehr zentral
9053;zentral
9054;zentral
9055;zentral
9056;zentral
9057;zentral
9058;zentral
9059;zentral
9060;zentral
9061;zentral
9076;sehr zentral
9105;zentral
9107;zentral
9108;zentral
9109;zentral
9112;zentral
9115;zentral
9116;zentral
9117;peripher
9118;zentral
9120;zentral
9121;peripher
9122;zentral
9123;zentral
9124;zentral
9125;peripher
9127;peripher
9128;peripher
9130;zentral
9131;zentral
9132;zentral
9133;zentral
9134;peripher
9135;zentral
9136;zentral
9141;peripher
9143;peripher
9144;zentral
9145;peripher
9146;peripher
9147;peripher
9148;peripher
9152;peripher
9154;peripher
9155;peripher
9156;zentral
9157;peripher
9158;peripher
9159;peripher
9160;peripher
9161;peripher
9162;peripher
9163;peripher
9171;peripher
9172;peripher
9173;peripher
9174;peripher
9175;peripher
9178;peripher
9179;peripher
9180;peripher
9222;peripher
9223;peripher
9224;peripher
9225;peripher
9226;peripher
9227;peripher
9228;peripher
9231;zentral
9233;peripher
9234;zentral
9235;peripher
9236;peripher
9242;peripher
9243;peripher
9244;sehr peripher
9250;peripher
9252;sehr peripher
9253;peripher
9254;peripher
9255;sehr peripher
9263;peripher
9264;sehr peripher
9265;peripher
9266;peripher
9267;peripher
9268;peripher
9269;peripher
9270;peripher
9271;peripher
9272;peripher
9304;zentral
9305;zentral
9307;peripher
9308;peripher
9309;peripher
9310;peripher
9312;peripher
9313;peripher
9314;peripher
9315;peripher
9316;peripher
9317;peripher
9318;peripher
9319;peripher
9330;peripher
9332;peripher
9333;peripher
9334;peripher
9335;peripher
9341;sehr peripher
9342;sehr peripher
9343;sehr peripher
9344;sehr peripher
9345;sehr peripher
9346;sehr peripher
9347;sehr peripher
9348;sehr peripher
9349;sehr peripher
9403;peripher
9405;sehr peripher
9406;peripher
9407;sehr peripher
9408;peripher
9409;peripher
9410;sehr peripher
9411;sehr peripher
9412;peripher
9413;sehr peripher
9414;sehr peripher
9415;peripher
9416;sehr peripher
9420;sehr peripher
9422;sehr peripher
9423;sehr peripher
9424;sehr peripher
9425;sehr peripher
9426;sehr peripher
9431;peripher
9432;peripher
9433;peripher
9434;peripher
9435;peripher
9436;peripher
9437;peripher
9440;peripher
9441;peripher
9442;peripher
9443;peripher
9444;peripher
9446;peripher
9447;peripher
9448;peripher
9449;peripher
9450;peripher
9451;sehr peripher
9452;peripher
9453;peripher
9454;sehr peripher
9455;peripher
9456;peripher
9457;peripher
9502;peripher
9503;peripher
9510;peripher
9511;peripher
9512;peripher
9513;peripher
9514;peripher
9515;peripher
9516;peripher
9517;peripher
9518;peripher
9519;peripher
9521;peripher
9523;peripher
9532;peripher
9533;peripher
9534;peripher
9535;peripher
9536;peripher
9544;peripher
9546;peripher
9547;peripher
9548;peripher
9549;peripher
9550;peripher
9551;peripher
9561;peripher
9563;peripher
9564;sehr peripher
9565;peripher
9566;peripher
9567;peripher
9568;peripher
9569;peripher
9570;peripher
9604;zentral
9605;zentral
9610;peripher
9611;zentral
9612;zentral
9613;zentral
9614;peripher
9615;zentral
9616;zentral
9617;zentral
9618;peripher
9619;peripher
9621;peripher
9622;peripher
9623;peripher
9624;peripher
9625;peripher
9626;peripher
9627;peripher
9631;peripher
9632;peripher
9633;sehr peripher
9634;peripher
9635;sehr peripher
9636;peripher
9645;peripher
9646;peripher
9647;peripher
9648;peripher
9651;sehr peripher
9652;peripher
9707;zentral
9708;zentral
9719;zentral
9720;zentral
9721;peripher
9722;zentral
9723;zentral
9724;zentral
9725;peripher
9726;zentral
9727;zentral
9728;peripher
9729;zentral
9731;zentral
9732;zentral
9733;zentral
9734;peripher
9735;peripher
9742;zentral
9743;peripher
9744;peripher
9745;peripher
9746;zentral
9747;peripher
9748;peripher
9749;peripher
9750;zentral
9751;peripher
9752;peripher
9753;peripher
9761;peripher
9763;peripher
9764;peripher
9765;peripher
9768;peripher
9770;peripher
9771;peripher
9772;peripher
9773;peripher
9775;peripher
9776;peripher
9777;peripher
9778;peripher
9779;peripher
9781;peripher
9782;peripher
9783;peripher
9784;peripher
9785;peripher
9787;peripher
9789;peripher
9790;peripher
9792;peripher
9794;peripher
9795;peripher
9798;peripher
9799;peripher
9852;peripher
9853;peripher
9854;peripher
9855;peripher
9857;peripher
9858;peripher
9859;peripher
9861;peripher
9863;peripher
9864;sehr peripher
9866;sehr peripher
9867;peripher
9869;peripher
9870;peripher
9871;peripher
9872;sehr peripher
9873;sehr peripher
9874;sehr peripher
9908;zentral
9909;peripher
9910;peripher
9918;peripher
9919;peripher
9931;peripher
9932;peripher
9933;peripher
9942;peripher
9943;peripher
9944;peripher
9951;peripher
9961;peripher
9962;peripher
9963;peripher
9970;sehr peripher
9971;sehr peripher
9973;peripher
9975;peripher
9976;peripher
9981;peripher
9982;peripher
9983;peripher
9984;peripher
9986;peripher
9988;peripher
9989;peripher
9994;peripher
9995;peripher
9997;peripher
9998;peripher
9999;sehr peripher
