"","Raumordnungsregion Nr","Raumordnungsregion","Bevölkerung","GISD_Score","GISD_5","GISD_10","GISD_k"
"1",601,"Mittelhessen",1029020,0.516836,3,6,2
"2",602,"Nordhessen",864330,0.605106,5,10,3
"3",603,"Osthessen",336720,0.518773,4,7,2
"4",604,"Rhein-Main",2803276,0.286076,1,2,1
"5",605,"Starkenburg",1060542,0.351723,2,4,2
