"","NUTS2","NUTS2 Name","Bevölkerung","GISD_Score","GISD_5","GISD_10","GISD_k"
"1","DE71","Darmstadt",3863818,0.160253,1,2,1
"2","DE72","Gießen",1029020,0.407369,3,6,2
"3","DE73","Kassel",1201050,0.505489,5,10,3
