"","NUTS2","NUTS2 Name","Bevölkerung","GISD_Score","GISD_5","GISD_10","GISD_k"
"1","DE11","Stuttgart",4008288,0.088796,1,1,1
"2","DE12","Karlsruhe",2721266,0.224284,1,2,1
"3","DE13","Freiburg",2191622,0.380322,2,3,2
"4","DE14","Tübingen",1795468,0.22421,1,1,1
"5","DE21","Oberbayern",4519979,0,1,1,1
"6","DE22","Niederbayern",1197558,0.463558,3,5,2
"7","DE23","Oberpfalz",1082761,0.39581,2,3,2
"8","DE24","Oberfranken",1055955,0.456246,2,4,2
"9","DE25","Mittelfranken",1715195,0.304157,1,2,1
"10","DE26","Unterfranken",1298849,0.374008,2,3,2
"11","DE27","Schwaben",1821271,0.358677,1,2,1
"12","DE30","Berlin",3469849,0.687908,5,9,3
"13","DE40","Brandenburg",2457872,0.862397,5,10,3
"14","DE50","Bremen",661888,0.596418,3,6,2
"15","DE60","Hamburg",1762791,0.280624,1,2,1
"16","DE71","Darmstadt",3863818,0.199768,1,1,1
"17","DE72","Gießen",1029020,0.453052,2,4,2
"18","DE73","Kassel",1201050,0.551315,3,6,2
"19","DE80","Mecklenburg-Vorpommern",1599138,1,5,10,3
"20","DE91","Braunschweig",1579754,0.533307,3,5,2
"21","DE92","Hannover",2108413,0.578866,3,6,2
"22","DE93","Lüneburg",1677715,0.642922,4,7,2
"23","DE94","Weser-Ems",2460857,0.755172,5,9,3
"24","DEA1","Düsseldorf",5108290,0.519282,3,5,2
"25","DEA2","Köln",4361724,0.409978,2,4,2
"26","DEA3","Münster",2580664,0.573828,3,6,2
"27","DEA4","Detmold",2029648,0.483677,3,5,2
"28","DEA5","Arnsberg",3557772,0.59942,4,7,2
"29","DEB1","Koblenz",1477202,0.620868,4,7,2
"30","DEB2","Trier",521863,0.625127,4,7,2
"31","DEB3","Rheinhessen-Pfalz",2012517,0.462004,2,4,2
"32","DEC0","Saarland",989035,0.654956,4,8,2
"33","DED1","Chemnitz",1463341,0.758545,5,9,3
"34","DED2","Dresden",1592765,0.670168,4,8,2
"35","DED3","Leipzig",999168,0.829334,5,10,3
"36","DEE0","Sachsen-Anhalt",2235548,0.986728,5,10,3
"37","DEF0","Schleswig-Holstein",2830864,0.669704,4,8,2
"38","DEG0","Thüringen",2156759,0.790151,5,9,3
