"","Raumordnungsregion Nr","Raumordnungsregion","Bevölkerung","GISD_Score","GISD_5","GISD_10","GISD_k"
"1",1201,"Havelland-Fläming",759468,0.601194,1,2,1
"2",1202,"Lausitz-Spreewald",597366,0.670734,2,4,2
"3",1203,"Oderland-Spree",423894,0.719508,3,6,2
"4",1204,"Prignitz-Oberhavel",381334,0.741996,4,7,2
"5",1205,"Uckermark-Barnim",295810,0.771285,5,10,3
