"","Raumordnungsregion Nr","Raumordnungsregion","Bevölkerung","GISD_Score","GISD_5","GISD_10","GISD_k"
"1",1201,"Havelland-Fläming",759468,0.713876,1,2,1
"2",1202,"Lausitz-Spreewald",597366,0.83746,2,4,2
"3",1203,"Oderland-Spree",423894,0.86172,3,6,2
"4",1204,"Prignitz-Oberhavel",381334,0.893848,4,7,2
"5",1205,"Uckermark-Barnim",295810,0.906039,5,10,3
