"","Kreiskennziffer","Name des Kreises","Bevölkerung","GISD_Score","GISD_5","GISD_10","GISD_k"
"1",16051,"Erfurt, Stadt",206219,0.802175,4,7,2
"2",16052,"Gera, Stadt",94492,0.887602,5,9,3
"3",16053,"Jena, Stadt",108207,0.438941,1,1,1
"4",16054,"Suhl, Stadt",36208,0.761577,2,4,2
"5",16055,"Weimar, Stadt",63477,0.776463,3,6,2
"6",16056,"Eisenach, Stadt",41884,0.839508,5,9,3
"7",16061,"Eichsfeld",100730,0.692911,1,1,1
"8",16062,"Nordhausen",85055,0.902016,5,10,3
"9",16063,"Wartburgkreis",125835,0.707314,1,2,1
"10",16064,"Unstrut-Hainich-Kreis",103922,0.833725,4,8,2
"11",16065,"Kyffhäuserkreis",77148,0.950828,5,10,3
"12",16066,"Schmalkalden-Meiningen",125056,0.775549,3,5,2
"13",16067,"Gotha",135381,0.804591,4,7,2
"14",16068,"Sömmerda",70537,0.830332,4,8,2
"15",16069,"Hildburghausen",64673,0.749158,2,3,2
"16",16070,"Ilm-Kreis",108899,0.746593,1,2,1
"17",16071,"Weimarer Land",81641,0.797775,3,6,2
"18",16072,"Sonneberg",56809,0.74966,2,3,2
"19",16073,"Saalfeld-Rudolstadt",109646,0.770462,2,4,2
"20",16074,"Saale-Holzland-Kreis",83966,0.726575,1,2,1
"21",16075,"Saale-Orla-Kreis",82887,0.776441,3,6,2
"22",16076,"Greiz",101382,0.77072,3,5,2
"23",16077,"Altenburger Land",92705,0.872789,5,9,3
