"";"JAHR";"PLZ2";"GISD_Score";"Bevölkerung";"GISD_5";"GISD_10";"GISD_k"
"1";1998;1;0,826743;1249405;5;9;3
"2";1998;2;0,900768;427271;5;10;3
"3";1998;3;0,938845;295580;5;10;3
"4";1998;4;0,869072;1237778;5;10;3
"5";1998;6;1;1300863;5;10;3
"6";1998;7;0,813898;580033;5;9;3
"7";1998;8;0,838301;601903;5;9;3
"8";1998;9;0,851101;790575;5;10;3
"9";1998;10;0,70674;414467;5;9;3
"10";1998;12;0,706275;1377942;4;8;2
"11";1998;13;0,706757;1173394;5;9;3
"12";1998;14;0,748685;1264837;5;9;3
"13";1998;15;0,774597;627638;5;9;3
"14";1998;16;0,833751;598416;5;9;3
"15";1998;17;0,968325;587834;5;10;3
"16";1998;18;0,963455;607324;5;10;3
"17";1998;19;0,860842;405447;5;10;3
"18";1998;20;0,244062;123873;2;4;2
"19";1998;21;0,296311;1602122;3;5;2
"20";1998;22;0,208348;1103442;2;4;2
"21";1998;23;0,4909;734709;4;8;2
"22";1998;24;0,42683;1096639;4;7;2
"23";1998;25;0,332972;696446;3;6;2
"24";1998;26;0,554704;1174940;4;8;2
"25";1998;27;0,434007;868974;4;7;2
"26";1998;28;0,476949;738882;4;7;2
"27";1998;29;0,525029;522068;4;8;2
"28";1998;30;0,454151;912461;4;7;2
"29";1998;31;0,419472;1019536;4;7;2
"30";1998;32;0,310867;885607;3;5;2
"31";1998;33;0,319343;1082569;3;5;2
"32";1998;34;0,408657;803532;4;7;2
"33";1998;35;0,271654;912547;2;4;2
"34";1998;36;0,349817;534835;3;6;2
"35";1998;37;0,537946;742488;4;8;2
"36";1998;38;0,522504;1171828;4;8;2
"37";1998;39;0,944959;783409;5;10;3
"38";1998;40;0,276036;991992;3;5;2
"39";1998;41;0,374614;952282;3;6;2
"40";1998;42;0,331241;878888;3;6;2
"41";1998;44;0,591689;1267494;4;8;2
"42";1998;45;0,533686;1559154;4;8;2
"43";1998;46;0,449881;894580;4;7;2
"44";1998;47;0,482354;1313713;4;7;2
"45";1998;48;0,393315;1189935;3;6;2
"46";1998;49;0,37802;1228129;3;6;2
"47";1998;50;0,366591;1084177;3;6;2
"48";1998;51;0,35677;1079789;3;6;2
"49";1998;52;0,507237;941131;4;8;2
"50";1998;53;0,340969;1265468;3;6;2
"51";1998;54;0,40703;516643;4;7;2
"52";1998;55;0,262639;805580;2;4;2
"53";1998;56;0,288939;849197;3;5;2
"54";1998;57;0,258057;598580;2;4;2
"55";1998;58;0,268845;930406;2;4;2
"56";1998;59;0,410906;1145053;4;7;2
"57";1998;60;0,282798;619157;3;5;2
"58";1998;61;0,115891;451016;1;2;1
"59";1998;63;0,19248;1268562;2;3;2
"60";1998;64;0,203508;802795;2;3;2
"61";1998;65;0,211592;1081652;2;4;2
"62";1998;66;0,398226;1248759;3;6;2
"63";1998;67;0,30862;1033467;3;5;2
"64";1998;68;0,31849;601445;3;5;2
"65";1998;69;0,257757;508992;2;4;2
"66";1998;70;0,121015;821650;1;2;1
"67";1998;71;0;1000158;1;1;1
"68";1998;72;0,112977;1056260;1;2;1
"69";1998;73;0,053551;1006392;1;1;1
"70";1998;74;0,094075;1057532;1;1;1
"71";1998;75;0,101207;484410;1;2;1
"72";1998;76;0,15607;1139769;2;3;2
"73";1998;77;0,121096;478943;1;2;1
"74";1998;78;0,127499;741488;1;2;1
"75";1998;79;0,258976;1040371;2;4;2
"76";1998;80;0,041623;626238;1;1;1
