"","Kennziffer Gemeindeverband","Name Gemeindeverband","Bevölkerung","GISD_Score","GISD_5","GISD_10","GISD_k"
"1",3101000,"Braunschweig, Stadt",248502,0.453775,1,1,1
"2",3102000,"Salzgitter, Stadt",98966,0.686499,3,6,2
"3",3103000,"Wolfsburg, Stadt",123027,0.325663,1,1,1
"4",3151009,"Gifhorn, Stadt",41617,0.610832,2,3,2
"5",3151025,"Sassenburg",11208,0.558885,1,2,1
"6",3151040,"Wittingen, Stadt",11501,0.582575,1,2,1
"7",3151901,"Boldecker Land",9817,0.500285,1,1,1
"8",3151902,"Brome",15598,0.531612,1,1,1
"9",3151903,"Hankensbüttel",9020,0.608532,2,3,2
"10",3151904,"Isenbüttel",15363,0.521275,1,1,1
"11",3151905,"Meinersen",20370,0.59107,1,2,1
"12",3151906,"Papenteich",23782,0.525942,1,1,1
"13",3151907,"Wesendorf",14265,0.617022,2,3,2
"14",3152001,"Adelebsen, Flecken",6499,0.507841,1,1,1
"15",3152004,"Bovenden, Flecken",13403,0.512443,1,1,1
"16",3152007,"Duderstadt, Stadt",20702,0.562605,1,2,1
"17",3152009,"Friedland",9198,0.596733,1,2,1
"18",3152011,"Gleichen",9029,0.504962,1,1,1
"19",3152012,"Göttingen, Stadt",117665,0.60027,1,2,1
"20",3152016,"Hann. Münden, Stadt",23711,0.56944,1,2,1
"21",3152021,"Rosdorf",11806,0.533136,1,1,1
"22",3152026,"Staufenberg",7861,0.512687,1,1,1
"23",3152901,"Dransfeld",9325,0.494828,1,1,1
"24",3152902,"Gieboldehausen",13844,0.533721,1,1,1
"25",3152903,"Radolfshausen",7177,0.5049,1,1,1
"26",3153002,"Bad Harzburg, Stadt",21619,0.779543,5,9,3
"27",3153007,"Langelsheim, Stadt",11786,0.741611,4,8,2
"28",3153008,"Liebenburg",8147,0.716904,4,7,2
"29",3153012,"Seesen, Stadt",19337,0.753984,4,8,2
"30",3153016,"Braunlage, Stadt",5985,0.789866,5,9,3
"31",3153017,"Goslar, Stadt",50457,0.775111,5,9,3
"32",3153901,"Lutter am Barenberge",4068,0.724959,4,7,2
"33",3153902,"Oberharz",15857,0.793873,5,9,3
"34",3154003,"Büddenstedt",2486,0.730094,4,7,2
"35",3154010,"Helmstedt, Stadt",23129,0.76097,4,8,2
"36",3154013,"Königslutter am Elm, Stadt",15819,0.675849,3,5,2
"37",3154014,"Lehre",11655,0.631522,2,3,2
"38",3154019,"Schöningen, Stadt",11327,0.768375,4,8,2
"39",3154901,"Grasleben",4477,0.684071,3,6,2
"40",3154902,"Heeseberg",3933,0.7384,4,7,2
"41",3154903,"Nord-Elm",5616,0.694496,3,6,2
"42",3154904,"Velpke",12466,0.628814,2,3,2
"43",3155001,"Bad Gandersheim, Stadt",9785,0.739883,4,8,2
"44",3155002,"Bodenfelde, Flecken",3158,0.783646,5,9,3
"45",3155003,"Dassel, Stadt",9860,0.730211,4,7,2
"46",3155005,"Hardegsen, Stadt",7807,0.699634,3,6,2
"47",3155006,"Kalefeld",6586,0.694182,3,6,2
"48",3155007,"Katlenburg-Lindau",7169,0.688754,3,6,2
"49",3155009,"Moringen, Stadt",6979,0.713051,4,7,2
"50",3155010,"Nörten-Hardenberg, Flecken",8056,0.684193,3,6,2
"51",3155011,"Northeim, Stadt",28833,0.73919,4,7,2
"52",3155012,"Uslar, Stadt",14318,0.747871,4,8,2
"53",3155013,"Einbeck, Stadt",31354,0.747665,4,8,2
"54",3156002,"Bad Lauterberg im Harz, Stadt",10506,0.752285,4,8,2
"55",3156003,"Bad Sachsa, Stadt",7431,0.814999,5,10,3
"56",3156009,"Herzberg am Harz, Stadt",13079,0.764657,4,8,2
"57",3156011,"Osterode am Harz, Stadt",22130,0.753829,4,8,2
"58",3156017,"Bad Grund (Harz)",8666,0.733386,4,7,2
"59",3156902,"Hattorf am Harz",7402,0.723338,4,7,2
"60",3156903,"Walkenried",4579,0.773271,5,9,3
"61",3157001,"Edemissen",12320,0.640697,2,3,2
"62",3157002,"Hohenhameln",9047,0.661615,3,5,2
"63",3157003,"Ilsede",11400,0.665373,3,5,2
"64",3157004,"Lahstedt",9908,0.657307,2,4,2
"65",3157005,"Lengede",12749,0.629421,2,3,2
"66",3157006,"Peine, Stadt",48553,0.703292,3,6,2
"67",3157007,"Vechelde",16426,0.629417,2,3,2
"68",3157008,"Wendeburg",10198,0.630081,2,3,2
"69",3158006,"Cremlingen",13047,0.58719,1,2,1
"70",3158037,"Wolfenbüttel, Stadt",51670,0.650334,2,4,2
"71",3158039,"Schladen-Werla",8898,0.642028,2,4,2
"72",3158901,"Asse",9341,0.608477,2,3,2
"73",3158902,"Baddeckenstedt",10518,0.598546,1,2,1
"74",3158903,"Oderwald",6794,0.617897,2,3,2
"75",3158905,"Schöppenstedt",9283,0.662636,3,5,2
"76",3158906,"Sickte",10484,0.600838,1,2,1
"77",3241001,"Hannover, Landeshauptstadt",523642,0.597681,1,2,1
"78",3241002,"Barsinghausen, Stadt",33310,0.545059,1,2,1
"79",3241003,"Burgdorf, Stadt",29676,0.554984,1,2,1
"80",3241004,"Burgwedel, Stadt",20307,0.507719,1,1,1
"81",3241005,"Garbsen, Stadt",59957,0.558061,1,2,1
"82",3241006,"Gehrden, Stadt",14550,0.51008,1,1,1
"83",3241007,"Hemmingen, Stadt",18668,0.509466,1,1,1
"84",3241008,"Isernhagen",23331,0.493698,1,1,1
"85",3241009,"Laatzen, Stadt",39922,0.557193,1,2,1
"86",3241010,"Langenhagen, Stadt",52330,0.543178,1,1,1
"87",3241011,"Lehrte, Stadt",43189,0.548428,1,2,1
"88",3241012,"Neustadt am Rübenberge, Stadt",43499,0.542337,1,1,1
"89",3241013,"Pattensen, Stadt",14161,0.52101,1,1,1
"90",3241014,"Ronnenberg, Stadt",23625,0.539467,1,1,1
"91",3241015,"Seelze, Stadt",32755,0.552173,1,2,1
"92",3241016,"Sehnde, Stadt",23157,0.541468,1,1,1
"93",3241017,"Springe, Stadt",28378,0.563892,1,2,1
"94",3241018,"Uetze",19902,0.559,1,2,1
"95",3241019,"Wedemark",28957,0.516431,1,1,1
"96",3241020,"Wennigsen (Deister)",13902,0.527487,1,1,1
"97",3241021,"Wunstorf, Stadt",40819,0.532392,1,1,1
"98",3251007,"Bassum, Stadt",15634,0.649073,2,4,2
"99",3251012,"Diepholz, Stadt",16169,0.67574,3,5,2
"100",3251037,"Stuhr",32729,0.593631,1,2,1
"101",3251040,"Sulingen, Stadt",12569,0.67614,3,5,2
"102",3251041,"Syke, Stadt",23734,0.633434,2,3,2
"103",3251042,"Twistringen, Stadt",12083,0.653924,2,4,2
"104",3251044,"Wagenfeld",7029,0.6295,2,3,2
"105",3251047,"Weyhe",30291,0.595525,1,2,1
"106",3251901,"Altes Amt Lemförde",8002,0.619848,2,3,2
"107",3251902,"Barnstorf",11812,0.651545,2,4,2
"108",3251903,"Bruchhausen-Vilsen",16853,0.646588,2,4,2
"109",3251904,"Kirchdorf",7122,0.667763,3,5,2
"110",3251905,"Rehden",5643,0.639843,2,3,2
"111",3251906,"Schwaförden",6849,0.656934,2,4,2
"112",3251907,"Siedenburg",4574,0.655703,2,4,2
"113",3252001,"Aerzen, Flecken",10665,0.715004,4,7,2
"114",3252002,"Bad Münder am Deister, Stadt",17378,0.713144,4,7,2
"115",3252003,"Bad Pyrmont, Stadt",19088,0.794886,5,9,3
"116",3252004,"Coppenbrügge, Flecken",7186,0.727565,4,7,2
"117",3252005,"Emmerthal",9877,0.724278,4,7,2
"118",3252006,"Hameln, Stadt",56310,0.77347,5,9,3
"119",3252007,"Hessisch Oldendorf, Stadt",18033,0.732392,4,7,2
"120",3252008,"Salzhemmendorf, Flecken",9276,0.743018,4,8,2
"121",3254002,"Alfeld (Leine), Stadt",18913,0.668328,3,5,2
"122",3254003,"Algermissen",7778,0.610911,2,3,2
"123",3254005,"Bad Salzdetfurth, Stadt",13287,0.657472,2,4,2
"124",3254008,"Bockenem, Stadt",9731,0.660195,3,5,2
"125",3254011,"Diekholzen",6535,0.630934,2,3,2
"126",3254014,"Elze, Stadt",8824,0.655251,2,4,2
"127",3254017,"Giesen",9670,0.622324,2,3,2
"128",3254020,"Harsum",11466,0.614674,2,3,2
"129",3254021,"Hildesheim, Stadt",99979,0.710894,4,7,2
"130",3254022,"Holle",7088,0.628625,2,3,2
"131",3254026,"Nordstemmen",12005,0.646499,2,4,2
"132",3254028,"Sarstedt, Stadt",18626,0.651003,2,4,2
"133",3254029,"Schellerten",7994,0.638342,2,3,2
"134",3254032,"Söhlde",7812,0.647098,2,4,2
"135",3254901,"Freden (Leine)",4794,0.67851,3,5,2
"136",3254902,"Gronau (Leine)",13373,0.657225,2,4,2
"137",3254903,"Lamspringe",5702,0.658799,2,4,2
"138",3254904,"Sibbesse",5988,0.612244,2,3,2
"139",3254905,"Duingen",4989,0.65597,2,4,2
