"","Kennziffer Gemeindeverband","Name Gemeindeverband","Bevölkerung","GISD_Score","GISD_5","GISD_10","GISD_k"
"99",3251012,"Diepholz, Stadt",16169,0.683082,3,6,2
"100",3251037,"Stuhr",32729,0.623736,2,4,2
"101",3251040,"Sulingen, Stadt",12569,0.669956,3,5,2
"102",3251041,"Syke, Stadt",23734,0.652106,3,5,2
"103",3251042,"Twistringen, Stadt",12083,0.656108,3,5,2
"104",3251044,"Wagenfeld",7029,0.646771,3,5,2
"105",3251047,"Weyhe",30291,0.617441,2,3,2
"106",3251901,"Altes Amt Lemförde",8002,0.641256,3,5,2
"107",3251902,"Barnstorf",11812,0.665301,3,5,2
"108",3251903,"Bruchhausen-Vilsen",16853,0.666881,3,5,2
"109",3251904,"Kirchdorf",7122,0.670996,3,5,2
"110",3251905,"Rehden",5643,0.649995,3,5,2
"111",3251906,"Schwaförden",6849,0.656641,3,5,2
"112",3251907,"Siedenburg",4574,0.6594,3,5,2
"113",3252001,"Aerzen, Flecken",10665,0.678246,3,6,2
"114",3252002,"Bad Münder am Deister, Stadt",17378,0.694483,3,6,2
"115",3252003,"Bad Pyrmont, Stadt",19088,0.762211,5,9,3
"116",3252004,"Coppenbrügge, Flecken",7186,0.69961,4,7,2
"117",3252005,"Emmerthal",9877,0.688151,3,6,2
"118",3252006,"Hameln, Stadt",56310,0.7686,5,9,3
"119",3252007,"Hessisch Oldendorf, Stadt",18033,0.654447,3,5,2
"120",3252008,"Salzhemmendorf, Flecken",9276,0.715555,4,7,2
"121",3254002,"Alfeld (Leine), Stadt",18913,0.641111,2,4,2
"122",3254003,"Algermissen",7778,0.594449,2,3,2
"123",3254005,"Bad Salzdetfurth, Stadt",13287,0.635669,2,4,2
"124",3254008,"Bockenem, Stadt",9731,0.643287,3,5,2
"125",3254011,"Diekholzen",6535,0.602935,2,3,2
"126",3254014,"Elze, Stadt",8824,0.632309,2,4,2
"127",3254017,"Giesen",9670,0.590352,1,2,1
"128",3254020,"Harsum",11466,0.591697,1,2,1
"129",3254021,"Hildesheim, Stadt",99979,0.675337,3,6,2
"130",3254022,"Holle",7088,0.616479,2,3,2
"131",3254026,"Nordstemmen",12005,0.618448,2,4,2
"132",3254028,"Sarstedt, Stadt",18626,0.617661,2,3,2
"133",3254029,"Schellerten",7994,0.610564,2,3,2
"134",3254032,"Söhlde",7812,0.626807,2,4,2
"135",3254901,"Freden (Leine)",4794,0.653869,3,5,2
"136",3254902,"Gronau (Leine)",13373,0.624594,2,4,2
"137",3254903,"Lamspringe",5702,0.609009,2,3,2
"138",3254904,"Sibbesse",5988,0.597333,2,3,2
"139",3254905,"Duingen",4989,0.629499,2,4,2
"140",3255008,"Delligsen, Flecken",7868,0.741387,4,8,2
"141",3255023,"Holzminden, Stadt",20169,0.793075,5,10,3
"142",3255901,"Bevern",5949,0.754178,4,8,2
"143",3255903,"Boffzen",6795,0.780846,5,9,3
"144",3255908,"Bodenwerder-Polle",15042,0.759652,5,9,3
"145",3255909,"Eschershausen-Stadtoldendorf",15615,0.788939,5,9,3
"146",3256022,"Nienburg (Weser), Stadt",30691,0.757594,4,8,2
"147",3256025,"Rehburg-Loccum, Stadt",10075,0.691117,3,6,2
