"","Gemeindekennziffer","Name der Gemeinde","Bevölkerung","GISD_Score","GISD_5","GISD_10","GISD_k"
"94",1051109,"Süderdeich",467,0.776698,5,9,3
"95",1051110,"Süderhastedt",843,0.737784,5,9,3
"96",1051113,"Wöhrden",1262,0.712809,4,8,2
"97",1051114,"Tellingstedt",2697,0.763876,5,9,3
"98",1051117,"Tielenhemme",167,0.763876,5,9,3
"99",1051118,"Trennewurth",249,0.739427,5,9,3
"100",1051119,"Volsemenhusen",352,0.739427,5,9,3
"101",1051120,"Wallen",32,0.763876,5,9,3
"102",1051121,"Warwerort",250,0.776698,5,9,3
"103",1051122,"Weddingstedt",2279,0.712809,4,8,2
"104",1051125,"Welmbüttel",439,0.763876,5,9,3
"105",1051126,"Wennbüttel",87,0.752633,5,9,3
"106",1051127,"Wesselburen, Stadt",3004,0.776698,5,9,3
"107",1051128,"Wesselburener Deichhausen",115,0.776698,5,9,3
"108",1051129,"Wesselburenerkoog",173,0.776698,5,9,3
"109",1051130,"Wesseln",1417,0.712809,4,8,2
"110",1051131,"Westerborstel",106,0.763876,5,9,3
"111",1051132,"Westerdeichstrich",848,0.776698,5,9,3
"112",1051133,"Wiemerstedt",154,0.763876,5,9,3
"113",1051134,"Windbergen",808,0.752633,5,9,3
"114",1051135,"Wolmersdorf",333,0.752633,5,9,3
"115",1051136,"Wrohm",699,0.763876,5,9,3
"116",1051137,"Nordermeldorf",587,0.752633,5,9,3
"117",1051138,"Tensbüttel-Röst",649,0.752633,5,9,3
"118",1051139,"Süderdorf",354,0.763876,5,9,3
"119",1051140,"Oesterwurth",259,0.776698,5,9,3
"120",1051141,"Süderheistedt",539,0.763876,5,9,3
"121",1053001,"Albsfelde",76,0.631263,3,6,2
"122",1053002,"Alt Mölln",890,0.617574,3,5,2
"123",1053003,"Aumühle",3178,0.570651,2,4,2
"124",1053004,"Bäk",880,0.631263,3,6,2
"125",1053005,"Bälau",228,0.617574,3,5,2
"126",1053006,"Basedow",657,0.633159,3,6,2
"127",1053007,"Basthorst",414,0.582946,2,4,2
"128",1053008,"Behlendorf",398,0.593819,3,5,2
"129",1053009,"Berkenthin",2037,0.593819,3,5,2
"130",1053010,"Besenthal",84,0.634163,3,6,2
"131",1053011,"Bliestorf",641,0.593819,3,5,2
"132",1053012,"Börnsen",4439,0.570651,2,4,2
"133",1053013,"Borstorf",269,0.617574,3,5,2
"134",1053014,"Breitenfelde",1904,0.617574,3,5,2
"135",1053015,"Bröthen",276,0.634163,3,6,2
"136",1053016,"Brunsmark",150,0.631263,3,6,2
"137",1053017,"Brunstorf",632,0.582946,2,4,2
"138",1053018,"Buchholz",239,0.631263,3,6,2
"139",1053019,"Buchhorst",166,0.633159,3,6,2
"140",1053020,"Büchen",5698,0.634163,3,6,2
"141",1053021,"Dahmker",161,0.582946,2,4,2
"142",1053022,"Dalldorf",367,0.633159,3,6,2
"143",1053023,"Dassendorf",3178,0.570651,2,4,2
"144",1053024,"Düchelsdorf",164,0.593819,3,5,2
"145",1053025,"Duvensee",543,0.615228,3,5,2
"146",1053026,"Einhaus",376,0.631263,3,6,2
"147",1053027,"Elmenhorst",842,0.582946,2,4,2
"148",1053028,"Escheburg",3345,0.570651,2,4,2
"149",1053029,"Fitzen",349,0.634163,3,6,2
"150",1053030,"Fredeburg",45,0.631263,3,6,2
"151",1053031,"Fuhlenhagen",348,0.582946,2,4,2
"152",1053032,"Geesthacht, Stadt",29676,0.618209,3,5,2
"153",1053033,"Giesensdorf",136,0.631263,3,6,2
"154",1053034,"Göldenitz",237,0.593819,3,5,2
"155",1053035,"Göttin",56,0.634163,3,6,2
"156",1053036,"Grabau",321,0.582946,2,4,2
"157",1053037,"Grambek",427,0.617574,3,5,2
"158",1053038,"Grinau",315,0.615228,3,5,2
"159",1053039,"Groß Boden",199,0.615228,3,5,2
