"","Kreiskennziffer","Name des Kreises","Bevölkerung","GISD_Score","GISD_5","GISD_10","GISD_k"
"1",3101,"Braunschweig, Stadt",248502,0.446193,1,1,1
"2",3102,"Salzgitter, Stadt",98966,0.697844,3,5,2
"3",3103,"Wolfsburg, Stadt",123027,0.307662,1,1,1
"4",3151,"Gifhorn",172541,0.572418,1,2,1
"5",3152,"Göttingen",250220,0.568942,1,2,1
"6",3153,"Goslar",137256,0.785784,4,8,2
"7",3154,"Helmstedt",90908,0.715306,3,6,2
"8",3155,"Northeim",133905,0.745584,3,6,2
"9",3156,"Osterode am Harz",73793,0.774548,4,8,2
"10",3157,"Peine",130601,0.675118,2,4,2
"11",3158,"Wolfenbüttel",120035,0.63659,2,3,2
"12",3241,"Region Hannover",1128037,0.568685,1,2,1
"13",3251,"Diepholz",211093,0.640999,2,3,2
"14",3252,"Hameln-Pyrmont",147813,0.769194,4,7,2
"15",3254,"Hildesheim",274554,0.679544,2,4,2
"16",3255,"Holzminden",71438,0.784898,4,8,2
"17",3256,"Nienburg (Weser)",119631,0.765985,3,6,2
"18",3257,"Schaumburg",155847,0.697287,3,5,2
"19",3351,"Celle",176157,0.770727,4,7,2
"20",3352,"Cuxhaven",196787,0.77344,4,7,2
"21",3353,"Harburg",245199,0.498529,1,1,1
"22",3354,"Lüchow-Dannenberg",48728,0.913151,5,10,3
"23",3355,"Lüneburg",178122,0.628479,2,3,2
"24",3356,"Osterholz",111484,0.645963,2,3,2
"25",3357,"Rotenburg (Wümme)",161842,0.722018,3,6,2
"26",3358,"Heidekreis",136200,0.775436,4,8,2
"27",3359,"Stade",197448,0.603615,1,2,1
"28",3360,"Uelzen",92533,0.80913,5,9,3
"29",3361,"Verden",133215,0.556637,1,1,1
"30",3401,"Delmenhorst, Stadt",74804,0.914005,5,10,3
"31",3402,"Emden, Stadt",50016,0.813206,5,9,3
"32",3403,"Oldenburg (Oldenburg), Stadt",160907,0.621222,2,3,2
"33",3404,"Osnabrück, Stadt",156897,0.581063,1,2,1
"34",3405,"Wilhelmshaven, Stadt",75534,0.955961,5,10,3
"35",3451,"Ammerland",119917,0.683841,3,5,2
"36",3452,"Aurich",187998,0.908265,5,10,3
"37",3453,"Cloppenburg",162350,0.815128,5,9,3
"38",3454,"Emsland",315757,0.694578,3,5,2
"39",3455,"Friesland",96937,0.770288,4,7,2
"40",3456,"Grafschaft Bentheim",134329,0.791724,4,8,2
"41",3457,"Leer",165809,0.913092,5,10,3
"42",3458,"Oldenburg",126798,0.68724,3,5,2
"43",3459,"Osnabrück",351316,0.659814,2,4,2
"44",3460,"Vechta",136184,0.675762,2,4,2
"45",3461,"Wesermarsch",88765,0.700646,3,6,2
"46",3462,"Wittmund",56539,0.877988,5,9,3
