"";"PLZ2";"GISD_Score";"Bevölkerung";"GISD_5";"GISD_10";"GISD_k"
"1";1;0,643844;1239191;4;7;2
"2";2;0,877544;427838;5;10;3
"3";3;0,790211;295564;5;9;3
"4";4;0,818733;1221559;5;10;3
"5";6;0,938921;1298339;5;10;3
"6";7;0,68573;575515;4;8;2
"7";8;0,77883;603527;5;9;3
"8";9;0,760239;786494;5;9;3
"9";10;0,651511;408547;4;7;2
"10";12;0,651339;1358152;4;7;2
"11";13;0,651507;1156630;4;7;2
"12";14;0,656322;1244929;4;7;2
"13";15;0,748476;617550;5;9;3
"14";16;0,816384;592979;5;10;3
"15";17;1;586292;5;10;3
"16";18;0,881351;602638;5;10;3
"17";19;0,916901;398894;5;10;3
"18";20;0,317079;122167;1;2;1
"19";21;0,442398;1581273;2;3;2
"20";22;0,349702;1088750;1;2;1
"21";23;0,794908;729034;5;10;3
"22";24;0,735575;1084996;4;8;2
"23";25;0,692307;690488;4;8;2
"24";26;0,781757;1162010;5;9;3
"25";27;0,73894;857755;5;9;3
"26";28;0,574367;730105;3;6;2
"27";29;0,786883;513833;5;9;3
"28";30;0,541704;898619;3;5;2
"29";31;0,661281;1011232;4;7;2
"30";32;0,619388;874570;3;6;2
"31";33;0,561187;1066042;3;5;2
"32";34;0,616032;795391;3;6;2
"33";35;0,537522;902128;3;5;2
"34";36;0,58976;528999;3;6;2
"35";37;0,676205;734744;4;8;2
"36";38;0,564811;1159086;3;5;2
"37";39;0,906116;778683;5;10;3
"38";40;0,309646;980168;1;2;1
"39";41;0,600283;938198;3;6;2
"40";42;0,631252;869535;4;7;2
"41";44;0,732726;1255921;4;8;2
"42";45;0,689853;1540838;4;8;2
"43";46;0,705853;886193;4;8;2
"44";47;0,741988;1297150;5;9;3
"45";48;0,542737;1170596;3;5;2
"46";49;0,675988;1206560;4;7;2
"47";50;0,470263;1069065;2;4;2
"48";51;0,448578;1066245;2;4;2
"49";52;0,611834;929599;3;6;2
"50";53;0,45582;1245805;2;4;2
"51";54;0,727346;505845;4;8;2
"52";55;0,455622;796458;2;4;2
"53";56;0,671225;843335;4;7;2
"54";57;0,563165;590649;3;5;2
"55";58;0,620253;922121;3;6;2
"56";59;0,671149;1129497;4;7;2
"57";60;0,233974;606395;1;1;1
"58";61;0,192992;446049;1;1;1
"59";63;0,475267;1252115;2;4;2
"60";64;0,379265;789690;2;3;2
"61";65;0,343858;1068844;1;2;1
"62";66;0,69032;1241353;4;8;2
"63";67;0,584874;1025389;3;6;2
"64";68;0,389711;591626;2;3;2
"65";69;0,240939;502347;1;1;1
"66";70;0,127577;807610;1;1;1
"67";71;0,207924;984370;1;1;1
"68";72;0,372214;1040150;1;2;1
"69";73;0,333258;993278;1;2;1
"70";74;0,378035;1042919;2;3;2
"71";75;0,441637;476412;2;3;2
"72";76;0,367251;1123023;1;2;1
"73";77;0,495271;473777;3;5;2
"74";78;0,468296;730211;2;4;2
"75";79;0,494231;1023546;2;4;2
"76";80;0,000175;617257;1;1;1
"77";81;0;803226;1;1;1
"78";82;0,115031;724394;1;1;1
"79";83;0,430031;751251;2;3;2
"80";84;0,445659;674737;2;4;2
"81";85;0,136501;1095575;1;1;1
"82";86;0,434394;1148457;2;3;2
"83";87;0,47551;515997;2;4;2
"84";88;0,370071;834675;1;2;1
"85";89;0,373028;753047;1;2;1
"86";90;0,40828;879487;2;3;2
"87";91;0,363792;988633;1;2;1
"88";92;0,552814;513234;3;5;2
"89";93;0,406618;582733;2;3;2
"90";94;0,595489;699723;3;6;2
"91";95;0,599398;497382;3;6;2
"92";96;0,536099;559044;3;5;2
"93";97;0,478096;1054618;2;4;2
"94";98;0,743007;304500;5;9;3
"95";99;0,786052;936234;5;9;3
