"";"PLZ2";"GISD_Score";"Bevölkerung";"GISD_5";"GISD_10";"GISD_k"
"1";1;0,652996;1239191;4;7;2
"2";2;0,853215;427838;5;10;3
"3";3;0,862199;295564;5;10;3
"4";4;0,824942;1221559;5;9;3
"5";6;0,95604;1298339;5;10;3
"6";7;0,694858;575515;4;8;2
"7";8;0,781653;603527;5;9;3
"8";9;0,746251;786494;5;9;3
"9";10;0,706225;408547;4;8;2
"10";12;0,706015;1358152;4;8;2
"11";13;0,706227;1156630;4;8;2
"12";14;0,729311;1244929;4;8;2
"13";15;0,832629;617550;5;9;3
"14";16;0,893107;592979;5;10;3
"15";17;1;586292;5;10;3
"16";18;0,939428;602638;5;10;3
"17";19;0,935928;398894;5;10;3
"18";20;0,384295;122167;2;3;2
"19";21;0,475139;1581273;3;5;2
"20";22;0,395644;1088750;2;3;2
"21";23;0,795565;729034;5;9;3
"22";24;0,741275;1084996;5;9;3
"23";25;0,676786;690488;4;7;2
"24";26;0,822736;1162010;5;9;3
"25";27;0,75658;857755;5;9;3
"26";28;0,559921;730105;3;6;2
"27";29;0,819184;513833;5;9;3
"28";30;0,54752;898619;3;5;2
"29";31;0,674353;1011232;4;7;2
"30";32;0,573134;874570;3;6;2
"31";33;0,513388;1066042;3;5;2
"32";34;0,616768;795391;4;7;2
"33";35;0,515429;902128;3;5;2
"34";36;0,557422;528999;3;5;2
"35";37;0,683583;734744;4;7;2
"36";38;0,59185;1159086;3;6;2
"37";39;0,933675;778683;5;10;3
"38";40;0,296704;980168;1;2;1
"39";41;0,567641;938198;3;6;2
"40";42;0,608087;869535;3;6;2
"41";44;0,699199;1255921;4;8;2
"42";45;0,659614;1540838;4;7;2
"43";46;0,695824;886193;4;8;2
"44";47;0,731563;1297150;4;8;2
"45";48;0,510202;1170596;3;5;2
"46";49;0,6623;1206560;4;7;2
"47";50;0,462349;1069065;2;4;2
"48";51;0,438235;1066245;2;3;2
"49";52;0,614342;929599;3;6;2
"50";53;0,445312;1245805;2;4;2
"51";54;0,656635;505845;4;7;2
"52";55;0,44406;796458;2;4;2
"53";56;0,642778;843335;4;7;2
"54";57;0,545091;590649;3;5;2
"55";58;0,602638;922121;3;6;2
"56";59;0,655544;1129497;4;7;2
"57";60;0,27176;606395;1;1;1
"58";61;0,123898;446049;1;1;1
"59";63;0,45718;1252115;2;4;2
"60";64;0,339374;789690;1;2;1
"61";65;0,315225;1068844;1;2;1
"62";66;0,690727;1241353;4;8;2
"63";67;0,581319;1025389;3;6;2
"64";68;0,403146;591626;2;3;2
"65";69;0,214896;502347;1;1;1
"66";70;0,088425;807610;1;1;1
"67";71;0,160763;984370;1;1;1
"68";72;0,347459;1040150;1;2;1
"69";73;0,282268;993278;1;2;1
"70";74;0,381536;1042919;2;3;2
"71";75;0,402541;476412;2;3;2
"72";76;0,336848;1123023;1;2;1
"73";77;0,443711;473777;2;3;2
"74";78;0,454991;730211;2;4;2
"75";79;0,471546;1023546;2;4;2
"76";80;9,5e-05;617257;1;1;1
"77";81;0;803226;1;1;1
"78";82;0,113809;724394;1;1;1
"79";83;0,380528;751251;1;2;1
"80";84;0,444433;674737;2;4;2
"81";85;0,141351;1095575;1;1;1
"82";86;0,429422;1148457;2;3;2
"83";87;0,465894;515997;2;4;2
"84";88;0,361362;834675;1;2;1
"85";89;0,354677;753047;1;2;1
"86";90;0,458496;879487;2;4;2
"87";91;0,347337;988633;1;2;1
"88";92;0,535898;513234;3;5;2
"89";93;0,401134;582733;2;3;2
"90";94;0,582745;699723;3;6;2
"91";95;0,585128;497382;3;6;2
"92";96;0,540357;559044;3;5;2
"93";97;0,463256;1054618;2;4;2
"94";98;0,793223;304500;5;9;3
"95";99;0,834912;936234;5;10;3
