"","PLZ2","GISD_Score","Bevölkerung","GISD_5","GISD_10","GISD_k"
"1","10",0.727441,529209,4,8,2
"2","11",0.501747,196805,2,4,2
"3","12",0.775645,1441258,5,9,3
"4","13",0.768023,1269673,5,9,3
"5","14",0.726185,1354289,4,8,2
"6","15",0.777376,687687,5,9,3
"7","16",0.862793,716460,5,10,3
"8","17",0.934969,746037,5,10,3
"9","18",0.890749,734118,5,10,3
"10","19",0.897047,544417,5,10,3
"11","20",0.379478,124377,1,2,1
"12","21",0.465158,1597504,2,4,2
"13","22",0.386111,1108846,1,2,1
"14","23",0.799227,730293,5,9,3
"15","24",0.739558,1101353,4,8,2
"16","25",0.674999,693867,4,8,2
"17","26",0.835426,1260055,5,10,3
"18","27",0.812943,982043,5,9,3
"19","28",0.648114,804872,4,7,2
"20","29",0.849293,646414,5,10,3
"21","30",0.589355,1021359,3,6,2
"22","31",0.687466,1107781,4,8,2
"23","32",0.587636,950843,3,6,2
"24","33",0.521318,1065999,3,5,2
"25","34",0.631065,795441,4,7,2
"26","35",0.518829,902171,3,5,2
"27","36",0.595388,528966,3,6,2
"28","37",0.720228,734685,4,8,2
"29","38",0.612679,1159171,3,6,2
"30","39",0.998608,778603,5,10,3
"31","40",0.286796,979878,1,1,1
"32","41",0.591569,1115806,3,6,2
"33","42",0.650278,1070332,4,7,2
"34","43",0.829142,161816,5,9,3
"35","44",0.708805,1352547,4,8,2
"36","45",0.672426,1648497,4,8,2
"37","46",0.711426,1065345,4,8,2
"38","47",0.748299,1399650,5,9,3
"39","48",0.508693,1310593,3,5,2
"40","49",0.655838,1262196,4,7,2
"41","50",0.416158,1069214,2,3,2
"42","51",0.403155,1066595,2,3,2
"43","52",0.579082,929593,3,5,2
"44","53",0.397579,1245616,2,3,2
"45","54",0.646512,505779,4,7,2
"46","55",0.456043,796477,2,4,2
"47","56",0.654004,843356,4,7,2
"48","57",0.524913,590601,3,5,2
"49","58",0.604,922029,3,6,2
"50","59",0.618957,1129363,4,7,2
"51","60",0.272241,606244,1,1,1
"52","61",0.487643,746629,2,4,2
"53","62",1,141995,5,10,3
"54","63",0.526452,1363418,3,5,2
"55","64",0.463312,937183,2,4,2
"56","65",0.397536,1182203,1,2,1
"57","66",0.787893,1376586,5,9,3
"58","67",0.668484,1166501,4,7,2
"59","68",0.563144,759055,3,5,2
"60","69",0.270616,542352,1,1,1
"61","70",0.102971,807503,1,1,1
"62","71",0.173854,984255,1,1,1
"63","72",0.329899,1039882,1,2,1
"64","73",0.324911,1078927,1,2,1
"65","74",0.383777,1094651,1,2,1
"66","75",0.52842,614261,3,5,2
"67","76",0.355957,1179409,1,2,1
"68","77",0.450865,608955,2,3,2
"69","78",0.481535,746403,2,4,2
"70","79",0.515178,1116607,3,5,2
"71","80",0.057624,706552,1,1,1
"72","81",0,865795,1,1,1
"73","82",0.171213,852887,1,1,1
"74","83",0.425688,874271,2,3,2
"75","84",0.492087,766846,2,4,2
"76","85",0.135206,1176757,1,1,1
"77","86",0.406059,1176319,2,3,2
"78","87",0.458236,516010,2,4,2
"79","88",0.310305,834573,1,2,1
"80","89",0.346191,753040,1,2,1
"81","90",0.455649,879589,2,3,2
"82","91",0.40101,1182403,2,3,2
"83","92",0.588378,631082,3,6,2
"84","93",0.480827,720620,2,4,2
"85","94",0.613361,820373,3,6,2
"86","95",0.635713,609994,4,7,2
"87","96",0.586931,661841,3,6,2
"88","97",0.434577,1054471,2,3,2
"89","98",0.834087,304531,5,9,3
"90","99",0.907027,936158,5,10,3
