"","PLZ2","GISD_Score","Bevölkerung","GISD_5","GISD_10","GISD_k"
"1","10",0.629347,529209,4,7,2
"2","11",0.488936,196805,3,5,2
"3","12",0.660573,1441258,4,8,2
"4","13",0.654721,1269673,4,8,2
"5","14",0.691599,1354289,5,9,3
"6","15",0.793152,687687,5,9,3
"7","16",0.849957,716460,5,10,3
"8","17",0.920544,746037,5,10,3
"9","18",0.874874,734118,5,10,3
"10","19",0.858851,544417,5,10,3
"11","20",0.346481,124377,1,2,1
"12","21",0.455077,1597504,2,4,2
"13","22",0.356166,1108846,1,2,1
"14","23",0.763781,730293,5,9,3
"15","24",0.692682,1101353,5,9,3
"16","25",0.651243,693867,4,8,2
"17","26",0.794723,1260055,5,9,3
"18","27",0.755234,982043,5,9,3
"19","28",0.578901,804872,3,6,2
"20","29",0.802478,646414,5,9,3
"21","30",0.5569,1021359,3,6,2
"22","31",0.653623,1107781,4,8,2
"23","32",0.569505,950843,3,6,2
"24","33",0.483703,1065999,2,4,2
"25","34",0.586809,795441,4,7,2
"26","35",0.462786,902171,2,4,2
"27","36",0.53507,528966,3,5,2
"28","37",0.672025,734685,4,8,2
"29","38",0.586094,1159171,3,6,2
"30","39",0.996129,778603,5,10,3
"31","40",0.267634,979878,1,1,1
"32","41",0.569425,1115806,3,6,2
"33","42",0.590728,1070332,4,7,2
"34","43",0.803713,161816,5,10,3
"35","44",0.645701,1352547,4,8,2
"36","45",0.609979,1648497,4,7,2
"37","46",0.676452,1065345,4,8,2
"38","47",0.686959,1399650,5,9,3
"39","48",0.521282,1310593,3,5,2
"40","49",0.654892,1262196,4,8,2
"41","50",0.393745,1069214,2,3,2
"42","51",0.378287,1066595,1,2,1
"43","52",0.540801,929593,3,6,2
"44","53",0.404934,1245616,2,3,2
"45","54",0.659667,505779,4,8,2
"46","55",0.435111,796477,2,3,2
"47","56",0.633592,843356,4,7,2
"48","57",0.537603,590601,3,5,2
"49","58",0.568117,922029,3,6,2
"50","59",0.604201,1129363,4,7,2
"51","60",0.202139,606244,1,1,1
"52","61",0.468034,746629,2,4,2
"53","62",1,141995,5,10,3
"54","63",0.477817,1363418,2,4,2
"55","64",0.427197,937183,2,3,2
"56","65",0.351432,1182203,1,2,1
"57","66",0.715231,1376586,5,9,3
"58","67",0.63543,1166501,4,7,2
"59","68",0.505352,759055,3,5,2
"60","69",0.263667,542352,1,1,1
"61","70",0.112172,807503,1,1,1
"62","71",0.175986,984255,1,1,1
"63","72",0.340956,1039882,1,2,1
"64","73",0.324688,1078927,1,2,1
"65","74",0.418179,1094651,2,3,2
"66","75",0.504357,614261,3,5,2
"67","76",0.361692,1179409,1,2,1
"68","77",0.441214,608955,2,3,2
"69","78",0.481315,746403,2,4,2
"70","79",0.490463,1116607,3,5,2
"71","80",0.050434,706552,1,1,1
"72","81",0,865795,1,1,1
"73","82",0.221084,852887,1,1,1
"74","83",0.463543,874271,2,4,2
"75","84",0.519828,766846,3,5,2
"76","85",0.202915,1176757,1,1,1
"77","86",0.432452,1176319,2,3,2
"78","87",0.466777,516010,2,4,2
"79","88",0.36252,834573,1,2,1
"80","89",0.360612,753040,1,2,1
"81","90",0.433996,879589,2,3,2
"82","91",0.416344,1182403,2,3,2
"83","92",0.582442,631082,3,6,2
"84","93",0.504518,720620,3,5,2
"85","94",0.630625,820373,4,7,2
"86","95",0.625073,609994,4,7,2
"87","96",0.573306,661841,3,6,2
"88","97",0.457059,1054471,2,4,2
"89","98",0.813879,304531,5,10,3
"90","99",0.876939,936158,5,10,3
