"","PLZ2","GISD_Score","Bevölkerung","GISD_5","GISD_10","GISD_k"
"1","10",0.71598,529209,4,7,2
"2","11",0.531453,196805,2,4,2
"3","12",0.756464,1441258,4,8,2
"4","13",0.749224,1269673,4,8,2
"5","14",0.757574,1354289,4,8,2
"6","15",0.860895,687687,5,10,3
"7","16",0.908188,716460,5,10,3
"8","17",0.993911,746037,5,10,3
"9","18",0.92413,734118,5,10,3
"10","19",0.949409,544417,5,10,3
"11","20",0.359812,124377,1,2,1
"12","21",0.494126,1597504,2,4,2
"13","22",0.384727,1108846,1,2,1
"14","23",0.835091,730293,5,9,3
"15","24",0.801283,1101353,5,9,3
"16","25",0.735512,693867,4,7,2
"17","26",0.886936,1260055,5,10,3
"18","27",0.83868,982043,5,9,3
"19","28",0.624012,804872,3,6,2
"20","29",0.86752,646414,5,10,3
"21","30",0.643213,1021359,3,6,2
"22","31",0.746609,1107781,4,8,2
"23","32",0.664694,950843,3,6,2
"24","33",0.571424,1065999,3,5,2
"25","34",0.63748,795441,3,6,2
"26","35",0.562484,902171,3,5,2
"27","36",0.612774,528966,3,6,2
"28","37",0.742937,734685,4,8,2
"29","38",0.637428,1159171,3,6,2
"30","39",0.975091,778603,5,10,3
"31","40",0.339601,979878,1,1,1
"32","41",0.674393,1115806,4,7,2
"33","42",0.715866,1070332,4,7,2
"34","43",0.85625,161816,5,9,3
"35","44",0.770132,1352547,4,8,2
"36","45",0.7523,1648497,4,8,2
"37","46",0.789688,1065345,5,9,3
"38","47",0.813863,1399650,5,9,3
"39","48",0.596492,1310593,3,5,2
"40","49",0.735831,1262196,4,8,2
"41","50",0.501867,1069214,2,4,2
"42","51",0.483752,1066595,2,3,2
"43","52",0.669142,929593,3,6,2
"44","53",0.522254,1245616,2,4,2
"45","54",0.748605,505779,4,8,2
"46","55",0.485351,796477,2,3,2
"47","56",0.709481,843356,4,7,2
"48","57",0.586277,590601,3,5,2
"49","58",0.666214,922029,3,6,2
"50","59",0.700616,1129363,4,7,2
"51","60",0.217571,606244,1,1,1
"52","61",0.490366,746629,2,3,2
"53","62",1,141995,5,10,3
"54","63",0.537953,1363418,3,5,2
"55","64",0.492387,937183,2,3,2
"56","65",0.400094,1182203,1,2,1
"57","66",0.790712,1376586,5,9,3
"58","67",0.687084,1166501,4,7,2
"59","68",0.547607,759055,3,5,2
"60","69",0.288877,542352,1,1,1
"61","70",0.092719,807503,1,1,1
"62","71",0.198292,984255,1,1,1
"63","72",0.380332,1039882,1,2,1
"64","73",0.358892,1078927,1,2,1
"65","74",0.426775,1094651,1,2,1
"66","75",0.566785,614261,3,5,2
"67","76",0.391613,1179409,1,2,1
"68","77",0.47189,608955,2,3,2
"69","78",0.504876,746403,2,4,2
"70","79",0.549039,1116607,3,5,2
"71","80",0.05115,706552,1,1,1
"72","81",0,865795,1,1,1
"73","82",0.212391,852887,1,1,1
"74","83",0.479772,874271,2,3,2
"75","84",0.527438,766846,2,4,2
"76","85",0.184404,1176757,1,1,1
"77","86",0.458723,1176319,2,3,2
"78","87",0.504709,516010,2,4,2
"79","88",0.388301,834573,1,2,1
"80","89",0.381433,753040,1,2,1
"81","90",0.455404,879589,2,3,2
"82","91",0.441145,1182403,2,3,2
"83","92",0.629721,631082,3,6,2
"84","93",0.501312,720620,2,4,2
"85","94",0.675886,820373,4,7,2
"86","95",0.67016,609994,4,7,2
"87","96",0.600963,661841,3,5,2
"88","97",0.512797,1054471,2,4,2
"89","98",0.807091,304531,5,9,3
"90","99",0.85042,936158,5,9,3
