"","PLZ2","GISD_Score","Bevölkerung","GISD_5","GISD_10","GISD_k"
"1","10",0.645686,529209,3,6,2
"2","11",0.519694,196805,2,4,2
"3","12",0.673838,1441258,4,7,2
"4","13",0.668429,1269673,4,7,2
"5","14",0.692692,1354289,4,7,2
"6","15",0.816998,687687,5,9,3
"7","16",0.85454,716460,5,10,3
"8","17",1,746037,5,10,3
"9","18",0.931519,734118,5,10,3
"10","19",0.948725,544417,5,10,3
"11","20",0.281734,124377,1,1,1
"12","21",0.442476,1597504,2,3,2
"13","22",0.327047,1108846,1,2,1
"14","23",0.834747,730293,5,9,3
"15","24",0.800034,1101353,5,9,3
"16","25",0.736535,693867,4,8,2
"17","26",0.843215,1260055,5,9,3
"18","27",0.822944,982043,5,9,3
"19","28",0.661776,804872,3,6,2
"20","29",0.854752,646414,5,10,3
"21","30",0.591023,1021359,3,5,2
"22","31",0.72132,1107781,4,8,2
"23","32",0.679993,950843,4,7,2
"24","33",0.609423,1065999,3,5,2
"25","34",0.63656,795441,3,6,2
"26","35",0.566856,902171,3,5,2
"27","36",0.613701,528966,3,6,2
"28","37",0.715944,734685,4,8,2
"29","38",0.600747,1159171,3,5,2
"30","39",0.95922,778603,5,10,3
"31","40",0.312041,979878,1,2,1
"32","41",0.686725,1115806,4,7,2
"33","42",0.709011,1070332,4,7,2
"34","43",0.866756,161816,5,10,3
"35","44",0.780936,1352547,5,9,3
"36","45",0.760907,1648497,4,8,2
"37","46",0.781478,1065345,5,9,3
"38","47",0.809561,1399650,5,9,3
"39","48",0.611257,1310593,3,6,2
"40","49",0.729132,1262196,4,8,2
"41","50",0.484274,1069214,2,4,2
"42","51",0.479027,1066595,2,3,2
"43","52",0.656164,929593,3,6,2
"44","53",0.483698,1245616,2,3,2
"45","54",0.77324,505779,4,8,2
"46","55",0.470485,796477,2,3,2
"47","56",0.725607,843356,4,8,2
"48","57",0.613512,590601,3,6,2
"49","58",0.66776,922029,4,7,2
"50","59",0.718408,1129363,4,8,2
"51","60",0.218218,606244,1,1,1
"52","61",0.482914,746629,2,3,2
"53","62",0.977032,141995,5,10,3
"54","63",0.543366,1363418,3,5,2
"55","64",0.482079,937183,2,3,2
"56","65",0.418552,1182203,1,2,1
"57","66",0.766698,1376586,4,8,2
"58","67",0.682141,1166501,4,7,2
"59","68",0.53195,759055,3,5,2
"60","69",0.294223,542352,1,1,1
"61","70",0.117948,807503,1,1,1
"62","71",0.220188,984255,1,1,1
"63","72",0.40697,1039882,1,2,1
"64","73",0.390773,1078927,1,2,1
"65","74",0.422625,1094651,1,2,1
"66","75",0.567917,614261,3,5,2
"67","76",0.40028,1179409,1,2,1
"68","77",0.500972,608955,2,4,2
"69","78",0.523603,746403,2,4,2
"70","79",0.543379,1116607,3,5,2
"71","80",0.049296,706552,1,1,1
"72","81",0,865795,1,1,1
"73","82",0.212725,852887,1,1,1
"74","83",0.494936,874271,2,4,2
"75","84",0.52907,766846,2,4,2
"76","85",0.177715,1176757,1,1,1
"77","86",0.462195,1176319,2,3,2
"78","87",0.515276,516010,2,4,2
"79","88",0.398812,834573,1,2,1
"80","89",0.409,753040,1,2,1
"81","90",0.423784,879589,2,3,2
"82","91",0.453678,1182403,2,3,2
"83","92",0.628215,631082,3,6,2
"84","93",0.508562,720620,2,4,2
"85","94",0.663803,820373,3,6,2
"86","95",0.674421,609994,4,7,2
"87","96",0.607954,661841,3,5,2
"88","97",0.502811,1054471,2,4,2
"89","98",0.816726,304531,5,9,3
"90","99",0.852257,936158,5,10,3
