"","PLZ2","GISD_Score","Bevölkerung","GISD_5","GISD_10","GISD_k"
"1","10",0.579105,529209,4,7,2
"2","11",0.479678,196805,3,5,2
"3","12",0.60108,1441258,4,8,2
"4","13",0.597117,1269673,4,8,2
"5","14",0.629452,1354289,5,9,3
"6","15",0.739532,687687,5,9,3
"7","16",0.79191,716460,5,10,3
"8","17",0.898652,746037,5,10,3
"9","18",0.846768,734118,5,10,3
"10","19",0.840144,544417,5,10,3
"11","20",0.308302,124377,1,2,1
"12","21",0.404544,1597504,2,4,2
"13","22",0.315584,1108846,1,2,1
"14","23",0.719104,730293,5,9,3
"15","24",0.637217,1101353,5,9,3
"16","25",0.603576,693867,4,8,2
"17","26",0.734927,1260055,5,9,3
"18","27",0.699363,982043,5,9,3
"19","28",0.540935,804872,3,6,2
"20","29",0.751998,646414,5,10,3
"21","30",0.505629,1021359,3,6,2
"22","31",0.609153,1107781,4,8,2
"23","32",0.502265,950843,3,6,2
"24","33",0.434594,1065999,2,4,2
"25","34",0.543484,795441,4,7,2
"26","35",0.431137,902171,2,4,2
"27","36",0.523928,528966,3,6,2
"28","37",0.634399,734685,5,9,3
"29","38",0.550077,1159171,4,7,2
"30","39",1,778603,5,10,3
"31","40",0.227429,979878,1,1,1
"32","41",0.513985,1115806,3,6,2
"33","42",0.539596,1070332,3,6,2
"34","43",0.751357,161816,5,9,3
"35","44",0.587886,1352547,4,7,2
"36","45",0.564557,1648497,4,7,2
"37","46",0.620272,1065345,4,8,2
"38","47",0.624868,1399650,4,8,2
"39","48",0.462621,1310593,3,5,2
"40","49",0.588981,1262196,4,8,2
"41","50",0.333077,1069214,2,3,2
"42","51",0.311656,1066595,1,2,1
"43","52",0.494046,929593,3,5,2
"44","53",0.341508,1245616,2,3,2
"45","54",0.599247,505779,4,8,2
"46","55",0.390443,796477,2,3,2
"47","56",0.575261,843356,4,7,2
"48","57",0.480184,590601,3,5,2
"49","58",0.509248,922029,3,6,2
"50","59",0.535281,1129363,3,6,2
"51","60",0.181019,606244,1,1,1
"52","61",0.445455,746629,3,5,2
"53","62",0.988886,141995,5,10,3
"54","63",0.431767,1363418,2,4,2
"55","64",0.401236,937183,2,3,2
"56","65",0.311201,1182203,1,2,1
"57","66",0.696442,1376586,5,9,3
"58","67",0.61002,1166501,4,8,2
"59","68",0.493728,759055,3,5,2
"60","69",0.239842,542352,1,1,1
"61","70",0.0803,807503,1,1,1
"62","71",0.127524,984255,1,1,1
"63","72",0.290314,1039882,1,2,1
"64","73",0.282052,1078927,1,2,1
"65","74",0.3749,1094651,2,3,2
"66","75",0.44255,614261,2,4,2
"67","76",0.307112,1179409,1,2,1
"68","77",0.402122,608955,2,3,2
"69","78",0.419485,746403,2,4,2
"70","79",0.452152,1116607,3,5,2
"71","80",0.047298,706552,1,1,1
"72","81",0,865795,1,1,1
"73","82",0.194641,852887,1,1,1
"74","83",0.428637,874271,2,4,2
"75","84",0.47172,766846,3,5,2
"76","85",0.174351,1176757,1,1,1
"77","86",0.384026,1176319,2,3,2
"78","87",0.428167,516010,2,4,2
"79","88",0.310762,834573,1,2,1
"80","89",0.319953,753040,1,2,1
"81","90",0.396819,879589,2,3,2
"82","91",0.370122,1182403,2,3,2
"83","92",0.543954,631082,4,7,2
"84","93",0.476675,720620,3,5,2
"85","94",0.561252,820373,4,7,2
"86","95",0.572341,609994,4,7,2
"87","96",0.508487,661841,3,6,2
"88","97",0.409556,1054471,2,4,2
"89","98",0.786265,304531,5,10,3
"90","99",0.820204,936158,5,10,3
