"","PLZ2","GISD_Score","Bevölkerung","GISD_5","GISD_10","GISD_k"
"1","10",0.724239,529209,4,8,2
"2","11",0.464595,196805,2,4,2
"3","12",0.779317,1441258,5,9,3
"4","13",0.770904,1269673,5,9,3
"5","14",0.71749,1354289,4,8,2
"6","15",0.767501,687687,5,9,3
"7","16",0.846373,716460,5,10,3
"8","17",0.914525,746037,5,10,3
"9","18",0.874251,734118,5,10,3
"10","19",0.874992,544417,5,10,3
"11","20",0.352939,124377,1,2,1
"12","21",0.440508,1597504,2,4,2
"13","22",0.36488,1108846,1,2,1
"14","23",0.796943,730293,5,9,3
"15","24",0.759549,1101353,5,9,3
"16","25",0.66343,693867,4,8,2
"17","26",0.83539,1260055,5,9,3
"18","27",0.810638,982043,5,9,3
"19","28",0.662594,804872,4,8,2
"20","29",0.850527,646414,5,10,3
"21","30",0.577958,1021359,3,6,2
"22","31",0.698299,1107781,4,8,2
"23","32",0.568386,950843,3,6,2
"24","33",0.499025,1065999,3,5,2
"25","34",0.622836,795441,4,7,2
"26","35",0.50448,902171,3,5,2
"27","36",0.56272,528966,3,6,2
"28","37",0.699987,734685,4,8,2
"29","38",0.631494,1159171,4,7,2
"30","39",0.974186,778603,5,10,3
"31","40",0.261202,979878,1,1,1
"32","41",0.584576,1115806,3,6,2
"33","42",0.64258,1070332,4,7,2
"34","43",0.817921,161816,5,9,3
"35","44",0.704655,1352547,4,8,2
"36","45",0.657004,1648497,4,7,2
"37","46",0.695563,1065345,4,8,2
"38","47",0.750673,1399650,4,8,2
"39","48",0.466923,1310593,3,5,2
"40","49",0.655221,1262196,4,7,2
"41","50",0.405667,1069214,2,3,2
"42","51",0.386508,1066595,2,3,2
"43","52",0.5771,929593,3,6,2
"44","53",0.371491,1245616,2,3,2
"45","54",0.625534,505779,4,7,2
"46","55",0.435831,796477,2,3,2
"47","56",0.63872,843356,4,7,2
"48","57",0.500396,590601,3,5,2
"49","58",0.604983,922029,3,6,2
"50","59",0.588018,1129363,3,6,2
"51","60",0.225743,606244,1,1,1
"52","61",0.441961,746629,2,4,2
"53","62",1,141995,5,10,3
"54","63",0.494973,1363418,3,5,2
"55","64",0.410347,937183,2,3,2
"56","65",0.358583,1182203,1,2,1
"57","66",0.783304,1376586,5,9,3
"58","67",0.66133,1166501,4,7,2
"59","68",0.52647,759055,3,5,2
"60","69",0.238297,542352,1,1,1
"61","70",0.083961,807503,1,1,1
"62","71",0.136244,984255,1,1,1
"63","72",0.306915,1039882,1,2,1
"64","73",0.305974,1078927,1,2,1
"65","74",0.3594,1094651,1,2,1
"66","75",0.523839,614261,3,5,2
"67","76",0.3289,1179409,1,2,1
"68","77",0.422083,608955,2,3,2
"69","78",0.46559,746403,2,4,2
"70","79",0.47836,1116607,3,5,2
"71","80",0.051383,706552,1,1,1
"72","81",0,865795,1,1,1
"73","82",0.131747,852887,1,1,1
"74","83",0.385553,874271,2,3,2
"75","84",0.445008,766846,2,4,2
"76","85",0.097848,1176757,1,1,1
"77","86",0.406059,1176319,2,3,2
"78","87",0.442345,516010,2,4,2
"79","88",0.302625,834573,1,2,1
"80","89",0.331604,753040,1,2,1
"81","90",0.453043,879589,2,4,2
"82","91",0.37515,1182403,2,3,2
"83","92",0.557613,631082,3,5,2
"84","93",0.452129,720620,2,4,2
"85","94",0.586533,820373,3,6,2
"86","95",0.617438,609994,4,7,2
"87","96",0.559796,661841,3,6,2
"88","97",0.438266,1054471,2,4,2
"89","98",0.846854,304531,5,10,3
"90","99",0.930405,936158,5,10,3
