"","Kreiskennziffer","Name des Kreises","Bevölkerung","GISD_Score","GISD_5","GISD_10","GISD_k"
"1",9161,"Ingolstadt",131002,0.270073,1,1,1
"2",9162,"München, Landeshauptstadt",1429584,0.081553,1,1,1
"3",9163,"Rosenheim",60889,0.430922,3,5,2
"4",9171,"Altötting",107465,0.464004,3,6,2
"5",9172,"Berchtesgadener Land",102976,0.520285,4,8,2
"6",9173,"Bad Tölz-Wolfratshausen",123340,0.31251,1,2,1
"7",9174,"Dachau",146279,0.282604,1,2,1
"8",9175,"Ebersberg",134873,0.145876,1,1,1
"9",9176,"Eichstätt",127189,0.331795,1,2,1
"10",9177,"Erding",131839,0.347226,1,2,1
"11",9178,"Freising",170357,0.278037,1,1,1
"12",9179,"Fürstenfeldbruck",210278,0.203548,1,1,1
"13",9180,"Garmisch-Partenkirchen",85931,0.404911,2,4,2
"14",9181,"Landsberg am Lech",116118,0.333112,1,2,1
"15",9182,"Miesbach",96773,0.302457,1,2,1
"16",9183,"Mühldorf a.Inn",110296,0.54536,5,9,3
"17",9184,"München",332800,0.006505,1,1,1
"18",9185,"Neuburg-Schrobenhausen",93505,0.424637,3,5,2
"19",9186,"Pfaffenhofen a.d.Ilm",121594,0.381529,2,3,2
"20",9187,"Rosenheim",251850,0.402594,2,4,2
"21",9188,"Starnberg",131873,0.044301,1,1,1
"22",9189,"Traunstein",171978,0.451821,3,6,2
"23",9190,"Weilheim-Schongau",131190,0.411629,2,4,2
"24",9261,"Landshut",67509,0.352624,2,3,2
"25",9262,"Passau",49952,0.416598,3,5,2
"26",9263,"Straubing",46027,0.555838,5,10,3
"27",9271,"Deggendorf",115699,0.518793,4,8,2
"28",9272,"Freyung-Grafenau",77927,0.572465,5,10,3
"29",9273,"Kelheim",116495,0.512389,4,8,2
"30",9274,"Landshut",151819,0.415055,2,4,2
"31",9275,"Passau",186284,0.579358,5,10,3
"32",9276,"Regen",76265,0.559872,5,10,3
"33",9277,"Rottal-Inn",118164,0.560064,5,10,3
"34",9278,"Straubing-Bogen",97967,0.520607,5,9,3
"35",9279,"Dingolfing-Landau",93450,0.402333,2,4,2
"36",9361,"Amberg",41535,0.579039,5,10,3
"37",9362,"Regensburg",142292,0.33178,1,2,1
"38",9363,"Weiden i.d.OPf.",41817,0.539931,5,9,3
"39",9371,"Amberg-Sulzbach",103045,0.520308,5,9,3
"40",9372,"Cham",125844,0.548433,5,9,3
"41",9373,"Neumarkt i.d.OPf.",128975,0.483689,4,7,2
"42",9374,"Neustadt a.d.Waldnaab",95184,0.537025,5,9,3
"43",9375,"Regensburg",187205,0.418934,3,5,2
"44",9376,"Schwandorf",143614,0.512766,4,8,2
"45",9377,"Tirschenreuth",73250,0.524622,5,9,3
"46",9461,"Bamberg",71952,0.385853,2,3,2
"47",9462,"Bayreuth",71601,0.465074,3,6,2
"48",9463,"Coburg",41062,0.436405,3,5,2
"49",9464,"Hof",44325,0.654738,5,10,3
"50",9471,"Bamberg",144695,0.466989,3,6,2
"51",9472,"Bayreuth",104615,0.516408,4,8,2
"52",9473,"Coburg",86715,0.454218,3,6,2
"53",9474,"Forchheim",113900,0.348998,1,2,1
"54",9475,"Hof",96608,0.49445,4,7,2
"55",9476,"Kronach",67998,0.501402,4,8,2
"56",9477,"Kulmbach",72541,0.555994,5,10,3
"57",9478,"Lichtenfels",66540,0.530032,5,9,3
"58",9479,"Wunsiedel i.Fichtelgebirge",73403,0.60205,5,10,3
"59",9561,"Ansbach",40010,0.441372,3,5,2
