"";"JAHR";"PLZ3";"GISD_Score";"Bevölkerung";"GISD_5";"GISD_10";"GISD_k"
"125";1998;214;0,32185;159171;3;5;2
"126";1998;215;0,283729;77363;2;4;2
"127";1998;216;0,323175;157726;3;5;2
"128";1998;217;0,388589;108624;3;6;2
"129";1998;220;0,273477;65496;2;4;2
"130";1998;221;0,26222;209658;2;4;2
"131";1998;222;0,273491;14006;2;4;2
"132";1998;223;0,273299;243589;2;4;2
"133";1998;224;0,272894;99305;2;4;2
"134";1998;225;0,273284;157717;2;4;2
"135";1998;226;0,273491;31848;2;4;2
"136";1998;227;0,273491;29261;2;4;2
"137";1998;228;0,155953;141758;1;2;1
"138";1998;229;0,140968;110804;1;2;1
"139";1998;235;0,521562;213696;4;8;2
"140";1998;236;0,399619;95349;3;6;2
"141";1998;237;0,419765;145843;4;7;2
"142";1998;238;0,271508;137424;2;4;2
"143";1998;239;0,762763;142397;5;9;3
"144";1998;241;0,494885;268733;4;8;2
"145";1998;242;0,34869;130023;3;6;2
"146";1998;243;0,414952;98147;4;7;2
"147";1998;244;0,450851;4694;4;7;2
"148";1998;245;0,368638;185108;3;6;2
"149";1998;246;0,309217;63693;3;5;2
"150";1998;247;0,39757;72930;3;6;2
"151";1998;248;0,414488;102328;4;7;2
"152";1998;249;0,535505;170983;4;8;2
"153";1998;253;0,309859;111890;3;5;2
"154";1998;254;0,222573;182992;2;3;2
"155";1998;255;0,393599;116010;3;6;2
"156";1998;256;0,448486;4415;4;7;2
"157";1998;257;0,451861;115474;4;7;2
"158";1998;258;0,442717;110598;4;7;2
"159";1998;259;0,353652;55067;3;6;2
"160";1998;261;0,515772;271800;4;8;2
"161";1998;262;0,40488;54210;4;7;2
"162";1998;263;0,623958;125261;4;8;2
"163";1998;264;0,554451;105418;4;8;2
"164";1998;265;0,58123;76388;4;8;2
"165";1998;266;0,524789;170636;4;8;2
"166";1998;267;0,58874;108629;4;8;2
"167";1998;268;0,561468;176254;4;8;2
"168";1998;269;0,454301;86344;4;7;2
"169";1998;272;0,344682;112053;3;6;2
"170";1998;273;0,34736;145820;3;6;2
"171";1998;274;0,367001;153532;3;6;2
"172";1998;275;0,70491;123586;5;9;3
"173";1998;276;0,404566;104851;4;7;2
"174";1998;277;0,460277;208709;4;7;2
"175";1998;278;0,401857;20423;3;6;2
"176";1998;281;0,530317;71693;4;8;2
"177";1998;282;0,530181;155504;4;8;2
"178";1998;283;0,530157;191876;4;8;2
"179";1998;287;0,505509;145110;4;8;2
"180";1998;288;0,311013;174699;3;5;2
"181";1998;292;0,505682;70027;4;8;2
"182";1998;293;0,489663;146890;4;8;2
