"";"JAHR";"PLZ4";"GISD_Score";"Bevölkerung";"GISD_5";"GISD_10";"GISD_k"
"1";1998;106;0,753364;20221;5;10;3
"2";1998;109;0,753356;102290;5;10;3
"3";1998;110;0,753211;67556;5;10;3
"4";1998;112;0,753219;17550;5;10;3
"5";1998;113;0,751953;13887;5;10;3
"6";1998;115;0,753242;75122;5;10;3
"7";1998;116;0,753228;8090;5;10;3
"8";1998;118;0,753222;17059;5;10;3
"9";1998;121;0,752945;21199;5;10;3
"10";1998;123;0,753144;16458;5;10;3
"11";1998;125;0,753186;30714;5;10;3
"12";1998;127;0,753364;15986;5;10;3
"13";1998;130;0,753364;13820;5;10;3
"14";1998;132;0,753309;101099;5;10;3
"15";1998;144;0,647861;34362;5;9;3
"16";1998;145;0,669133;33394;5;9;3
"17";1998;146;0,710953;29121;5;9;3
"18";1998;147;0,605499;12676;4;8;2
"19";1998;155;0,750052;6105;5;10;3
"20";1998;156;0,686155;28282;5;9;3
"21";1998;158;0,865182;11997;5;10;3
"22";1998;159;0,828128;23788;5;10;3
"23";1998;160;0,749052;11816;5;10;3
"24";1998;161;0,707316;17682;5;9;3
"25";1998;162;0,701449;5089;5;9;3
"26";1998;164;0,656951;20443;5;9;3
"27";1998;166;0,716878;44501;5;9;3
"28";1998;168;0,655849;25374;5;9;3
"29";1998;170;0,733669;39109;5;9;3
"30";1998;172;0,621261;23904;5;9;3
"31";1998;173;0,647948;17058;5;9;3
"32";1998;174;0,676294;14359;5;9;3
"33";1998;176;0,643766;7942;5;9;3
"34";1998;177;0,645772;15897;5;9;3
"35";1998;179;0,739756;42381;5;9;3
"36";1998;180;0,715514;25217;5;9;3
"37";1998;181;0,655722;13886;5;9;3
"38";1998;182;0,693287;9161;5;9;3
"39";1998;183;0,66484;9956;5;9;3
"40";1998;184;0,731926;19062;5;9;3
"41";1998;185;0,731601;9930;5;9;3
"42";1998;187;0,84086;19256;5;10;3
"43";1998;189;0,581288;11473;4;8;2
"44";1998;190;0,653989;23836;5;9;3
"45";1998;191;0,730664;15074;5;9;3
"46";1998;192;0,649722;20399;5;9;3
"47";1998;193;0,648325;11646;5;9;3
"48";1998;194;0,78765;12167;5;10;3
"49";1998;196;0,885794;21113;5;10;3
"50";1998;197;0,895011;15087;5;10;3
"51";1998;198;0,879643;14089;5;10;3
"52";1998;199;0,853888;11722;5;10;3
"53";1998;262;0,733302;50786;5;9;3
"54";1998;263;0,686531;5494;5;9;3
"55";1998;268;0,738097;18367;5;9;3
"56";1998;269;0,691202;22375;5;9;3
"57";1998;270;0,789309;27129;5;10;3
"58";1998;272;0,840743;3349;5;10;3
"59";1998;273;0,801831;20086;5;10;3
"60";1998;274;0,763444;12915;5;10;3
"61";1998;276;0,845111;15583;5;10;3
"62";1998;277;0,820859;5144;5;10;3
"63";1998;278;0,858703;24735;5;10;3
"64";1998;279;0,77198;13768;5;10;3
"65";1998;282;0,830336;64513;5;10;3
"66";1998;289;0,777341;10858;5;10;3
"67";1998;290;0,767664;17239;5;10;3
"68";1998;292;0,729766;10444;5;9;3
"69";1998;294;0,834309;21466;5;10;3
"70";1998;295;0,776485;17410;5;10;3
"71";1998;297;0,799733;39434;5;10;3
"72";1998;299;0,780729;26176;5;10;3
"73";1998;304;0,830008;32276;5;10;3
"74";1998;305;0,820857;71921;5;10;3
"75";1998;309;0,69151;18423;5;9;3
"76";1998;310;0,831029;1836;5;10;3
"77";1998;311;0,823729;9383;5;10;3
"78";1998;313;0,774328;26415;5;10;3
"79";1998;314;0,82662;21391;5;10;3
"80";1998;315;0,770516;4942;5;10;3
"81";1998;317;0,822072;21489;5;10;3
"82";1998;318;0,716475;9728;5;9;3
"83";1998;319;0,7124;1333;5;9;3
"84";1998;320;0,781967;8410;5;10;3
"85";1998;322;0,830268;27893;5;10;3
"86";1998;323;0,907962;23495;5;10;3
"87";1998;324;0,812602;5174;5;10;3
"88";1998;325;0,870851;11471;5;10;3
"89";1998;410;0,797848;25028;5;10;3
"90";1998;412;0,797848;8619;5;10;3
"91";1998;415;0,797828;99771;5;10;3
"92";1998;417;0,797795;49157;5;10;3
"93";1998;420;0,797583;32544;5;10;3
"94";1998;422;0,797848;11031;5;10;3
"95";1998;424;0,797628;70450;5;10;3
"96";1998;427;0,79739;31493;5;10;3
"97";1998;428;0,797689;52563;5;10;3
"98";1998;429;0,797848;8542;5;10;3
"99";1998;431;0,797701;64430;5;10;3
"100";1998;432;0,796975;14130;5;10;3
"101";1998;434;0,797803;40249;5;10;3
"102";1998;435;0,797798;47508;5;10;3
"103";1998;441;0,648921;24718;5;9;3
"104";1998;442;0,660757;30775;5;9;3
"105";1998;443;0,668693;19626;5;9;3
"106";1998;444;0,658473;9009;5;9;3
"107";1998;445;0,535522;8409;4;8;2
"108";1998;446;0,603631;5566;4;8;2
"109";1998;450;0,71499;39063;5;9;3
"110";1998;451;0,742158;5206;5;9;3
"111";1998;452;0,700994;7641;5;9;3
"112";1998;453;0,713406;7662;5;9;3
"113";1998;455;0,752825;19199;5;10;3
"114";1998;456;0,71229;16271;5;9;3
"115";1998;457;0,716907;12873;5;9;3
"116";1998;460;0,799847;41323;5;10;3
"117";1998;461;0,769451;27903;5;10;3
"118";1998;462;0,721069;18125;5;9;3
"119";1998;463;0,754773;5210;5;10;3
"120";1998;464;0,707982;7066;5;9;3
"121";1998;465;0,69688;21098;5;9;3
"122";1998;466;0,708973;33240;5;9;3
"123";1998;468;0,690244;24756;5;9;3
"124";1998;470;0,792637;8375;5;10;3
"125";1998;472;0,776347;28173;5;10;3
"126";1998;473;0,827706;9033;5;10;3
"127";1998;474;0,807695;18512;5;10;3
"128";1998;475;0,729658;20895;5;9;3
"129";1998;476;0,755795;7645;5;10;3
"130";1998;477;0,708067;9677;5;9;3
"131";1998;480;0,698121;25935;5;9;3
"132";1998;482;0,648741;20923;5;9;3
"133";1998;483;0,746072;26573;5;10;3
"134";1998;484;0,741204;10529;5;9;3
"135";1998;486;0,779211;26954;5;10;3
"136";1998;487;0,750884;4155;5;10;3
"137";1998;488;0,766988;15550;5;10;3
"138";1998;489;0,83586;9456;5;10;3
"139";1998;491;0,832393;20508;5;10;3
"140";1998;492;0,814764;12850;5;10;3
"141";1998;493;0,815507;21781;5;10;3
"142";1998;610;1;6503;5;10;3
"143";1998;611;0,999816;104185;5;10;3
"144";1998;612;0,999718;82560;5;10;3
"145";1998;613;0,999887;40483;5;10;3
"146";1998;617;0,668722;13692;5;9;3
"147";1998;618;0,674005;24932;5;9;3
"148";1998;619;0,691565;31781;5;9;3
"149";1998;621;0,765787;33566;5;10;3
"150";1998;623;0,718176;25595;5;9;3
"151";1998;624;0,76093;21213;5;10;3
"152";1998;625;0,718747;15229;5;9;3
"153";1998;626;0,791583;19390;5;10;3
"154";1998;627;0,761624;2649;5;10;3
"155";1998;629;0,868408;24920;5;10;3
"156";1998;630;0,840459;4464;5;10;3
"157";1998;631;0,835873;17369;5;10;3
"158";1998;633;0,89321;14813;5;10;3
"159";1998;634;0,833714;17094;5;10;3
"160";1998;636;0,858129;30691;5;10;3
"161";1998;638;0,833475;26330;5;10;3
"162";1998;640;0,879914;34738;5;10;3
"163";1998;642;0,872237;19133;5;10;3
"164";1998;644;0,916159;30961;5;10;3
"165";1998;645;0,811614;9788;5;10;3
"166";1998;646;0,853342;9206;5;10;3
"167";1998;648;0,87627;25955;5;10;3
"168";1998;649;0,843895;17249;5;10;3
"169";1998;650;0,845036;18500;5;10;3
"170";1998;652;0,877714;33276;5;10;3
"171";1998;653;0,830349;14985;5;10;3
"172";1998;654;0,839615;10024;5;10;3
"173";1998;655;0,81181;12356;5;10;3
"174";1998;656;0,796678;8745;5;10;3
"175";1998;657;0,796429;15525;5;10;3
"176";1998;661;0,847064;26839;5;10;3
"177";1998;662;0,856447;12145;5;10;3
"178";1998;663;0,80203;13484;5;10;3
"179";1998;664;0,812124;14127;5;10;3
"180";1998;666;0,85161;33204;5;10;3
"181";1998;667;0,820133;9837;5;10;3
"182";1998;668;0,827014;26037;5;10;3
"183";1998;669;0,237763;24;2;3;2
"184";1998;671;0,921091;34340;5;10;3
"185";1998;672;0,83369;16034;5;10;3
"186";1998;674;0,893897;12583;5;10;3
"187";1998;676;0,893658;17141;5;10;3
"188";1998;677;0,808874;31868;5;10;3
"189";1998;678;0,806633;18592;5;10;3
"190";1998;679;0,807457;10317;5;10;3
"191";1998;680;0,859328;16436;5;10;3
"192";1998;684;0,87298;49943;5;10;3
"193";1998;686;0,857686;44710;5;10;3
"194";1998;688;0,830266;46333;5;10;3
"195";1998;689;0,815431;9278;5;10;3
"196";1998;690;0,795012;18528;5;10;3
