"","Gemeindekennziffer","Name der Gemeinde","Bevölkerung","GISD_Score","GISD_5","GISD_10","GISD_k"
"1",6411000,"Darmstadt, Wissenschaftsstadt",151879,0.2731,1,1,1
"2",6412000,"Frankfurt am Main, Stadt",717624,0.348972,1,1,1
"3",6413000,"Offenbach am Main, Stadt",120988,0.762359,5,10,3
"4",6414000,"Wiesbaden, Landeshauptstadt",275116,0.505566,2,4,2
"5",6431001,"Abtsteinach",2370,0.444688,1,2,1
"6",6431002,"Bensheim, Stadt",39551,0.480269,2,3,2
"7",6431003,"Biblis",8850,0.456446,1,2,1
"8",6431004,"Birkenau",9946,0.472125,2,3,2
"9",6431005,"Bürstadt, Stadt",15802,0.472876,2,3,2
"10",6431006,"Einhausen",6232,0.448561,1,2,1
"11",6431007,"Fürth",10401,0.492699,2,3,2
"12",6431008,"Gorxheimertal",4049,0.457035,1,2,1
"13",6431009,"Grasellenbach",3932,0.509946,2,4,2
"14",6431010,"Groß-Rohrheim",3773,0.458448,1,2,1
"15",6431011,"Heppenheim (Bergstraße), Kreisstadt",25001,0.487506,2,3,2
"16",6431012,"Hirschhorn (Neckar), Stadt",3452,0.505597,2,4,2
"17",6431013,"Lampertheim, Stadt",31851,0.478799,2,3,2
"18",6431014,"Lautertal (Odenwald)",7193,0.469063,2,3,2
"19",6431015,"Lindenfels, Stadt",5050,0.492457,2,3,2
"20",6431016,"Lorsch, Karolingerstadt",13413,0.466167,1,2,1
"21",6431017,"Mörlenbach",9885,0.484851,2,3,2
"22",6431018,"Neckarsteinach, Stadt",3870,0.482862,2,3,2
"23",6431019,"Rimbach",8478,0.487651,2,3,2
"24",6431020,"Viernheim, Stadt",33276,0.494332,2,3,2
"25",6431021,"Wald-Michelbach",10569,0.511288,2,4,2
"26",6431022,"Zwingenberg, Stadt",6878,0.447321,1,2,1
"27",6432001,"Alsbach-Hähnlein",9203,0.454041,1,2,1
"28",6432002,"Babenhausen, Stadt",15716,0.482236,2,3,2
"29",6432003,"Bickenbach",5650,0.43318,1,2,1
"30",6432004,"Dieburg, Stadt",15192,0.491607,2,3,2
"31",6432005,"Eppertshausen",6137,0.471465,2,3,2
"32",6432006,"Erzhausen",7735,0.425761,1,2,1
"33",6432007,"Fischbachtal",2590,0.483045,2,3,2
"34",6432008,"Griesheim, Stadt",26483,0.446318,1,2,1
"35",6432009,"Groß-Bieberau, Stadt",4665,0.466319,1,2,1
"36",6432010,"Groß-Umstadt, Stadt",20613,0.477448,2,3,2
"37",6432011,"Groß-Zimmern",13892,0.49288,2,3,2
"38",6432012,"Messel",3843,0.435821,1,2,1
"39",6432013,"Modautal",5034,0.466182,1,2,1
"40",6432014,"Mühltal",13433,0.44676,1,2,1
"41",6432015,"Münster",14069,0.481837,2,3,2
"42",6432016,"Ober-Ramstadt, Stadt",14848,0.475241,2,3,2
"43",6432017,"Otzberg",6342,0.454756,1,2,1
"44",6432018,"Pfungstadt, Stadt",24281,0.473407,2,3,2
"45",6432019,"Reinheim, Stadt",16246,0.482374,2,3,2
"46",6432020,"Roßdorf",12152,0.449172,1,2,1
"47",6432021,"Schaafheim",9119,0.480204,2,3,2
"48",6432022,"Seeheim-Jugenheim",15961,0.436108,1,2,1
"49",6432023,"Weiterstadt, Stadt",24762,0.442241,1,2,1
"50",6433001,"Biebesheim am Rhein",6339,0.476863,2,3,2
"51",6433002,"Bischofsheim",12883,0.469171,2,3,2
"52",6433003,"Büttelborn",14199,0.435123,1,2,1
"53",6433004,"Gernsheim, Schöfferstadt",9923,0.4802,2,3,2
"54",6433005,"Ginsheim-Gustavsburg, Stadt",16026,0.456756,1,2,1
"55",6433006,"Groß-Gerau, Stadt",24311,0.470352,2,3,2
"56",6433007,"Kelsterbach, Stadt",14981,0.458508,1,2,1
"57",6433008,"Mörfelden-Walldorf, Stadt",33159,0.47103,2,3,2
"58",6433009,"Nauheim",10282,0.440386,1,2,1
"59",6433010,"Raunheim, Stadt",15270,0.503786,2,4,2
"60",6433011,"Riedstadt, Stadt",22530,0.455019,1,2,1
"61",6433012,"Rüsselsheim, Stadt",61967,0.503394,2,4,2
"62",6433013,"Stockstadt am Rhein",5853,0.4777,2,3,2
"63",6433014,"Trebur",13070,0.42421,1,2,1
"64",6434001,"Bad Homburg v. d. Höhe, Stadt",52752,0.169549,1,1,1
"65",6434002,"Friedrichsdorf, Stadt",24808,0.172137,1,1,1
"66",6434003,"Glashütten",5380,0.144286,1,1,1
"67",6434004,"Grävenwiesbach",5228,0.210787,1,1,1
"68",6434005,"Königstein im Taunus, Stadt",16115,0.155584,1,1,1
"69",6434006,"Kronberg im Taunus, Stadt",18170,0.14077,1,1,1
"70",6434007,"Neu-Anspach, Stadt",14505,0.163845,1,1,1
"71",6434008,"Oberursel (Taunus), Stadt",45248,0.163478,1,1,1
"72",6434009,"Schmitten",8924,0.166435,1,1,1
"73",6434010,"Steinbach (Taunus), Stadt",10357,0.202793,1,1,1
"74",6434011,"Usingen, Stadt",13817,0.205514,1,1,1
"75",6434012,"Wehrheim",9256,0.167094,1,1,1
"76",6434013,"Weilrod",6238,0.179158,1,1,1
"77",6435001,"Bad Orb, Stadt",9531,0.599988,4,8,2
"78",6435002,"Bad Soden-Salmünster, Stadt",13407,0.574675,4,7,2
"79",6435003,"Biebergemünd",8283,0.532093,3,5,2
"80",6435004,"Birstein",6242,0.547795,3,6,2
"81",6435005,"Brachttal",5101,0.540741,3,5,2
"82",6435006,"Bruchköbel, Stadt",20231,0.504971,2,4,2
"83",6435007,"Erlensee, Stadt",13749,0.564638,4,7,2
"84",6435008,"Flörsbachtal",2360,0.564955,4,7,2
"85",6435009,"Freigericht",14219,0.509736,2,4,2
"86",6435010,"Gelnhausen, Barbarossast., Krst.",22265,0.533,3,5,2
"87",6435011,"Großkrotzenburg",7505,0.517694,2,4,2
"88",6435012,"Gründau",14470,0.52628,3,5,2
"89",6435013,"Hammersbach",4745,0.520397,2,4,2
"90",6435014,"Hanau, Brüder-Grimm-Stadt",90934,0.591675,4,8,2
"91",6435015,"Hasselroth",7241,0.516071,2,4,2
"92",6435016,"Jossgrund",3486,0.549469,3,6,2
"93",6435017,"Langenselbold, Stadt",13643,0.523144,3,5,2
"94",6435018,"Linsengericht",9914,0.518027,2,4,2
"95",6435019,"Maintal, Stadt",37680,0.539083,3,5,2
"96",6435020,"Neuberg",5227,0.508135,2,4,2
"97",6435021,"Nidderau, Stadt",19924,0.496809,2,3,2
"98",6435022,"Niederdorfelden",3821,0.515292,2,4,2
"99",6435023,"Rodenbach",11138,0.517188,2,4,2
"100",6435024,"Ronneburg",3388,0.494214,2,3,2
"101",6435025,"Schlüchtern, Stadt",15946,0.584811,4,7,2
"102",6435026,"Schöneck",11668,0.499785,2,3,2
"103",6435027,"Sinntal",8904,0.558576,3,6,2
"104",6435028,"Steinau an der Straße, Brüder-Grimm-Stadt",10336,0.567535,4,7,2
"105",6435029,"Wächtersbach, Stadt",12261,0.56257,3,6,2
"106",6436001,"Bad Soden am Taunus, Stadt",21772,0.165488,1,1,1
"107",6436002,"Eppstein, Stadt",13361,0.188114,1,1,1
"108",6436003,"Eschborn, Stadt",21009,0.184606,1,1,1
"109",6436004,"Flörsheim am Main, Stadt",20363,0.206674,1,1,1
"110",6436005,"Hattersheim am Main, Stadt",26379,0.239582,1,1,1
"111",6436006,"Hochheim am Main, Stadt",16856,0.200276,1,1,1
"112",6436007,"Hofheim am Taunus, Kreisstadt",38598,0.194004,1,1,1
"113",6436008,"Kelkheim (Taunus), Stadt",28333,0.191281,1,1,1
