"","Kreiskennziffer","Name des Kreises","Bevˆlkerung","GISD_Score","GISD_5","GISD_10","GISD_k"
"1",6411,"Darmstadt, Wissenschaftsstadt",151879,0.25737,1,2,1
"2",6412,"Frankfurt am Main, Stadt",717624,0.329367,1,2,1
"3",6413,"Offenbach am Main, Stadt",120988,0.757084,5,10,3
"4",6414,"Wiesbaden, Landeshauptstadt",275116,0.48657,2,4,2
"5",6431,"Bergstraﬂe",263822,0.469227,2,3,2
"6",6432,"Darmstadt-Dieburg",287966,0.441757,2,3,2
"7",6433,"Groﬂ-Gerau",260793,0.493876,3,5,2
"8",6434,"Hochtaunuskreis",230798,0.147814,1,1,1
"9",6435,"Main-Kinzig-Kreis",407619,0.535319,3,5,2
"10",6436,"Main-Taunus-Kreis",229976,0.169472,1,1,1
"11",6437,"Odenwaldkreis",96082,0.629972,4,8,2
"12",6438,"Offenbach",341669,0.419143,1,2,1
"13",6439,"Rheingau-Taunus-Kreis",182117,0.432014,2,3,2
"14",6440,"Wetteraukreis",297369,0.491296,2,4,2
"15",6531,"Gieﬂen",259834,0.563873,3,6,2
"16",6532,"Lahn-Dill-Kreis",251440,0.577588,4,7,2
"17",6533,"Limburg-Weilburg",170385,0.596467,4,7,2
"18",6534,"Marburg-Biedenkopf",241598,0.547448,3,6,2
"19",6535,"Vogelsbergkreis",105763,0.634948,5,9,3
"20",6611,"Kassel, documenta-Stadt",194747,0.669895,5,10,3
"21",6631,"Fulda",217326,0.55563,3,6,2
"22",6632,"Hersfeld-Rotenburg",119394,0.604,4,8,2
"23",6633,"Kassel",233451,0.531649,3,5,2
"24",6634,"Schwalm-Eder-Kreis",179466,0.634483,4,8,2
"25",6635,"Waldeck-Frankenberg",156460,0.653327,5,9,3
"26",6636,"Werra-Meiﬂner-Kreis",100206,0.731395,5,10,3
