"","Kreiskennziffer","Name des Kreises","Bevˆlkerung","GISD_Score","GISD_5","GISD_10","GISD_k"
"1",6411,"Darmstadt, Wissenschaftsstadt",151879,0.232431,1,2,1
"2",6412,"Frankfurt am Main, Stadt",717624,0.371301,1,2,1
"3",6413,"Offenbach am Main, Stadt",120988,0.862953,5,10,3
"4",6414,"Wiesbaden, Landeshauptstadt",275116,0.47671,3,5,2
"5",6431,"Bergstraﬂe",263822,0.441432,2,3,2
"6",6432,"Darmstadt-Dieburg",287966,0.424612,2,3,2
"7",6433,"Groﬂ-Gerau",260793,0.469665,2,4,2
"8",6434,"Hochtaunuskreis",230798,0.049359,1,1,1
"9",6435,"Main-Kinzig-Kreis",407619,0.536976,3,5,2
"10",6436,"Main-Taunus-Kreis",229976,0.158005,1,1,1
"11",6437,"Odenwaldkreis",96082,0.626376,4,8,2
"12",6438,"Offenbach",341669,0.423176,2,3,2
"13",6439,"Rheingau-Taunus-Kreis",182117,0.387271,1,2,1
"14",6440,"Wetteraukreis",297369,0.46622,2,4,2
"15",6531,"Gieﬂen",259834,0.567267,4,7,2
"16",6532,"Lahn-Dill-Kreis",251440,0.545525,3,6,2
"17",6533,"Limburg-Weilburg",170385,0.58928,4,7,2
"18",6534,"Marburg-Biedenkopf",241598,0.5613,3,6,2
"19",6535,"Vogelsbergkreis",105763,0.605112,4,8,2
"20",6611,"Kassel, documenta-Stadt",194747,0.751242,5,10,3
"21",6631,"Fulda",217326,0.541486,3,6,2
"22",6632,"Hersfeld-Rotenburg",119394,0.621937,4,8,2
"23",6633,"Kassel",233451,0.53378,3,5,2
"24",6634,"Schwalm-Eder-Kreis",179466,0.645355,5,9,3
"25",6635,"Waldeck-Frankenberg",156460,0.685308,5,9,3
"26",6636,"Werra-Meiﬂner-Kreis",100206,0.698078,5,10,3
