"","Kreiskennziffer","Name des Kreises","Bevˆlkerung","GISD_Score","GISD_5","GISD_10","GISD_k"
"1",6411,"Darmstadt, Wissenschaftsstadt",151879,0.245787,1,2,1
"2",6412,"Frankfurt am Main, Stadt",717624,0.341897,1,2,1
"3",6413,"Offenbach am Main, Stadt",120988,0.78926,5,10,3
"4",6414,"Wiesbaden, Landeshauptstadt",275116,0.482226,3,5,2
"5",6431,"Bergstraﬂe",263822,0.428991,2,4,2
"6",6432,"Darmstadt-Dieburg",287966,0.416764,2,3,2
"7",6433,"Groﬂ-Gerau",260793,0.417704,2,3,2
"8",6434,"Hochtaunuskreis",230798,0.083849,1,1,1
"9",6435,"Main-Kinzig-Kreis",407619,0.512172,3,5,2
"10",6436,"Main-Taunus-Kreis",229976,0.119011,1,1,1
"11",6437,"Odenwaldkreis",96082,0.588046,4,7,2
"12",6438,"Offenbach",341669,0.390026,2,3,2
"13",6439,"Rheingau-Taunus-Kreis",182117,0.377479,1,2,1
"14",6440,"Wetteraukreis",297369,0.443199,2,4,2
"15",6531,"Gieﬂen",259834,0.512882,3,6,2
"16",6532,"Lahn-Dill-Kreis",251440,0.541648,4,7,2
"17",6533,"Limburg-Weilburg",170385,0.598965,4,8,2
"18",6534,"Marburg-Biedenkopf",241598,0.47098,3,5,2
"19",6535,"Vogelsbergkreis",105763,0.631033,4,8,2
"20",6611,"Kassel, documenta-Stadt",194747,0.749292,5,10,3
"21",6631,"Fulda",217326,0.526993,3,6,2
"22",6632,"Hersfeld-Rotenburg",119394,0.602415,4,8,2
"23",6633,"Kassel",233451,0.523305,3,6,2
"24",6634,"Schwalm-Eder-Kreis",179466,0.660497,5,9,3
"25",6635,"Waldeck-Frankenberg",156460,0.658917,5,9,3
"26",6636,"Werra-Meiﬂner-Kreis",100206,0.674907,5,10,3
