"","Kreiskennziffer","Name des Kreises","Bevˆlkerung","GISD_Score","GISD_5","GISD_10","GISD_k"
"1",6411,"Darmstadt, Wissenschaftsstadt",151879,0.226616,1,2,1
"2",6412,"Frankfurt am Main, Stadt",717624,0.319777,1,2,1
"3",6413,"Offenbach am Main, Stadt",120988,0.779482,5,10,3
"4",6414,"Wiesbaden, Landeshauptstadt",275116,0.46753,3,5,2
"5",6431,"Bergstraﬂe",263822,0.40498,2,3,2
"6",6432,"Darmstadt-Dieburg",287966,0.398583,2,3,2
"7",6433,"Groﬂ-Gerau",260793,0.442893,2,4,2
"8",6434,"Hochtaunuskreis",230798,0.064817,1,1,1
"9",6435,"Main-Kinzig-Kreis",407619,0.505326,3,6,2
"10",6436,"Main-Taunus-Kreis",229976,0.089046,1,1,1
"11",6437,"Odenwaldkreis",96082,0.582005,4,8,2
"12",6438,"Offenbach",341669,0.389878,2,3,2
"13",6439,"Rheingau-Taunus-Kreis",182117,0.365785,1,2,1
"14",6440,"Wetteraukreis",297369,0.444348,2,4,2
"15",6531,"Gieﬂen",259834,0.51279,3,6,2
"16",6532,"Lahn-Dill-Kreis",251440,0.530373,4,7,2
"17",6533,"Limburg-Weilburg",170385,0.597093,5,9,3
"18",6534,"Marburg-Biedenkopf",241598,0.500086,3,5,2
"19",6535,"Vogelsbergkreis",105763,0.579967,4,8,2
"20",6611,"Kassel, documenta-Stadt",194747,0.736474,5,10,3
"21",6631,"Fulda",217326,0.510566,3,6,2
"22",6632,"Hersfeld-Rotenburg",119394,0.559682,4,7,2
"23",6633,"Kassel",233451,0.50337,3,5,2
"24",6634,"Schwalm-Eder-Kreis",179466,0.590346,4,8,2
"25",6635,"Waldeck-Frankenberg",156460,0.661961,5,9,3
"26",6636,"Werra-Meiﬂner-Kreis",100206,0.672785,5,10,3
