"","Kennziffer Gemeindeverband","Name Gemeindeverband","Bevölkerung","GISD_Score","GISD_5","GISD_10","GISD_k"
"204",14626906,"Bernstadt / Schönau-Berzdorf",4962,0.753928,5,9,3
"205",14626914,"Großschönau-Hainewalde",7245,0.775465,5,9,3
"206",14626920,"Löbau",20166,0.766623,5,9,3
"207",14626924,"Neusalza-Spremberg",5552,0.761074,5,9,3
"208",14626927,"Olbersdorf",10422,0.761576,5,9,3
"209",14626928,"Oppach-Beiersdorf",3609,0.791714,5,10,3
"210",14626932,"Reichenbach/O.L.",7929,0.748032,4,8,2
"211",14626933,"Rietschen",3498,0.781012,5,10,3
"212",14626935,"Rothenburg/O.L.",6053,0.739285,4,8,2
"213",14626937,"Schleife",4689,0.752744,5,9,3
"214",14626942,"Weißwasser/O.L.",18340,0.788944,5,10,3
"215",14626953,"Weißer Schöps/Neiße",8552,0.74328,4,8,2
"216",14627010,"Coswig, Stadt",20631,0.671437,1,2,1
"217",14627020,"Diera-Zehren",3344,0.691117,2,3,2
"218",14627030,"Ebersbach",4471,0.675034,1,2,1
"219",14627050,"Gröditz, Stadt",7437,0.771028,5,9,3
"220",14627060,"Großenhain, Stadt",18347,0.722209,3,6,2
"221",14627070,"Hirschstein",2081,0.709788,3,5,2
"222",14627080,"Käbschütztal",2774,0.714759,3,6,2
"223",14627100,"Klipphausen",10252,0.685831,2,3,2
"224",14627130,"Lommatzsch, Stadt",5143,0.709738,3,5,2
"225",14627140,"Meißen, Stadt",27273,0.724391,4,7,2
"226",14627150,"Moritzburg",8322,0.666282,1,1,1
"227",14627170,"Niederau",3946,0.670348,1,2,1
"228",14627180,"Nossen, Stadt",10851,0.712189,3,5,2
"229",14627200,"Priestewitz",3212,0.677288,1,2,1
"230",14627210,"Radebeul, Stadt",33853,0.66964,1,2,1
"231",14627220,"Radeburg, Stadt",7390,0.665029,1,1,1
"232",14627230,"Riesa, Stadt",31011,0.738324,4,8,2
"233",14627260,"Stauchitz",3147,0.711751,3,5,2
"234",14627270,"Strehla, Stadt",3777,0.722441,3,6,2
"235",14627310,"Weinböhla",10165,0.679498,1,2,1
"236",14627360,"Zeithain",5819,0.678935,1,2,1
"237",14627925,"Nünchritz",7731,0.681131,2,3,2
"238",14627934,"Röderaue-Wülknitz",4526,0.71598,3,6,2
"239",14627938,"Schönfeld",4503,0.677026,1,2,1
"240",14627941,"Thiendorf",3739,0.654622,1,1,1
"241",14628050,"Bannewitz",10480,0.673493,1,2,1
"242",14628060,"Dippoldiswalde, Stadt",14390,0.679684,1,2,1
"243",14628100,"Dürrröhrsdorf-Dittersbach",4227,0.685931,2,3,2
"244",14628110,"Freital, Stadt",39547,0.716543,3,6,2
"245",14628130,"Glashütte, Stadt",6837,0.659016,1,1,1
"246",14628160,"Heidenau, Stadt",16257,0.705243,2,4,2
"247",14628190,"Hohnstein, Stadt",3379,0.69863,2,4,2
"248",14628220,"Kreischa",4474,0.676911,1,2,1
"249",14628260,"Neustadt i. Sa., Stadt",12725,0.746072,4,8,2
"250",14628300,"Rabenau, Stadt",4361,0.676648,1,2,1
"251",14628360,"Sebnitz, Stadt",9930,0.719936,3,6,2
"252",14628380,"Stolpen, Stadt",5674,0.689738,2,3,2
"253",14628410,"Wilsdruff, Stadt",13701,0.654377,1,1,1
"254",14628901,"Altenberg",8984,0.690415,2,3,2
"255",14628902,"Bad Gottleuba-Berggießhübel",9211,0.67045,1,2,1
"256",14628904,"Bad Schandau",6099,0.710435,3,5,2
"257",14628909,"Dohna-Müglitztal",8168,0.678756,1,2,1
