"","Kennziffer Gemeindeverband","Name Gemeindeverband","Bevölkerung","GISD_Score","GISD_5","GISD_10","GISD_k"
"1",14511000,"Chemnitz, Stadt",243521,0.69044,2,3,2
"2",14521010,"Amtsberg",3823,0.690412,2,3,2
"3",14521020,"Annaberg-Buchholz, Stadt",20394,0.772147,5,9,3
"4",14521030,"Aue, Stadt",16617,0.785438,5,9,3
"5",14521050,"Bad Schlema",4866,0.753053,4,8,2
"6",14521110,"Breitenbrunn/Erzgeb.",5560,0.730937,4,7,2
"7",14521130,"Crottendorf",4111,0.707027,3,5,2
"8",14521150,"Drebach",5392,0.727335,4,7,2
"9",14521160,"Ehrenfriedersdorf, Stadt",4888,0.74876,4,8,2
"10",14521170,"Eibenstock, Stadt",7678,0.770473,5,9,3
"11",14521200,"Gelenau/Erzgeb.",4278,0.738741,4,7,2
"12",14521240,"Großolbersdorf",2917,0.702221,2,4,2
"13",14521250,"Großrückerswalde",3505,0.719547,3,6,2
"14",14521260,"Grünhain-Beierfeld, Stadt",6015,0.712405,3,5,2
"15",14521290,"Hohndorf",3735,0.715986,3,6,2
"16",14521310,"Jahnsdorf/Erzgeb.",5535,0.675134,1,2,1
"17",14521320,"Johanngeorgenstadt, Stadt",4206,0.786775,5,9,3
"18",14521330,"Jöhstadt, Stadt",2853,0.732206,4,7,2
"19",14521355,"Lauter-Bernsbach, Stadt",8974,0.72475,3,6,2
"20",14521370,"Lößnitz, Stadt",8801,0.75683,4,8,2
"21",14521390,"Marienberg, Stadt",17361,0.728924,4,7,2
"22",14521400,"Mildenau",3406,0.703025,2,4,2
"23",14521410,"Neukirchen/Erzgeb.",6771,0.677621,1,2,1
"24",14521440,"Oberwiesenthal, Kurort, Stadt",2208,0.72274,3,6,2
"25",14521450,"Oelsnitz/Erzgeb., Stadt",11175,0.736274,4,7,2
"26",14521460,"Olbernhau, Stadt",9181,0.753333,4,8,2
"27",14521470,"Pfaffroda",2498,0.723987,3,6,2
"28",14521495,"Pockau-Lengefeld, Stadt",7953,0.730925,4,7,2
"29",14521500,"Raschau-Markersbach",5208,0.734517,4,7,2
"30",14521530,"Schneeberg, Stadt",15250,0.760385,5,9,3
"31",14521540,"Schönheide",4626,0.733846,4,7,2
"32",14521550,"Schwarzenberg/Erzgeb., Stadt",17360,0.756563,4,8,2
"33",14521560,"Sehmatal",6588,0.708049,3,5,2
"34",14521600,"Stützengrün",3391,0.691367,2,3,2
"35",14521620,"Thalheim/Erzgeb., Stadt",6540,0.73632,4,7,2
"36",14521630,"Thermalbad Wiesenbad",3401,0.725341,3,6,2
"37",14521640,"Thum, Stadt",5299,0.740453,4,8,2
"38",14521670,"Wolkenstein, Stadt",3918,0.709717,3,5,2
"39",14521901,"Bärenstein",4718,0.738539,4,7,2
"40",14521903,"Burkhardtsdorf",10785,0.707391,3,5,2
"41",14521905,"Wildenstein",4502,0.703339,2,4,2
"42",14521910,"Geyer",4762,0.752677,4,8,2
"43",14521915,"Lugau",10921,0.723711,3,6,2
"44",14521930,"Scheibenberg-Schlettau",4632,0.732143,4,7,2
"45",14521932,"Seiffen/Erzgeb.",4171,0.743804,4,8,2
"46",14521933,"Stollberg/Erzgeb.",12453,0.7151,3,5,2
"47",14521938,"Zschopau",13359,0.745244,4,8,2
"48",14521939,"Zschorlau",7715,0.714632,3,5,2
"49",14521940,"Zwönitz",15282,0.715708,3,5,2
"50",14522020,"Augustusburg, Stadt",4611,0.669556,1,2,1
