"","Kreiskennziffer","Name des Kreises","Bevölkerung","GISD_Score","GISD_5","GISD_10","GISD_k"
"1",13003,"Rostock",204167,0.796851,1,1,1
"2",13004,"Schwerin",92138,0.812597,1,2,1
"3",13071,"Mecklenburgische Seenplatte",261733,0.927854,5,9,3
"4",13072,"Landkreis Rostock",211878,0.879288,3,5,2
"5",13073,"Vorpommern-Rügen",223470,0.899897,3,6,2
"6",13074,"Nordwestmecklenburg",155424,0.941499,5,10,3
"7",13075,"Vorpommern-Greifswald",237697,0.922654,4,7,2
"8",13076,"Ludwigslust-Parchim",212631,0.869443,2,4,2
