"","Kreiskennziffer","Name des Kreises","Bevölkerung","GISD_Score","GISD_5","GISD_10","GISD_k"
"1",13003,"Rostock",204167,0.762904,1,1,1
"2",13004,"Schwerin",92138,0.833399,1,2,1
"3",13071,"Mecklenburgische Seenplatte",261733,0.933948,5,10,3
"4",13072,"Landkreis Rostock",211878,0.850923,2,4,2
"5",13073,"Vorpommern-Rügen",223470,0.888948,4,7,2
"6",13074,"Nordwestmecklenburg",155424,0.885964,3,6,2
"7",13075,"Vorpommern-Greifswald",237697,0.914292,5,9,3
"8",13076,"Ludwigslust-Parchim",212631,0.860962,3,5,2
