"","Kreiskennziffer","Name des Kreises","Bevölkerung","GISD_Score","GISD_5","GISD_10","GISD_k"
"1",13003,"Rostock",204167,0.815112,1,1,1
"2",13004,"Schwerin",92138,0.821687,1,2,1
"3",13071,"Mecklenburgische Seenplatte",261733,0.906946,4,7,2
"4",13072,"Landkreis Rostock",211878,0.872028,3,6,2
"5",13073,"Vorpommern-Rügen",223470,0.919268,5,9,3
"6",13074,"Nordwestmecklenburg",155424,0.871782,3,5,2
"7",13075,"Vorpommern-Greifswald",237697,0.943901,5,10,3
"8",13076,"Ludwigslust-Parchim",212631,0.855554,2,4,2
