"","Kennziffer Gemeindeverband","Name Gemeindeverband","Bevölkerung","GISD_Score","GISD_5","GISD_10","GISD_k"
"1",5111000,"Düsseldorf, Stadt",604527,0.394239,1,1,1
"2",5112000,"Duisburg, Stadt",485465,0.810527,5,10,3
"3",5113000,"Essen, Stadt",573784,0.576133,3,6,2
"4",5114000,"Krefeld, Stadt",222500,0.627742,5,9,3
"5",5116000,"Mönchengladbach, Stadt",256853,0.716392,5,10,3
"6",5117000,"Mülheim an der Ruhr, Stadt",167108,0.44706,1,1,1
"7",5119000,"Oberhausen, Stadt",209292,0.731884,5,10,3
"8",5120000,"Remscheid, Stadt",109009,0.616171,5,9,3
"9",5122000,"Solingen, Klingenstadt",156771,0.638632,5,9,3
"10",5124000,"Wuppertal, Stadt",345425,0.727689,5,10,3
"11",5154004,"Bedburg-Hau",12792,0.656122,5,9,3
"12",5154008,"Emmerich am Rhein, Stadt",30279,0.729259,5,10,3
"13",5154012,"Geldern, Stadt",33191,0.669554,5,10,3
"14",5154016,"Goch, Stadt",33401,0.69879,5,10,3
"15",5154020,"Issum",11916,0.645523,5,9,3
"16",5154024,"Kalkar, Stadt",13685,0.692228,5,10,3
"17",5154028,"Kerken",12489,0.646021,5,9,3
"18",5154032,"Kevelaer, Stadt",27870,0.67879,5,10,3
"19",5154036,"Kleve, Stadt",48802,0.718446,5,10,3
"20",5154040,"Kranenburg",10340,0.725408,5,10,3
"21",5154044,"Rees, Stadt",21244,0.684072,5,10,3
"22",5154048,"Rheurdt",6667,0.637937,5,9,3
"23",5154052,"Straelen, Stadt",15741,0.639175,5,9,3
"24",5154056,"Uedem",8120,0.675387,5,10,3
"25",5154060,"Wachtendonk",8026,0.640091,5,9,3
"26",5154064,"Weeze",10400,0.729401,5,10,3
"27",5158004,"Erkrath, Fundort des Neanderthalers, Stadt",43700,0.409888,1,1,1
"28",5158008,"Haan, Stadt",30166,0.390375,1,1,1
"29",5158012,"Heiligenhaus, Stadt",25474,0.425597,1,1,1
"30",5158016,"Hilden, Stadt",54894,0.394636,1,1,1
"31",5158020,"Langenfeld (Rheinland), Stadt",57083,0.404916,1,1,1
"32",5158024,"Mettmann, Stadt",37836,0.409043,1,1,1
"33",5158026,"Monheim am Rhein, Stadt",40403,0.444146,1,1,1
"34",5158028,"Ratingen, Stadt",86636,0.405737,1,1,1
"35",5158032,"Velbert, Stadt",80572,0.425282,1,1,1
"36",5158036,"Wülfrath, Stadt",20996,0.412364,1,1,1
"37",5162004,"Dormagen, Stadt",62773,0.403064,1,1,1
"38",5162008,"Grevenbroich, Stadt",62124,0.426568,1,1,1
"39",5162012,"Jüchen",22855,0.430439,1,1,1
"40",5162016,"Kaarst, Stadt",42504,0.395769,1,1,1
"41",5162020,"Korschenbroich, Stadt",32306,0.389235,1,1,1
"42",5162022,"Meerbusch, Stadt",54599,0.386881,1,1,1
"43",5162024,"Neuss, Stadt",152644,0.436203,1,1,1
"44",5162028,"Rommerskirchen",12717,0.404364,1,1,1
"45",5166004,"Brüggen, Burggemeinde",15443,0.561289,3,5,2
"46",5166008,"Grefrath, Sport- und Freizeitgemeinde",14703,0.538014,2,4,2
"47",5166012,"Kempen, Stadt",34630,0.539694,2,4,2
"48",5166016,"Nettetal, Stadt",41605,0.566743,3,6,2
"49",5166020,"Niederkrüchten",14961,0.570642,3,6,2
"50",5166024,"Schwalmtal",18922,0.55412,3,5,2
"51",5166028,"Tönisvorst, Stadt",29093,0.529428,2,4,2
"52",5166032,"Viersen, Stadt",75058,0.600537,4,8,2
"53",5166036,"Willich, Stadt",50652,0.534852,2,4,2
"54",5170004,"Alpen",12622,0.55666,3,5,2
"55",5170008,"Dinslaken, Stadt",67065,0.592645,4,8,2
"56",5170012,"Hamminkeln, Stadt",26590,0.574525,3,6,2
"57",5170016,"Hünxe",13516,0.555851,3,5,2
"58",5170020,"Kamp-Lintfort, Stadt",37118,0.631543,5,9,3
"59",5170024,"Moers, Stadt",102923,0.604034,4,8,2
"60",5170028,"Neukirchen-Vluyn, Stadt",26881,0.591356,4,7,2
"61",5170032,"Rheinberg, Stadt",30728,0.5666,3,6,2
"62",5170036,"Schermbeck",13500,0.571218,3,6,2
"63",5170040,"Sonsbeck",8665,0.590812,4,7,2
"64",5170044,"Voerde (Niederrhein), Stadt",36267,0.59132,4,7,2
"65",5170048,"Wesel, Stadt",60088,0.628847,5,9,3
"66",5170052,"Xanten, Stadt",21281,0.593928,4,8,2
"67",5314000,"Bonn, Stadt",313958,0.292006,1,1,1
"68",5315000,"Köln, Stadt",1046680,0.472418,1,2,1
"69",5316000,"Leverkusen, Stadt",161540,0.451138,1,1,1
