"","Kennziffer Gemeindeverband","Name Gemeindeverband","Bevölkerung","GISD_Score","GISD_5","GISD_10","GISD_k"
"1",13003000,"Rostock, Hansestadt",204167,0.747122,1,1,1
"2",13004000,"Schwerin, Landeshauptstadt",92138,0.752697,1,1,1
"3",13071027,"Dargun, Stadt",4433,0.857742,4,8,2
"4",13071029,"Demmin, Hansestadt",11342,0.883717,5,9,3
"5",13071033,"Feldberger Seenlandschaft",4399,0.861918,4,8,2
"6",13071107,"Neubrandenburg, Stadt",63311,0.804419,2,4,2
"7",13071110,"Neustrelitz, Stadt",20476,0.840764,3,6,2
"8",13071156,"Waren (Müritz), Stadt",21042,0.809453,2,4,2
"9",13071951,"Demmin-Land",7216,0.892313,5,10,3
"10",13071952,"Friedland",8921,0.888733,5,10,3
"11",13071953,"Malchin am Kummerower See",12685,0.85618,4,8,2
"12",13071954,"Malchow",10769,0.837703,3,6,2
"13",13071955,"Mecklenburgische Kleinseenplatte",8061,0.847469,4,7,2
"14",13071956,"Neustrelitz-Land",7453,0.845583,4,7,2
"15",13071957,"Neverin",8643,0.764453,1,2,1
"16",13071958,"Penzliner Land",6857,0.864459,4,8,2
"17",13071959,"Röbel-Müritz",14611,0.816248,3,5,2
"18",13071960,"Seenlandschaft Waren",9365,0.815025,3,5,2
"19",13071961,"Stargarder Land",9721,0.798227,2,3,2
"20",13071962,"Stavenhagen",11551,0.850687,4,7,2
"21",13071963,"Treptower Tollensewinkel",14099,0.853766,4,7,2
"22",13071964,"Woldegk",6778,0.882476,5,9,3
"23",13072006,"Bad Doberan, Stadt",11785,0.804443,2,4,2
"24",13072029,"Dummerstorf",7202,0.766187,1,2,1
"25",13072036,"Graal-Müritz",4152,0.774786,1,2,1
"26",13072043,"Güstrow, Stadt",28791,0.838823,3,6,2
"27",13072058,"Kröpelin, Stadt",4709,0.840276,3,6,2
"28",13072060,"Kühlungsborn, Stadt",7825,0.799913,2,4,2
"29",13072074,"Neubukow, Stadt",3876,0.859494,4,8,2
"30",13072091,"Sanitz",5715,0.766995,1,2,1
"31",13072093,"Satow",5506,0.785629,2,3,2
"32",13072106,"Teterow, Stadt",8642,0.845491,4,7,2
"33",13072951,"Bad Doberan-Land",11690,0.755949,1,1,1
"34",13072952,"Bützow-Land",16151,0.851397,4,7,2
"35",13072953,"Carbäk",8460,0.745366,1,1,1
"36",13072954,"Gnoien",5976,0.92016,5,10,3
"37",13072955,"Güstrow-Land",9514,0.812208,2,4,2
"38",13072956,"Krakow am See",8903,0.832041,3,6,2
"39",13072957,"Laage",8828,0.812037,2,4,2
"40",13072958,"Mecklenburgische Schweiz",8206,0.853434,4,7,2
"41",13072959,"Neubukow-Salzhaff",6576,0.853973,4,7,2
"42",13072960,"Rostocker Heide",8851,0.778827,1,2,1
"43",13072961,"Schwaan",7543,0.812664,2,4,2
"44",13072962,"Tessin",6573,0.816418,3,5,2
"45",13072963,"Warnow-West",16404,0.740907,1,1,1
"46",13073011,"Binz",5172,0.808879,2,4,2
"47",13073035,"Grimmen, Stadt",9960,0.876363,5,9,3
"48",13073055,"Marlow, Stadt",4633,0.858742,4,8,2
"49",13073070,"Putbus, Stadt",4330,0.836352,3,6,2
"50",13073080,"Sassnitz, Stadt",9476,0.836385,3,6,2
"51",13073088,"Stralsund, Hansestadt",57525,0.867049,5,9,3
"52",13073089,"Süderholz",3924,0.867492,5,9,3
"53",13073105,"Zingst",3049,0.81896,3,5,2
"54",13073951,"Altenpleen",7175,0.825357,3,5,2
"55",13073952,"Barth",15124,0.897081,5,10,3
"56",13073953,"Bergen auf Rügen",20578,0.836149,3,6,2
"57",13073954,"Darß/Fischland",6611,0.819245,3,5,2
"58",13073955,"Franzburg-Richtenberg",7999,0.9095,5,10,3
"59",13073956,"Miltzow",6954,0.87609,5,9,3
"60",13073957,"Mönchgut-Granitz",7069,0.827206,3,5,2
"61",13073958,"Niepars",9316,0.823427,3,5,2
"62",13073959,"Nord-Rügen",7993,0.865757,5,9,3
"63",13073960,"Recknitz-Trebeltal",8792,0.925061,5,10,3
"64",13073961,"Ribnitz-Damgarten",18149,0.875153,5,9,3
"65",13073962,"West-Rügen",9641,0.857559,4,8,2
"66",13074026,"Grevesmühlen, Stadt",10462,0.784428,2,3,2
"67",13074035,"Insel Poel",2505,0.82229,3,5,2
"68",13074087,"Wismar, Hansestadt",42392,0.841445,3,6,2
"69",13074951,"Dorf Mecklenburg-Bad Kleinen",13482,0.825064,3,5,2
"70",13074952,"Gadebusch",10318,0.801227,2,4,2
"71",13074953,"Grevesmühlen-Land",8369,0.787994,2,3,2
"72",13074954,"Klützer Winkel",10602,0.793752,2,3,2
"73",13074955,"Lützow-Lübstorf",13362,0.769815,1,2,1
"74",13074956,"Neuburg",5895,0.847216,4,7,2
"75",13074957,"Neukloster-Warin",10766,0.862165,4,8,2
"76",13074958,"Rehna",9216,0.790272,2,3,2
"77",13074959,"Schönberger Land",18055,0.750542,1,1,1
"78",13075005,"Anklam, Stadt",12718,0.875091,5,9,3
"79",13075039,"Greifswald, Hansestadt",56685,0.81316,3,5,2
"80",13075049,"Heringsdorf",8883,0.788634,2,3,2
"81",13075105,"Pasewalk, Stadt",10442,0.859439,4,8,2
"82",13075130,"Strasburg (Uckermark), Stadt",4965,0.921071,5,10,3
"83",13075136,"Ueckermünde, Stadt",8916,0.87478,5,9,3
"84",13075951,"Am Peenestrom",15757,0.829957,3,6,2
"85",13075952,"Am Stettiner Haff",10640,0.859376,4,8,2
"86",13075953,"Anklam-Land",10170,0.918415,5,10,3
"87",13075954,"Jarmen-Tutow",6872,0.940046,5,10,3
"88",13075955,"Landhagen",10100,0.773235,1,2,1
"89",13075956,"Löcknitz-Penkun",10819,0.909204,5,10,3
"90",13075957,"Lubmin",10462,0.799427,2,3,2
"91",13075958,"Peenetal/Loitz",6153,0.901489,5,10,3
"92",13075959,"Torgelow-Ferdinandshof",14330,0.903805,5,10,3
"93",13075960,"Uecker-Randow-Tal",7138,0.882281,5,9,3
"94",13075961,"Usedom-Nord",9102,0.793741,2,3,2
"95",13075962,"Usedom-Süd",11604,0.818978,3,5,2
"96",13075963,"Züssow",11941,0.857445,4,8,2
"97",13076014,"Boizenburg/Elbe, Stadt",10350,0.761453,1,2,1
"98",13076060,"Hagenow, Stadt",11443,0.772477,1,2,1
"99",13076088,"Lübtheen, Stadt",4735,0.784758,2,3,2
"100",13076090,"Ludwigslust, Stadt",12243,0.773138,1,2,1
"101",13076108,"Parchim, Stadt",17794,0.840111,3,6,2
"102",13076952,"Boizenburg-Land",7492,0.745871,1,1,1
