"","Kreiskennziffer","Name des Kreises","Bevölkerung","GISD_Score","GISD_5","GISD_10","GISD_k"
"1",15001,"Dessau-Roßlau, Stadt",83061,0.837557,1,2,1
"2",15002,"Halle (Saale), Stadt",232470,0.902211,3,6,2
"3",15003,"Magdeburg, Landeshauptstadt",232306,0.854939,3,5,2
"4",15081,"Altmarkkreis Salzwedel",86071,0.953034,4,8,2
"5",15082,"Anhalt-Bitterfeld",165076,0.921668,4,7,2
"6",15083,"Börde",172829,0.807237,1,1,1
"7",15084,"Burgenlandkreis",184055,0.942655,4,7,2
"8",15085,"Harz",219618,0.850937,2,4,2
"9",15086,"Jerichower Land",91359,0.853367,2,4,2
"10",15087,"Mansfeld-Südharz",142054,0.977142,5,9,3
"11",15088,"Saalekreis",186510,0.809324,1,2,1
"12",15089,"Salzlandkreis",196750,0.976232,5,9,3
"13",15090,"Stendal",114668,0.977725,5,10,3
"14",15091,"Wittenberg",128721,0.849035,2,3,2
