"","Gemeindekennziffer","Name der Gemeinde","Bevölkerung","GISD_Score","GISD_5","GISD_10","GISD_k"
"1074",8436094,"Argenbühl",6171,0.522428,4,7,2
"1075",8436095,"Horgenzell",5140,0.530206,4,7,2
"1076",8436096,"Fronreute",4519,0.495538,3,6,2
"1077",8437005,"Beuron",660,0.646175,5,10,3
"1078",8437008,"Bingen",2678,0.646175,5,10,3
"1079",8437031,"Gammertingen, Stadt",6255,0.613655,5,10,3
"1080",8437044,"Herbertingen",4743,0.631519,5,10,3
"1081",8437047,"Hettingen, Stadt",1787,0.613655,5,10,3
"1082",8437053,"Hohentengen",4087,0.633323,5,10,3
"1083",8437056,"Illmensee",1974,0.642487,5,10,3
"1084",8437059,"Inzigkofen",2758,0.646175,5,10,3
"1085",8437065,"Krauchenwies",4985,0.646175,5,10,3
"1086",8437072,"Leibertingen",2084,0.635175,5,10,3
"1087",8437076,"Mengen, Stadt",9851,0.633323,5,10,3
"1088",8437078,"Meßkirch, Stadt",8203,0.635175,5,10,3
"1089",8437082,"Neufra",1848,0.613655,5,10,3
"1090",8437086,"Ostrach",6704,0.625445,5,10,3
"1091",8437088,"Pfullendorf, Stadt",13077,0.642487,5,10,3
"1092",8437100,"Bad Saulgau, Stadt",17222,0.631519,5,10,3
"1093",8437101,"Scheer, Stadt",2529,0.633323,5,10,3
"1094",8437102,"Schwenningen",1595,0.610927,5,10,3
"1095",8437104,"Sigmaringen, Stadt",15756,0.646175,5,10,3
"1096",8437105,"Sigmaringendorf",3549,0.646175,5,10,3
"1097",8437107,"Stetten am kalten Markt",4818,0.610927,5,10,3
"1098",8437114,"Veringenstadt, Stadt",2160,0.613655,5,10,3
"1099",8437118,"Wald",2599,0.642487,5,10,3
"1100",8437123,"Sauldorf",2485,0.635175,5,10,3
"1101",8437124,"Herdwangen-Schönach",3309,0.642487,5,10,3
