"","NUTS2","NUTS2 Name","Bevölkerung","GISD_Score","GISD_5","GISD_10","GISD_k"
"1","DE21","Oberbayern",4519979,0,1,1,1
"2","DE22","Niederbayern",1197558,0.49388,5,10,3
"3","DE23","Oberpfalz",1082761,0.413124,4,7,2
"4","DE24","Oberfranken",1055955,0.476872,4,8,2
"5","DE25","Mittelfranken",1715195,0.284482,2,3,2
"6","DE26","Unterfranken",1298849,0.394509,3,6,2
"7","DE27","Schwaben",1821271,0.369221,2,4,2
