"","Gemeindekennziffer","Name der Gemeinde","Bevölkerung","GISD_Score","GISD_5","GISD_10","GISD_k"
"1156",9477129,"Kupferberg, Stadt",1035,0.590109,4,8,2
"1157",9477135,"Ludwigschorgast, Markt",993,0.590109,4,8,2
"1158",9477136,"Mainleus, Markt",6449,0.614173,5,9,3
"1159",9477138,"Marktleugast, Markt",3214,0.624887,5,10,3
"1160",9477139,"Marktschorgast, Markt",1417,0.619108,5,9,3
"1161",9477142,"Neudrossenfeld",3807,0.582327,4,8,2
"1162",9477143,"Neuenmarkt",3040,0.621642,5,10,3
"1163",9477148,"Presseck, Markt",1840,0.638157,5,10,3
"1164",9477151,"Rugendorf",1043,0.613663,5,9,3
"1165",9477156,"Stadtsteinach, Stadt",3217,0.613663,5,9,3
"1166",9477157,"Thurnau, Markt",4201,0.600117,5,9,3
"1167",9477158,"Trebgast",1603,0.581176,4,8,2
"1168",9477159,"Untersteinach",1830,0.590109,4,8,2
"1169",9477163,"Wirsberg, Markt",1813,0.609321,5,9,3
"1170",9477164,"Wonsees, Markt",1122,0.603284,5,9,3
"1171",9478111,"Altenkunstadt",5396,0.624617,5,10,3
"1172",9478116,"Burgkunstadt, Stadt",6410,0.631328,5,10,3
"1173",9478120,"Ebensfeld, Markt",5563,0.619843,5,10,3
"1174",9478127,"Hochstadt a.Main",1672,0.603642,5,9,3
"1175",9478139,"Lichtenfels, Stadt",20099,0.641835,5,10,3
"1176",9478143,"Marktgraitz, Markt",1226,0.632322,5,10,3
"1177",9478144,"Marktzeuln, Markt",1511,0.603642,5,9,3
"1178",9478145,"Michelau i.OFr.",6359,0.62235,5,10,3
"1179",9478155,"Redwitz a.d.Rodach",3368,0.632322,5,10,3
"1180",9478165,"Bad Staffelstein, Stadt",10125,0.627608,5,10,3
"1181",9478176,"Weismain, Stadt",4811,0.618623,5,9,3
"1182",9479111,"Bad Alexandersbad",1011,0.663237,5,10,3
"1183",9479112,"Arzberg, Stadt",5204,0.677065,5,10,3
"1184",9479126,"Höchstädt i.Fichtelgebirge",1130,0.63357,5,10,3
"1185",9479127,"Hohenberg a.d.Eger, Stadt",1438,0.684663,5,10,3
"1186",9479129,"Kirchenlamitz, Stadt",3329,0.676217,5,10,3
"1187",9479135,"Marktleuthen, Stadt",3129,0.66423,5,10,3
"1188",9479136,"Marktredwitz, GKSt",17038,0.655246,5,10,3
"1189",9479138,"Nagel",1693,0.663237,5,10,3
"1190",9479145,"Röslau",2193,0.657121,5,10,3
"1191",9479147,"Schirnding, Markt",1249,0.684663,5,10,3
"1192",9479150,"Schönwald, Stadt",3270,0.634901,5,10,3
"1193",9479152,"Selb, GKSt",14951,0.648842,5,10,3
"1194",9479158,"Thiersheim, Markt",1831,0.63357,5,10,3
"1195",9479159,"Thierstein, Markt",1140,0.63357,5,10,3
"1196",9479161,"Tröstau",2353,0.663237,5,10,3
"1197",9479166,"Weißenstadt, Stadt",3143,0.639946,5,10,3
"1198",9479169,"Wunsiedel, Stadt",9301,0.664314,5,10,3
"1199",9561000,"Ansbach",40010,0.529674,3,6,2
"1200",9562000,"Erlangen",106423,0.009065,1,1,1
"1201",9563000,"Fürth",121519,0.509036,3,5,2
"1202",9564000,"Nürnberg",501072,0.485273,3,5,2
"1203",9565000,"Schwabach",39941,0.455642,2,4,2
"1204",9571111,"Adelshofen",984,0.578035,4,8,2
"1205",9571113,"Arberg, Markt",2252,0.590456,5,9,3
"1206",9571114,"Aurach",2829,0.564399,4,7,2
"1207",9571115,"Bechhofen, Markt",5848,0.576734,4,8,2
"1208",9571122,"Bruckberg",1347,0.584634,4,8,2
"1209",9571125,"Buch a.Wald",990,0.588468,4,8,2
"1210",9571127,"Burgoberbach",3244,0.544903,4,7,2
"1211",9571128,"Burk",1095,0.573713,4,8,2
"1212",9571130,"Colmberg, Markt",1955,0.582643,4,8,2
"1213",9571132,"Dentlein a.Forst, Markt",2311,0.573713,4,8,2
"1214",9571134,"Diebach",1107,0.588468,4,8,2
"1215",9571135,"Dietenhofen, Markt",5626,0.562341,4,7,2
"1216",9571136,"Dinkelsbühl, GKSt",11389,0.588688,4,8,2
"1217",9571137,"Dombühl, Markt",1634,0.588468,4,8,2
"1218",9571139,"Dürrwangen, Markt",2554,0.580904,4,8,2
"1219",9571141,"Ehingen",1932,0.585278,4,8,2
"1220",9571145,"Feuchtwangen, Stadt",12102,0.588124,4,8,2
"1221",9571146,"Flachslanden, Markt",2338,0.568919,4,7,2
"1222",9571152,"Gebsattel",1711,0.578035,4,8,2
"1223",9571154,"Gerolfingen",960,0.585278,4,8,2
"1224",9571155,"Geslau",1352,0.578035,4,8,2
"1225",9571165,"Heilsbronn, Stadt",9186,0.578276,4,8,2
"1226",9571166,"Herrieden, Stadt",7700,0.559369,4,7,2
"1227",9571169,"Insingen",1183,0.578035,4,8,2
"1228",9571170,"Langfurth",2135,0.576798,4,8,2
"1229",9571171,"Lehrberg, Markt",3045,0.595945,5,9,3
"1230",9571174,"Leutershausen, Stadt",5460,0.594924,5,9,3
"1231",9571175,"Lichtenau, Markt",3760,0.587569,4,8,2
