"","Gemeindekennziffer","Name der Gemeinde","Bevölkerung","GISD_Score","GISD_5","GISD_10","GISD_k"
"1",9161000,"Ingolstadt",131002,0.295845,1,1,1
"2",9162000,"München, Landeshauptstadt",1429584,0.170731,1,1,1
"3",9163000,"Rosenheim",60889,0.512738,3,6,2
"4",9171111,"Altötting, Stadt",12633,0.523408,3,6,2
"5",9171112,"Burghausen, Stadt",17824,0.462028,3,5,2
"6",9171113,"Burgkirchen a.d.Alz",10202,0.496176,3,6,2
"7",9171114,"Emmerting",4098,0.435867,2,4,2
"8",9171115,"Erlbach",1174,0.46288,3,5,2
"9",9171116,"Feichten a.d.Alz",1197,0.468041,3,5,2
"10",9171117,"Garching a.d.Alz",8494,0.494089,3,6,2
"11",9171118,"Haiming",2443,0.432849,2,4,2
"12",9171119,"Halsbach",961,0.468041,3,5,2
"13",9171121,"Kastl",2678,0.473909,3,5,2
"14",9171122,"Kirchweidach",2283,0.468041,3,5,2
"15",9171123,"Marktl, Markt",2665,0.452946,3,5,2
"16",9171124,"Mehring",2328,0.435867,2,4,2
"17",9171125,"Neuötting, Stadt",8471,0.515479,3,6,2
"18",9171126,"Perach",1255,0.46288,3,5,2
"19",9171127,"Pleiskirchen",2390,0.48556,3,5,2
"20",9171129,"Reischach",2544,0.46288,3,5,2
"21",9171130,"Stammham",991,0.452946,3,5,2
"22",9171131,"Teising",1902,0.491282,3,6,2
"23",9171132,"Töging a.Inn, Stadt",9124,0.51099,3,6,2
"24",9171133,"Tüßling, Markt",3241,0.469091,3,5,2
"25",9171134,"Tyrlaching",945,0.468041,3,5,2
"26",9171135,"Unterneukirchen",2957,0.473909,3,5,2
"27",9171137,"Winhöring",4665,0.465218,3,5,2
"28",9172111,"Ainring",9634,0.554566,4,8,2
"29",9172112,"Anger",4444,0.533477,4,7,2
"30",9172114,"Bad Reichenhall, GKSt",17327,0.560553,4,8,2
"31",9172115,"Bayerisch Gmain",3045,0.559294,4,8,2
"32",9172116,"Berchtesgaden, Markt",7781,0.528758,4,7,2
"33",9172117,"Bischofswiesen",7520,0.547897,4,8,2
