"","Gemeindekennziffer","Name der Gemeinde","Bevölkerung","GISD_Score","GISD_5","GISD_10","GISD_k"
"1",12051000,"Brandenburg an der Havel, Stadt",71032,0.833734,5,9,3
"2",12052000,"Cottbus, Stadt",99491,0.708643,2,4,2
"3",12053000,"Frankfurt (Oder), Stadt",57649,0.784332,3,6,2
"4",12054000,"Potsdam, Stadt",164042,0.522421,1,1,1
"5",12060005,"Ahrensfelde",12856,0.62068,1,1,1
"6",12060012,"Althüttendorf",675,0.798553,4,7,2
"7",12060020,"Bernau bei Berlin, Stadt",36547,0.730218,3,5,2
"8",12060024,"Biesenthal, Stadt",5632,0.735743,3,5,2
"9",12060034,"Breydin",799,0.735743,3,5,2
"10",12060036,"Britz",2132,0.774904,3,6,2
"11",12060045,"Chorin",2281,0.774904,3,6,2
"12",12060052,"Eberswalde, Stadt",38897,0.817618,4,8,2
"13",12060068,"Friedrichswalde",809,0.798553,4,7,2
"14",12060092,"Hohenfinow",512,0.774904,3,6,2
"15",12060100,"Joachimsthal, Stadt",3352,0.798553,4,7,2
"16",12060128,"Liepe",646,0.774904,3,6,2
"17",12060149,"Lunow-Stolzenhagen",1206,0.774904,3,6,2
"18",12060154,"Marienwerder",1739,0.735743,3,5,2
"19",12060161,"Melchow",939,0.735743,3,5,2
"20",12060172,"Niederfinow",610,0.774904,3,6,2
"21",12060176,"Oderberg, Stadt",2165,0.774904,3,6,2
"22",12060181,"Panketal",19721,0.646311,1,2,1
"23",12060185,"Parsteinsee",552,0.774904,3,6,2
"24",12060192,"Rüdnitz",1967,0.735743,3,5,2
"25",12060198,"Schorfheide",9759,0.724801,2,4,2
"26",12060250,"Sydower Fließ",886,0.735743,3,5,2
"27",12060269,"Wandlitz",21656,0.703664,2,4,2
"28",12060280,"Werneuchen, Stadt",8197,0.723115,2,4,2
"29",12060296,"Ziethen",446,0.798553,4,7,2
"30",12061005,"Alt Zauche-Wußwerk",506,0.680728,2,3,2
"31",12061017,"Bersteland",895,0.638953,1,2,1
"32",12061020,"Bestensee",7125,0.654081,1,2,1
"33",12061061,"Byhleguhre-Byhlen",775,0.680728,2,3,2
"34",12061097,"Drahnsdorf",584,0.638953,1,2,1
"35",12061112,"Eichwalde",6421,0.607982,1,1,1
"36",12061164,"Golßen, Stadt",2505,0.638953,1,2,1
"37",12061192,"Groß Köris",2243,0.657529,1,2,1
"38",12061216,"Halbe",2176,0.657529,1,2,1
"39",12061217,"Heidesee",6828,0.639861,1,2,1
"40",12061219,"Heideblick",3679,0.659195,1,2,1
"41",12061224,"Jamlitz",550,0.680728,2,3,2
"42",12061244,"Kasel-Golzig",673,0.638953,1,2,1
"43",12061260,"Königs Wusterhausen, Stadt",34795,0.655048,1,2,1
"44",12061265,"Krausnick-Groß Wasserburg",589,0.638953,1,2,1
"45",12061308,"Lieberose, Stadt",1391,0.680728,2,3,2
"46",12061316,"Lübben (Spreewald), Stadt",13672,0.680842,2,3,2
"47",12061320,"Luckau, Stadt",9558,0.674097,2,3,2
"48",12061328,"Märkisch Buchholz, Stadt",740,0.657529,1,2,1
"49",12061329,"Märkische Heide",3989,0.649385,1,2,1
"50",12061332,"Mittenwalde, Stadt",8774,0.614163,1,1,1
"51",12061344,"Münchehofe",481,0.657529,1,2,1
"52",12061352,"Neu Zauche",1126,0.680728,2,3,2
"53",12061405,"Rietzneuendorf-Staakow",609,0.638953,1,2,1
"54",12061428,"Schlepzig",614,0.638953,1,2,1
"55",12061433,"Schönefeld",13895,0.629714,1,1,1
"56",12061435,"Schönwald",1141,0.638953,1,2,1
"57",12061444,"Schulzendorf",7706,0.600762,1,1,1
"58",12061448,"Schwerin",815,0.657529,1,2,1
"59",12061450,"Schwielochsee",1523,0.680728,2,3,2
"60",12061470,"Spreewaldheide",472,0.680728,2,3,2
"61",12061471,"Steinreich",522,0.638953,1,2,1
"62",12061476,"Straupitz",1000,0.680728,2,3,2
"63",12061492,"Teupitz, Stadt",1812,0.657529,1,2,1
"64",12061510,"Unterspreewald",830,0.638953,1,2,1
"65",12061540,"Wildau, Stadt",9945,0.627809,1,1,1
"66",12061572,"Zeuthen",10993,0.598068,1,1,1
"67",12062024,"Bad Liebenwerda, Stadt",9411,0.791002,4,7,2
"68",12062088,"Crinitz",1226,0.780641,3,6,2
"69",12062092,"Doberlug-Kirchhain, Stadt",8625,0.832884,5,9,3
"70",12062124,"Elsterwerda, Stadt",8161,0.822421,4,8,2
"71",12062128,"Falkenberg/Elster, Stadt",6529,0.808951,4,8,2
"72",12062134,"Fichtwald",678,0.799095,4,7,2
"73",12062140,"Finsterwalde, Stadt",16407,0.857104,5,9,3
"74",12062177,"Gorden-Staupitz",972,0.791607,4,7,2
"75",12062196,"Gröden",1404,0.767621,3,6,2
"76",12062208,"Großthiemig",1059,0.767621,3,6,2
"77",12062219,"Heideland",544,0.809224,4,8,2
"78",12062224,"Herzberg (Elster), Stadt",9127,0.817966,4,8,2
"79",12062232,"Hirschfeld",1298,0.767621,3,6,2
"80",12062237,"Hohenbucko",655,0.799095,4,7,2
"81",12062240,"Hohenleipisch",2069,0.791607,4,7,2
"82",12062282,"Kremitzaue",828,0.799095,4,7,2
"83",12062289,"Lebusa",786,0.799095,4,7,2
"84",12062293,"Lichterfeld-Schacksdorf",965,0.780641,3,6,2
"85",12062333,"Massen-Niederlausitz",1981,0.780641,3,6,2
"86",12062336,"Merzdorf",858,0.767621,3,6,2
"87",12062341,"Mühlberg/Elbe, Stadt",3892,0.823812,4,8,2
"88",12062372,"Plessa",2778,0.791607,4,7,2
"89",12062410,"Röderland",3990,0.758122,3,6,2
"90",12062417,"Rückersdorf",1469,0.809224,4,8,2
"91",12062425,"Sallgast",1479,0.780641,3,6,2
"92",12062440,"Schilda",482,0.809224,4,8,2
