"","Gemeindekennziffer","Name der Gemeinde","Bevölkerung","GISD_Score","GISD_5","GISD_10","GISD_k"
"227",12067201,"Grünheide (Mark)",8165,0.697511,2,3,2
"228",12067205,"Grunow-Dammendorf",509,0.675525,2,3,2
"229",12067237,"Jacobsdorf",1876,0.737679,3,5,2
"230",12067288,"Langewahl",845,0.689345,2,3,2
"231",12067292,"Lawitz",605,0.695898,2,3,2
"232",12067324,"Mixdorf",917,0.675525,2,3,2
"233",12067336,"Müllrose, Stadt",4514,0.675525,2,3,2
"234",12067338,"Neißemünde",1666,0.695898,2,3,2
"235",12067357,"Neuzelle",4315,0.695898,2,3,2
"236",12067397,"Ragow-Merz",504,0.675525,2,3,2
"237",12067408,"Rauen",1979,0.692791,2,3,2
"238",12067413,"Reichenwalde",1104,0.689345,2,3,2
"239",12067426,"Rietz-Neuendorf",4127,0.715927,2,4,2
"240",12067438,"Schlaubetal",1828,0.675525,2,3,2
"241",12067440,"Schöneiche bei Berlin",12154,0.674652,2,3,2
"242",12067458,"Siehdichum",1535,0.675525,2,3,2
"243",12067469,"Spreenhagen",3226,0.692791,2,3,2
"244",12067473,"Steinhöfel",4377,0.768551,3,6,2
"245",12067481,"Storkow (Mark), Stadt",8897,0.726142,2,4,2
"246",12067493,"Tauche",3865,0.735343,2,4,2
"247",12067508,"Vogelsang",728,0.706034,2,4,2
"248",12067520,"Wendisch Rietz",1506,0.689345,2,3,2
"249",12067528,"Wiesenau",1266,0.706034,2,4,2
"250",12067544,"Woltersdorf",8053,0.676624,2,3,2
"251",12067552,"Ziltendorf",1561,0.706034,2,4,2
"252",12068052,"Breddin",893,0.903442,5,10,3
"253",12068072,"Dabergotz",603,0.858383,5,9,3
"254",12068109,"Dreetz",1153,0.903442,5,10,3
"255",12068117,"Fehrbellin",8784,0.834864,4,8,2
"256",12068181,"Heiligengrabe",4480,0.865752,5,9,3
"257",12068188,"Herzberg (Mark)",617,0.894587,5,10,3
"258",12068264,"Kyritz, Stadt",9140,0.900857,5,10,3
"259",12068280,"Lindow (Mark), Stadt",2991,0.894587,5,10,3
"260",12068306,"Märkisch Linden",1191,0.858383,5,9,3
"261",12068320,"Neuruppin, Stadt",30665,0.858318,4,8,2
"262",12068324,"Neustadt (Dosse), Stadt",3391,0.903442,5,10,3
"263",12068353,"Rheinsberg, Stadt",8029,0.8545,4,8,2
"264",12068372,"Rüthnick",472,0.894587,5,10,3
"265",12068409,"Sieversdorf-Hohenofen",708,0.903442,5,10,3
"266",12068413,"Storbeck-Frankendorf",477,0.858383,5,9,3
"267",12068417,"Stüdenitz-Schönermark",583,0.903442,5,10,3
"268",12068425,"Temnitzquell",736,0.858383,5,9,3
"269",12068426,"Temnitztal",1410,0.858383,5,9,3
"270",12068437,"Vielitzsee",473,0.894587,5,10,3
"271",12068452,"Walsleben",806,0.858383,5,9,3
"272",12068468,"Wittstock/Dosse, Stadt",14427,0.896505,5,10,3
"273",12068477,"Wusterhausen/Dosse",5979,0.892776,5,10,3
"274",12068501,"Zernitz-Lohm",878,0.903442,5,10,3
"275",12069017,"Beelitz, Stadt",11898,0.527901,1,1,1
"276",12069018,"Beetzsee",2501,0.605369,1,1,1
"277",12069019,"Beetzseeheide",676,0.605369,1,1,1
"278",12069020,"Bad Belzig, Stadt",10916,0.594451,1,1,1
"279",12069028,"Bensdorf",1270,0.612451,1,1,1
"280",12069052,"Borkheide",1895,0.550154,1,1,1
"281",12069056,"Borkwalde",1487,0.550154,1,1,1
"282",12069076,"Brück, Stadt",3736,0.550154,1,1,1
"283",12069089,"Buckautal",508,0.610352,1,1,1
"284",12069216,"Golzow",1324,0.550154,1,1,1
"285",12069224,"Görzke",1246,0.610352,1,1,1
"286",12069232,"Gräben",523,0.610352,1,1,1
"287",12069249,"Groß Kreutz (Havel)",7993,0.558733,1,1,1
"288",12069270,"Havelsee, Stadt",3268,0.605369,1,1,1
"289",12069304,"Kleinmachnow",20562,0.532942,1,1,1
"290",12069306,"Kloster Lehnin",10682,0.577225,1,1,1
"291",12069345,"Linthe",902,0.550154,1,1,1
"292",12069397,"Michendorf",12128,0.516679,1,1,1
"293",12069402,"Mühlenfließ",904,0.581545,1,1,1
"294",12069448,"Niemegk, Stadt",2014,0.581545,1,1,1
"295",12069454,"Nuthetal",8756,0.480731,1,1,1
"296",12069460,"Päwesin",537,0.605369,1,1,1
"297",12069470,"Planebruch",1040,0.550154,1,1,1
"298",12069474,"Planetal",952,0.581545,1,1,1
"299",12069485,"Rabenstein/Fläming",842,0.581545,1,1,1
"300",12069537,"Rosenau",916,0.612451,1,1,1
"301",12069541,"Roskow",1191,0.605369,1,1,1
"302",12069590,"Schwielowsee",10223,0.534665,1,1,1
"303",12069596,"Seddiner See",4109,0.539295,1,1,1
"304",12069604,"Stahnsdorf",14800,0.529377,1,1,1
"305",12069616,"Teltow, Stadt",24609,0.542357,1,1,1
"306",12069632,"Treuenbrietzen, Stadt",7430,0.58611,1,1,1
"307",12069648,"Wenzlow",532,0.610352,1,1,1
"308",12069656,"Werder (Havel), Stadt",24347,0.561582,1,1,1
"309",12069665,"Wiesenburg/Mark",4413,0.632741,1,2,1
"310",12069680,"Wollin",861,0.610352,1,1,1
"311",12069688,"Wusterwitz",3066,0.612451,1,1,1
"312",12069696,"Ziesar, Stadt",2441,0.610352,1,1,1
"313",12070008,"Bad Wilsnack, Stadt",2590,0.818859,4,7,2
"314",12070028,"Berge",760,0.860049,5,9,3
"315",12070052,"Breese",1447,0.818859,4,7,2
"316",12070060,"Cumlosen",757,0.846305,4,8,2
"317",12070096,"Gerdshagen",520,0.861248,5,9,3
"318",12070125,"Groß Pankow (Prignitz)",3954,0.874467,5,9,3
"319",12070145,"Gülitz-Reetz",476,0.860049,5,9,3
"320",12070149,"Gumtow",3454,0.884721,5,9,3
"321",12070153,"Halenbeck-Rohlsdorf",561,0.861248,5,9,3
"322",12070173,"Karstädt",5983,0.861315,5,9,3
"323",12070222,"Kümmernitztal",376,0.861248,5,9,3
"324",12070236,"Lanz",766,0.846305,4,8,2
"325",12070241,"Legde/Quitzöbel",625,0.818859,4,7,2
"326",12070244,"Lenzen (Elbe), Stadt",2209,0.846305,4,8,2
"327",12070246,"Lenzerwische",473,0.846305,4,8,2
"328",12070266,"Marienfließ",716,0.861248,5,9,3
"329",12070280,"Meyenburg, Stadt",2131,0.861248,5,9,3
"330",12070296,"Perleberg, Stadt",12087,0.856475,4,8,2
"331",12070300,"Pirow",462,0.860049,5,9,3
"332",12070302,"Plattenburg",3415,0.880862,5,9,3
"333",12070316,"Pritzwalk, Stadt",11909,0.855515,4,8,2
"334",12070325,"Putlitz, Stadt",2745,0.860049,5,9,3
"335",12070348,"Rühstädt",468,0.818859,4,7,2
"336",12070393,"Triglitz",478,0.860049,5,9,3
"337",12070416,"Weisen",988,0.818859,4,7,2
"338",12070424,"Wittenberge, Stadt",17200,0.923686,5,10,3
"339",12071028,"Briesen",784,0.668423,1,2,1
"340",12071032,"Burg (Spreewald)",4335,0.668423,1,2,1
"341",12071041,"Dissen-Striesow",1013,0.668423,1,2,1
"342",12071044,"Döbern, Stadt",3328,0.743671,3,5,2
"343",12071052,"Drachhausen",814,0.699447,2,3,2
"344",12071057,"Drebkau, Stadt",5716,0.744418,3,5,2
"345",12071060,"Drehnow",548,0.699447,2,3,2
"346",12071074,"Felixsee",1929,0.743671,3,5,2
"347",12071076,"Forst (Lausitz), Stadt",18945,0.788171,3,6,2
"348",12071153,"Groß Schacksdorf-Simmersdorf",1220,0.743671,3,5,2
"349",12071160,"Guben, Stadt",17431,0.812286,4,7,2
"350",12071164,"Guhrow",523,0.668423,1,2,1
"351",12071176,"Heinersbrück",598,0.699447,2,3,2
"352",12071185,"Hornow-Wadelsdorf",603,0.743671,3,5,2
"353",12071189,"Jämlitz-Klein Düben",487,0.743671,3,5,2
"354",12071193,"Jänschwalde",1559,0.699447,2,3,2
"355",12071244,"Kolkwitz",9234,0.650476,1,2,1
"356",12071294,"Neiße-Malxetal",1662,0.743671,3,5,2
"357",12071301,"Neuhausen/Spree",5013,0.669481,1,2,1
"358",12071304,"Peitz, Stadt",4369,0.699447,2,3,2
"359",12071337,"Schenkendöbern",3701,0.608742,1,1,1
"360",12071341,"Schmogrow-Fehrow",814,0.668423,1,2,1
"361",12071372,"Spremberg, Stadt",22326,0.783296,3,6,2
"362",12071384,"Tauer",719,0.699447,2,3,2
"363",12071386,"Teichland",1155,0.699447,2,3,2
"364",12071392,"Tschernitz",1280,0.743671,3,5,2
"365",12071401,"Turnow-Preilack",1145,0.699447,2,3,2
"366",12071408,"Welzow, Stadt",3703,0.828229,4,7,2
"367",12071412,"Werben",1694,0.668423,1,2,1
"368",12071414,"Wiesengrund",1382,0.743671,3,5,2
"369",12072002,"Am Mellensee",6499,0.698684,2,3,2
"370",12072014,"Baruth/Mark, Stadt",4160,0.698576,2,3,2
"371",12072017,"Blankenfelde-Mahlow",25981,0.660039,1,2,1
"372",12072053,"Dahme/Mark, Stadt",5113,0.779224,3,6,2
"373",12072055,"Dahmetal",496,0.779224,3,6,2
"374",12072120,"Großbeeren",8389,0.660039,1,2,1
"375",12072157,"Ihlow",705,0.779224,3,6,2
"376",12072169,"Jüterbog, Stadt",12270,0.817544,4,7,2
"377",12072232,"Luckenwalde, Stadt",20060,0.81877,4,7,2
"378",12072240,"Ludwigsfelde, Stadt",24408,0.686134,2,3,2
"379",12072297,"Niedergörsdorf",5984,0.807364,4,7,2
"380",12072298,"Niederer Fläming",3186,0.766501,3,6,2
"381",12072312,"Nuthe-Urstromtal",6517,0.740542,3,5,2
"382",12072340,"Rangsdorf",10824,0.659764,1,2,1
"383",12072426,"Trebbin, Stadt",9239,0.70528,2,4,2
"384",12072477,"Zossen, Stadt",17657,0.708215,2,4,2
"385",12073008,"Angermünde, Stadt",13650,0.885581,5,9,3
"386",12073032,"Berkholz-Meyenburg",1289,0.842426,4,8,2
"387",12073069,"Boitzenburger Land",3257,0.911476,5,10,3
"388",12073085,"Brüssow, Stadt",1907,0.95467,5,10,3
"389",12073093,"Carmzow-Wallmow",643,0.95467,5,10,3
"390",12073097,"Casekow",1908,0.91497,5,10,3
"391",12073157,"Flieth-Stegelitz",551,0.918487,5,10,3
"392",12073189,"Gartz (Oder), Stadt",2482,0.91497,5,10,3
"393",12073201,"Gerswalde",1611,0.918487,5,10,3
"394",12073216,"Göritz",794,0.95467,5,10,3
"395",12073225,"Gramzow",1918,0.899584,5,10,3
"396",12073261,"Grünow",951,0.899584,5,10,3
"397",12073309,"Hohenselchow-Groß Pinnow",795,0.91497,5,10,3
"398",12073384,"Lychen, Stadt",3109,0.915778,5,10,3
"399",12073386,"Mark Landin",1020,0.842426,4,8,2
"400",12073393,"Mescherin",795,0.91497,5,10,3
"401",12073396,"Milmersdorf",1459,0.918487,5,10,3
"402",12073404,"Mittenwalde",386,0.918487,5,10,3
"403",12073429,"Nordwestuckermark",4310,0.909907,5,10,3
"404",12073430,"Oberuckersee",1687,0.899584,5,10,3
"405",12073440,"Pinnow",859,0.842426,4,8,2
"406",12073452,"Prenzlau, Stadt",19070,0.878683,5,9,3
"407",12073458,"Randowtal",932,0.899584,5,10,3
"408",12073490,"Schenkenberg",586,0.95467,5,10,3
"409",12073505,"Schöneberg",865,0.842426,4,8,2
"410",12073520,"Schönfeld",624,0.95467,5,10,3
"411",12073532,"Schwedt/Oder, Stadt",30273,0.894851,5,10,3
"412",12073565,"Tantow",756,0.91497,5,10,3
"413",12073569,"Temmen-Ringenwalde",538,0.918487,5,10,3
"414",12073572,"Templin, Stadt",16013,0.871417,5,9,3
"415",12073578,"Uckerfelde",953,0.899584,5,10,3
"416",12073579,"Uckerland",2760,0.906591,5,10,3
"417",12073603,"Passow",1469,0.842426,4,8,2
"418",12073645,"Zichow",609,0.899584,5,10,3
