"","Kennziffer Gemeindeverband","Name Gemeindeverband","Bevölkerung","GISD_Score","GISD_5","GISD_10","GISD_k"
"4133",15081240,"Kalbe (Milde), Stadt",7799,0.870377,5,10,3
"4134",15081280,"Klötze, Stadt",10292,0.809381,5,10,3
"4135",15081455,"Salzwedel, Hansestadt",24084,0.844859,5,10,3
"4136",15081951,"Beetzendorf-Diesdorf",13729,0.825165,5,10,3
"4137",15082005,"Aken (Elbe), Stadt",7774,0.880655,5,10,3
"4138",15082015,"Bitterfeld-Wolfen, Stadt",40779,0.866897,5,10,3
"4139",15082180,"Köthen (Anhalt), Stadt",26384,0.908184,5,10,3
"4140",15082241,"Muldestausee",11828,0.805575,5,10,3
"4141",15082256,"Osternienburger Land",8933,0.87163,5,10,3
"4142",15082301,"Raguhn-Jeßnitz, Stadt",9540,0.822258,5,10,3
"4143",15082340,"Sandersdorf",14521,0.818317,5,10,3
"4144",15082377,"Südliches Anhalt, Stadt",13881,0.867679,5,10,3
"4145",15082430,"Zerbst/Anhalt, Stadt",21975,0.861121,5,10,3
"4146",15082440,"Zörbig, Stadt",9461,0.832097,5,10,3
"4147",15083040,"Barleben",9133,0.667845,4,8,2
"4148",15083270,"Haldensleben, Stadt",19345,0.735329,5,9,3
"4149",15083298,"Hohe Börde",18076,0.721647,5,9,3
"4150",15083390,"Niedere Börde",7097,0.697742,4,8,2
"4151",15083411,"Oebisfelde-Weferlingen, Stadt",13748,0.721855,5,9,3
"4152",15083415,"Oschersleben (Bode), Stadt",19726,0.790521,5,10,3
"4153",15083490,"Sülzetal",9013,0.707691,4,8,2
"4154",15083531,"Wanzleben-Börde, Stadt",14287,0.748456,5,9,3
"4155",15083565,"Wolmirstedt, Stadt",11502,0.726034,5,9,3
"4156",15083951,"Elbe-Heide",13439,0.705213,4,8,2
"4157",15083952,"Flechtingen",13563,0.716234,5,9,3
"4158",15083953,"Obere Aller",14985,0.750665,5,9,3
"4159",15083954,"Westliche Börde",8915,0.789263,5,10,3
"4160",15084130,"Elsteraue",8513,0.80896,5,10,3
"4161",15084235,"Hohenmölsen, Stadt",9851,0.823995,5,10,3
"4162",15084315,"Lützen, Stadt",8695,0.793045,5,10,3
