"","Kennziffer Gemeindeverband","Name Gemeindeverband","Bevölkerung","GISD_Score","GISD_5","GISD_10","GISD_k"
"1",9161000,"Ingolstadt",131002,0.302018,1,1,1
"2",9162000,"München, Landeshauptstadt",1429584,0.116625,1,1,1
"3",9163000,"Rosenheim",60889,0.482602,3,6,2
"4",9171111,"Altötting, Stadt",12633,0.493588,3,6,2
"5",9171112,"Burghausen, Stadt",17824,0.440325,2,4,2
"6",9171113,"Burgkirchen a.d.Alz",10202,0.468009,3,5,2
"7",9171117,"Garching a.d.Alz",8494,0.472602,3,6,2
"8",9171118,"Haiming",2443,0.417745,2,4,2
"9",9171125,"Neuötting, Stadt",8471,0.488161,3,6,2
"10",9171127,"Pleiskirchen",2390,0.463628,3,5,2
"11",9171131,"Teising",1902,0.478821,3,6,2
"12",9171132,"Töging a.Inn, Stadt",9124,0.481812,3,6,2
"13",9171133,"Tüßling, Markt",3241,0.454257,3,5,2
"14",9171137,"Winhöring",4665,0.446932,3,5,2
"15",9171901,"Emmerting (VGem)",6426,0.416743,2,4,2
"16",9171902,"Kirchweidach (VGem)",5386,0.45194,3,5,2
"17",9171903,"Marktl (VGem)",3656,0.433777,2,4,2
"18",9171904,"Reischach (VGem)",4973,0.447661,3,5,2
"19",9171906,"Unterneukirchen (VGem)",5635,0.449584,3,5,2
"20",9172111,"Ainring",9634,0.517405,4,7,2
"21",9172112,"Anger",4444,0.497443,3,6,2
"22",9172114,"Bad Reichenhall, GKSt",17327,0.51788,4,7,2
"23",9172115,"Bayerisch Gmain",3045,0.523271,4,7,2
"24",9172116,"Berchtesgaden, Markt",7781,0.489618,3,6,2
"25",9172117,"Bischofswiesen",7520,0.512191,4,7,2
"26",9172118,"Freilassing, Stadt",16194,0.551904,5,9,3
"27",9172122,"Laufen, Stadt",6852,0.540849,4,8,2
"28",9172124,"Marktschellenberg, Markt",1750,0.527922,4,7,2
"29",9172128,"Piding",5328,0.503479,3,6,2
"30",9172129,"Ramsau b.Berchtesgaden",1742,0.511435,4,7,2
"31",9172130,"Saaldorf-Surheim",5360,0.494407,3,6,2
"32",9172131,"Schneizlreuth",1327,0.512975,4,7,2
"33",9172132,"Schönau a.Königssee",5423,0.499891,3,6,2
"34",9172134,"Teisendorf, Markt",9249,0.485587,3,6,2
"35",9173111,"Bad Heilbrunn",3802,0.341456,1,2,1
"36",9173112,"Bad Tölz, Stadt",18185,0.329486,1,2,1
"37",9173118,"Dietramszell",5370,0.3223,1,2,1
"38",9173120,"Egling",5400,0.308307,1,1,1
"39",9173123,"Eurasburg",4277,0.311875,1,1,1
"40",9173124,"Gaißach",3061,0.323234,1,2,1
"41",9173126,"Geretsried, Stadt",24069,0.299563,1,1,1
"42",9173130,"Icking",3714,0.339415,1,2,1
"43",9173131,"Jachenau",841,0.385478,1,2,1
"44",9173134,"Königsdorf",3006,0.303019,1,1,1
"45",9173135,"Lenggries",9835,0.35067,1,2,1
"46",9173137,"Münsing",4230,0.314183,1,1,1
"47",9173145,"Wackersberg",3493,0.370164,1,2,1
"48",9173147,"Wolfratshausen, Stadt",18122,0.291376,1,1,1
"49",9173907,"Benediktbeuern (VGem)",5670,0.326514,1,2,1
"50",9173908,"Kochel a.See (VGem)",5221,0.345434,1,2,1
"51",9173909,"Reichersbeuern (VGem)",5044,0.316275,1,1,1
"52",9174111,"Altomünster, Markt",7678,0.325147,1,2,1
"53",9174113,"Bergkirchen",7705,0.283866,1,1,1
"54",9174115,"Dachau, GKSt",45985,0.283749,1,1,1
"55",9174118,"Erdweg",5792,0.297548,1,1,1
"56",9174121,"Haimhausen",5237,0.273073,1,1,1
"57",9174122,"Hebertshausen",5424,0.285831,1,1,1
"58",9174126,"Karlsfeld",19321,0.269263,1,1,1
"59",9174131,"Markt Indersdorf, Markt",9793,0.271303,1,1,1
"60",9174136,"Petershausen",6286,0.277618,1,1,1
"61",9174141,"Röhrmoos",6267,0.307859,1,1,1
"62",9174143,"Schwabhausen",6318,0.280873,1,1,1
"63",9174147,"Hilgertshausen-Tandern",3266,0.322969,1,2,1
"64",9174150,"Vierkirchen",4485,0.29137,1,1,1
"65",9174151,"Weichs",3318,0.276497,1,1,1
"66",9174910,"Odelzhausen (VGem)",9404,0.287895,1,1,1
"67",9175111,"Anzing",4020,0.154661,1,1,1
"68",9175115,"Ebersberg, Stadt",11625,0.171683,1,1,1
"69",9175118,"Forstinning",3649,0.157048,1,1,1
"70",9175122,"Grafing b.München, Stadt",13369,0.17146,1,1,1
"71",9175123,"Hohenlinden",3046,0.151561,1,1,1
"72",9175124,"Kirchseeon, Markt",10054,0.16403,1,1,1
"73",9175127,"Markt Schwaben, Markt",12884,0.137181,1,1,1
"74",9175132,"Vaterstetten",22272,0.15648,1,1,1
"75",9175133,"Pliening",5293,0.140114,1,1,1
"76",9175135,"Poing",14449,0.112267,1,1,1
"77",9175137,"Steinhöring",4003,0.17616,1,1,1
"78",9175139,"Zorneding",9029,0.13555,1,1,1
"79",9175912,"Aßling (VGem)",7394,0.189347,1,1,1
"80",9175914,"Glonn (VGem)",13786,0.16606,1,1,1
"81",9176112,"Altmannstein, Markt",6848,0.350869,1,2,1
"82",9176114,"Beilngries, Stadt",8983,0.340468,1,2,1
"83",9176118,"Buxheim",3593,0.33157,1,2,1
"84",9176120,"Denkendorf",4621,0.337657,1,2,1
"85",9176121,"Dollnstein, Markt",2752,0.37264,1,2,1
"86",9176123,"Eichstätt, GKSt",13300,0.388507,2,3,2
"87",9176126,"Gaimersheim, Markt",11534,0.29849,1,1,1
"88",9176129,"Großmehring",6573,0.320272,1,2,1
"89",9176131,"Hepberg",2736,0.301438,1,1,1
"90",9176132,"Hitzhofen",2846,0.31363,1,1,1
"91",9176137,"Kinding, Markt",2558,0.328088,1,2,1
"92",9176138,"Kipfenberg, Markt",5638,0.338407,1,2,1
"93",9176139,"Kösching, Markt",9326,0.315729,1,1,1
"94",9176143,"Lenting",4813,0.327774,1,2,1
"95",9176148,"Mörnsheim, Markt",1537,0.380234,1,2,1
"96",9176161,"Stammham",3860,0.315656,1,1,1
"97",9176164,"Titting, Markt",2624,0.33138,1,2,1
"98",9176166,"Wellheim, Markt",2693,0.34662,1,2,1
"99",9176167,"Wettstetten",4835,0.295089,1,1,1
"100",9176915,"Eichstätt (VGem)",8262,0.341447,1,2,1
"101",9176916,"Eitensheim (VGem)",4593,0.31078,1,1,1
"102",9176918,"Nassenfels (VGem)",6145,0.317675,1,2,1
"103",9176919,"Pförring (VGem)",6519,0.32118,1,2,1
"104",9177113,"Bockhorn",3680,0.37797,1,2,1
"105",9177115,"Dorfen, Stadt",14171,0.40278,2,3,2
"106",9177117,"Erding, Stadt",35756,0.37137,1,2,1
"107",9177118,"Finsing",4337,0.349541,1,2,1
"108",9177119,"Forstern",3491,0.360938,1,2,1
"109",9177120,"Fraunberg",3509,0.369112,1,2,1
"110",9177123,"Isen, Markt",5629,0.384275,1,2,1
"111",9177127,"Lengdorf",2705,0.395664,2,3,2
"112",9177130,"Moosinning",5555,0.358808,1,2,1
"113",9177137,"Sankt Wolfgang",4404,0.409126,2,3,2
"114",9177139,"Taufkirchen (Vils)",9566,0.390012,2,3,2
"115",9177920,"Pastetten (VGem)",4055,0.362443,1,2,1
"116",9177921,"Hörlkofen (VGem)",6441,0.361183,1,2,1
"117",9177923,"Oberding (VGem)",8593,0.368725,1,2,1
"118",9177924,"Oberneuching (VGem)",4405,0.362411,1,2,1
"119",9177925,"Steinkirchen (VGem)",5121,0.387036,2,3,2
