"","Kennziffer Gemeindeverband","Name Gemeindeverband","Bevölkerung","GISD_Score","GISD_5","GISD_10","GISD_k"
"1100",9675141,"Kitzingen, GKSt",20474,0.581315,4,8,2
"1101",9675144,"Mainbernheim, Stadt",2223,0.514082,3,6,2
"1102",9675158,"Prichsenstadt, Stadt",3127,0.538498,3,6,2
"1103",9675165,"Schwarzach a.Main, Markt",3516,0.528838,3,6,2
"1104",9675914,"Wiesentheid (VGem)",7315,0.542448,3,6,2
"1105",9675915,"Großlangheim (VGem)",4377,0.533719,3,6,2
"1106",9675916,"Iphofen (VGem)",9034,0.52236,3,6,2
"1107",9675917,"Kitzingen (VGem)",7828,0.51077,3,6,2
"1108",9675918,"Marktbreit (VGem)",10305,0.537937,3,6,2
"1109",9675919,"Volkach (VGem)",10993,0.558109,4,7,2
"1110",9676112,"Amorbach, Stadt",3966,0.557179,4,7,2
"1111",9676117,"Collenberg",2417,0.554106,4,7,2
"1112",9676118,"Dorfprozelten",1777,0.538221,3,6,2
"1113",9676119,"Eichenbühl",2537,0.540306,3,6,2
"1114",9676121,"Elsenfeld, Markt",8946,0.571471,4,8,2
"1115",9676122,"Erlenbach a.Main, Stadt",9894,0.580994,4,8,2
"1116",9676123,"Eschau, Markt",3716,0.549372,4,7,2
"1117",9676124,"Faulbach",2617,0.522447,3,6,2
"1118",9676125,"Großheubach, Markt",5139,0.559977,4,7,2
"1119",9676126,"Großwallstadt",4114,0.51139,3,6,2
"1120",9676131,"Kirchzell, Markt",2248,0.536748,3,6,2
"1121",9676134,"Klingenberg a.Main, Stadt",6119,0.570094,4,8,2
"1122",9676136,"Leidersbach",4703,0.539745,3,6,2
"1123",9676139,"Miltenberg, Stadt",9310,0.569244,4,8,2
"1124",9676140,"Mömlingen",4876,0.544143,4,7,2
"1125",9676144,"Niedernberg",4961,0.509732,3,6,2
"1126",9676145,"Obernburg a.Main, Stadt",8475,0.525079,3,6,2
"1127",9676156,"Schneeberg, Markt",1801,0.534571,3,6,2
"1128",9676160,"Sulzbach a.Main, Markt",7071,0.517211,3,6,2
"1129",9676165,"Weilbach, Markt",2196,0.540042,3,6,2
"1130",9676169,"Wörth a.Main, Stadt",4701,0.580908,4,8,2
"1131",9676926,"Erftal (VGem)",5862,0.529308,3,6,2
"1132",9676927,"Kleinheubach (VGem)",5813,0.560007,4,7,2
"1133",9676930,"Kleinwallstadt (VGem)",7624,0.544953,4,7,2
"1134",9676931,"Mönchberg (VGem)",4288,0.548951,4,7,2
"1135",9676932,"Stadtprozelten (VGem)",2770,0.54768,4,7,2
"1136",9677114,"Arnstein, Stadt",8126,0.427607,2,3,2
"1137",9677127,"Eußenheim",3182,0.429955,2,3,2
"1138",9677129,"Frammersbach, Markt",4511,0.410529,1,2,1
"1139",9677131,"Gemünden a.Main, Stadt",10153,0.4665,2,4,2
"1140",9677148,"Karlstadt, Stadt",14750,0.435272,2,3,2
"1141",9677154,"Triefenstein, Markt",4303,0.430949,2,3,2
"1142",9677155,"Lohr a.Main, Stadt",15036,0.410186,1,2,1
"1143",9677157,"Marktheidenfeld, Stadt",10901,0.416592,1,2,1
"1144",9677177,"Rieneck, Stadt",2021,0.45413,2,4,2
"1145",9677920,"Kreuzwertheim (VGem)",6136,0.423099,2,3,2
"1146",9677921,"Marktheidenfeld (VGem)",14983,0.400692,1,2,1
"1147",9677922,"Burgsinn (VGem)",6067,0.470187,2,4,2
"1148",9677923,"Gemünden a.Main (VGem)",4313,0.456904,2,4,2
"1149",9677924,"Lohr a.Main (VGem)",5263,0.399384,1,2,1
"1150",9677925,"Zellingen (VGem)",10806,0.440896,2,3,2
"1151",9677956,"Partenstein (VGem)",5364,0.420704,1,2,1
"1152",9678115,"Bergrheinfeld",5223,0.547588,4,7,2
"1153",9678123,"Dittelbrunn",7212,0.547118,4,7,2
"1154",9678128,"Euerbach",3038,0.5456,4,7,2
"1155",9678132,"Geldersheim",2720,0.551423,4,7,2
"1156",9678135,"Gochsheim",6182,0.576167,4,8,2
"1157",9678136,"Grafenrheinfeld",3421,0.540683,3,6,2
"1158",9678138,"Grettstadt",4186,0.570298,4,8,2
"1159",9678150,"Kolitzheim",5429,0.555102,4,7,2
"1160",9678160,"Niederwerrn",7814,0.584919,4,8,2
"1161",9678168,"Poppenhausen",4314,0.570962,4,8,2
